Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
500250,LGBBROSLTD,L.G.BALAKRISHNAN & BROS.LTD.,14 Aug 2001,Dividend - Rs. - 3.5000,-,01 Sep 2001,19 Sep 2001,14 Aug 2001,30 Aug 2001,-
500250,LGBBROSLTD,L.G.BALAKRISHNAN & BROS.LTD.,09 Dec 2003,-,17 Dec 2003,-,-,09 Dec 2003,17 Dec 2003,-
500250,LGBBROSLTD,L.G.BALAKRISHNAN & BROS.LTD.,09 Dec 2003,Bonus issue 1:1       ,17 Dec 2003,-,-,09 Dec 2003,17 Dec 2003,-
500250,LGBBROSLTD,L.G.BALAKRISHNAN & BROS.LTD.,22 Jan 2007,Right Issue of Non Convertible Debentures ,31 Jan 2007,-,-,22 Jan 2007,29 Jan 2007,-
500250,LGBBROSLTD,L.G.BALAKRISHNAN & BROS.LTD.,06 Sep 2007,Dividend - Rs. - 0.5000,-,10 Sep 2007,24 Sep 2007,03 Sep 2007,07 Sep 2007,-
500250,LGBBROSLTD,L.G.BALAKRISHNAN & BROS.LTD.,21 May 2008,Scheme of Arrangement ,28 May 2008,-,-,21 May 2008,27 May 2008,-
500250,LGBBROSLTD,L.G.BALAKRISHNAN & BROS.LTD.,06 Aug 2008,Dividend - Rs. - 0.3500,-,08 Aug 2008,18 Aug 2008,01 Aug 2008,07 Aug 2008,-
500250,LGBBROSLTD,L.G.BALAKRISHNAN & BROS.LTD.,29 Jun 2009,Dividend - Rs. - 0.6000,-,01 Jul 2009,10 Jul 2009,24 Jun 2009,29 Jun 2009,-
500250,LGBBROSLTD,L.G.BALAKRISHNAN & BROS.LTD.,15 Mar 2010,Consolidation of Shares ,17 Mar 2010,-,-,10 Mar 2010,16 Mar 2010,-
500250,LGBBROSLTD,L.G.BALAKRISHNAN & BROS.LTD.,04 Jun 2010,Dividend - Rs. - 6.5000,-,08 Jun 2010,14 Jun 2010,01 Jun 2010,07 Jun 2010,-
500250,LGBBROSLTD,L.G.BALAKRISHNAN & BROS.LTD.,02 Jun 2011,Dividend - Rs. - 10.0000,-,06 Jun 2011,15 Jun 2011,30 May 2011,03 Jun 2011,-
500250,LGBBROSLTD,L.G.BALAKRISHNAN & BROS.LTD.,28 Jun 2012,Dividend - Rs. - 11.0000,-,02 Jul 2012,09 Jul 2012,25 Jun 2012,28 Jun 2012,-
500250,LGBBROSLTD,L.G.BALAKRISHNAN & BROS.LTD.,07 Feb 2013,Interim Dividend - Rs. - 5.5000,08 Feb 2013,-,-,01 Feb 2013,07 Feb 2013,-
500250,LGBBROSLTD,L.G.BALAKRISHNAN & BROS.LTD.,30 Jul 2013,Final Dividend - Rs. - 2.0000,-,01 Aug 2013,08 Aug 2013,25 Jul 2013,31 Jul 2013,-
500250,LGBBROSLTD,L.G.BALAKRISHNAN & BROS.LTD.,13 Nov 2013,Interim Dividend - Rs. - 5.0000,15 Nov 2013,-,-,07 Nov 2013,13 Nov 2013,25 Nov 2013
500250,LGBBROSLTD,L.G.BALAKRISHNAN & BROS.LTD.,04 Jul 2014,Bonus issue 1:1,-,08 Jul 2014,09 Jul 2014,30 Jun 2014,07 Jul 2014,-
500250,LGBBROSLTD,L.G.BALAKRISHNAN & BROS.LTD.,04 Jul 2014,Final Dividend - Rs. - 7.0000,-,08 Jul 2014,09 Jul 2014,30 Jun 2014,07 Jul 2014,20 Jul 2014
500250,LGBBROSLTD,L.G.BALAKRISHNAN & BROS.LTD.,17 Nov 2014,Interim Dividend - Rs. - 3.2000,18 Nov 2014,-,-,11 Nov 2014,17 Nov 2014,28 Nov 2014
500250,LGBBROSLTD,L.G.BALAKRISHNAN & BROS.LTD.,02 Sep 2015,Final Dividend - Rs. - 3.8000,-,04 Sep 2015,10 Sep 2015,28 Aug 2015,03 Sep 2015,-
500250,LGBBROSLTD,L.G.BALAKRISHNAN & BROS.LTD.,10 Nov 2015,Interim Dividend - Rs. - 2.5000,13 Nov 2015,-,-,05 Nov 2015,11 Nov 2015,-
500250,LGBBROSLTD,L.G.BALAKRISHNAN & BROS.LTD.,22 Mar 2016,Interim Dividend - Rs. - 2.5000,23 Mar 2016,-,-,16 Mar 2016,22 Mar 2016,-
500250,LGBBROSLTD,L.G.BALAKRISHNAN & BROS.LTD.,05 Jul 2016,Final Dividend - Rs. - 1.0000,-,08 Jul 2016,14 Jul 2016,30 Jun 2016,07 Jul 2016,-
500250,LGBBROSLTD,L.G.BALAKRISHNAN & BROS.LTD.,19 Jul 2017,Dividend - Rs. - 7.0000,-,21 Jul 2017,27 Jul 2017,14 Jul 2017,20 Jul 2017,-
500250,LGBBROSLTD,L.G.BALAKRISHNAN & BROS.LTD.,14 Jun 2018,Bonus issue 1:1,16 Jun 2018,-,-,11 Jun 2018,14 Jun 2018,-
500250,LGBBROSLTD,L.G.BALAKRISHNAN & BROS.LTD.,21 Aug 2018,Dividend - Rs. - 4.5000,-,24 Aug 2018,30 Aug 2018,14 Aug 2018,23 Aug 2018,-
500250,LGBBROSLTD,L.G.BALAKRISHNAN & BROS.LTD.,10 Jul 2019,Dividend - Rs. - 5.0000,-,12 Jul 2019,18 Jul 2019,05 Jul 2019,11 Jul 2019,-
500250,LGBBROSLTD,L.G.BALAKRISHNAN & BROS.LTD.,05 Mar 2020,Interim Dividend - Rs. - 5.0000,06 Mar 2020,-,-,28 Feb 2020,05 Mar 2020,-
