Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
500086,EXIDEIND,EXIDE INDUSTRIES LTD.,02 Jul 2001,Dividend - Rs. - 1.5000,-,17 Jul 2001,23 Jul 2001,02 Jul 2001,13 Jul 2001,-
500086,EXIDEIND,EXIDE INDUSTRIES LTD.,08 Sep 2006,-,15 Sep 2006,-,-,08 Sep 2006,14 Sep 2006,-
500086,EXIDEIND,EXIDE INDUSTRIES LTD.,11 Jul 2007,Dividend - Rs. - 0.3500,-,13 Jul 2007,20 Jul 2007,06 Jul 2007,12 Jul 2007,-
500086,EXIDEIND,EXIDE INDUSTRIES LTD.,10 Dec 2007,Right Issue of Equity Shares ,17 Dec 2007,-,-,10 Dec 2007,14 Dec 2007,-
500086,EXIDEIND,EXIDE INDUSTRIES LTD.,16 Jul 2008,Dividend - Rs. - 0.4000,-,18 Jul 2008,25 Jul 2008,11 Jul 2008,17 Jul 2008,-
500086,EXIDEIND,EXIDE INDUSTRIES LTD.,23 Jan 2009,Interim Dividend - Rs. - 0.4000,27 Jan 2009,-,-,19 Jan 2009,23 Jan 2009,-
500086,EXIDEIND,EXIDE INDUSTRIES LTD.,08 Jul 2009,Final Dividend - Rs. - 0.2000,-,10 Jul 2009,17 Jul 2009,03 Jul 2009,09 Jul 2009,-
500086,EXIDEIND,EXIDE INDUSTRIES LTD.,27 Oct 2009,Interim Dividend - Rs. - 0.6000,28 Oct 2009,-,-,21 Oct 2009,27 Oct 2009,-
500086,EXIDEIND,EXIDE INDUSTRIES LTD.,02 Jul 2010,Dividend - Rs. - 0.4000,-,06 Jul 2010,14 Jul 2010,29 Jun 2010,05 Jul 2010,-
500086,EXIDEIND,EXIDE INDUSTRIES LTD.,21 Oct 2010,Interim Dividend - Rs. - 0.9000,22 Oct 2010,-,-,15 Oct 2010,21 Oct 2010,-
500086,EXIDEIND,EXIDE INDUSTRIES LTD.,14 Jul 2011,Final Dividend - Rs. - 0.6000,-,16 Jul 2011,21 Jul 2011,11 Jul 2011,14 Jul 2011,-
500086,EXIDEIND,EXIDE INDUSTRIES LTD.,02 Nov 2011,Interim Dividend - Rs. - 0.9000,03 Nov 2011,-,-,25 Oct 2011,02 Nov 2011,-
500086,EXIDEIND,EXIDE INDUSTRIES LTD.,06 Jul 2012,Final Dividend - Rs. - 0.6000,-,10 Jul 2012,17 Jul 2012,03 Jul 2012,09 Jul 2012,-
500086,EXIDEIND,EXIDE INDUSTRIES LTD.,31 Oct 2012,Interim Dividend - Rs. - 1.0000,01 Nov 2012,-,-,23 Oct 2012,31 Oct 2012,-
500086,EXIDEIND,EXIDE INDUSTRIES LTD.,27 Jun 2013,Final Dividend - Rs. - 0.6000,-,02 Jul 2013,16 Jul 2013,25 Jun 2013,01 Jul 2013,-
500086,EXIDEIND,EXIDE INDUSTRIES LTD.,05 Nov 2013,Interim Dividend - Rs. - 1.1000,06 Nov 2013,-,-,29 Oct 2013,05 Nov 2013,-
500086,EXIDEIND,EXIDE INDUSTRIES LTD.,11 Jul 2014,Final Dividend - Rs. - 0.7000,-,15 Jul 2014,22 Jul 2014,08 Jul 2014,14 Jul 2014,-
500086,EXIDEIND,EXIDE INDUSTRIES LTD.,21 Aug 2014,Interim Dividend - Rs. - 1.5000,22 Aug 2014,-,-,13 Aug 2014,21 Aug 2014,-
500086,EXIDEIND,EXIDE INDUSTRIES LTD.,23 Jul 2015,Final Dividend - Rs. - 0.7000,-,25 Jul 2015,31 Jul 2015,20 Jul 2015,23 Jul 2015,-
500086,EXIDEIND,EXIDE INDUSTRIES LTD.,05 Nov 2015,Interim Dividend - Rs. - 1.6000,07 Nov 2015,-,-,02 Nov 2015,05 Nov 2015,-
500086,EXIDEIND,EXIDE INDUSTRIES LTD.,11 Jul 2016,Final Dividend - Rs. - 0.8000,-,13 Jul 2016,19 Jul 2016,05 Jul 2016,12 Jul 2016,-
500086,EXIDEIND,EXIDE INDUSTRIES LTD.,03 Nov 2016,Interim Dividend - Rs. - 1.6000,05 Nov 2016,-,-,28 Oct 2016,03 Nov 2016,-
500086,EXIDEIND,EXIDE INDUSTRIES LTD.,19 Jul 2017,Final Dividend - Rs. - 0.8000,-,21 Jul 2017,27 Jul 2017,14 Jul 2017,20 Jul 2017,-
500086,EXIDEIND,EXIDE INDUSTRIES LTD.,03 Nov 2017,Interim Dividend - Rs. - 1.6000,06 Nov 2017,-,-,30 Oct 2017,03 Nov 2017,-
