Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
500096,DABUR,DABUR INDIA LTD.,30 Nov 2000,-,15 Dec 2000,-,-,30 Nov 2000,13 Dec 2000,-
500096,DABUR,DABUR INDIA LTD.,23 May 2001,Interim Dividend - Rs. - 0.5000,07 Jun 2001,-,-,23 May 2001,05 Jun 2001,-
500096,DABUR,DABUR INDIA LTD.,14 Aug 2001,Final Dividend - Rs. - 0.5000,-,01 Sep 2001,18 Sep 2001,14 Aug 2001,30 Aug 2001,-
500096,DABUR,DABUR INDIA LTD.,19 Nov 2001,Interim Dividend - Rs. - 0.5000,04 Dec 2001,-,-,19 Nov 2001,29 Nov 2001,-
500096,DABUR,DABUR INDIA LTD.,15 Jun 2004,Scheme of Arrangement ,-,22 Jun 2004,22 Jun 2004,15 Jun 2004,22 Jun 2004,-
500096,DABUR,DABUR INDIA LTD.,15 Jun 2004,Dividend - Rs. - 1.4000,-,22 Jun 2004,22 Jun 2004,15 Jun 2004,22 Jun 2004,-
500096,DABUR,DABUR INDIA LTD.,29 Oct 2007,Interim Dividend - Rs. - 0.7500,30 Oct 2007,-,-,23 Oct 2007,29 Oct 2007,-
500096,DABUR,DABUR INDIA LTD.,19 Jun 2008,Final Dividend - Rs. - 0.7500,-,23 Jun 2008,04 Jul 2008,16 Jun 2008,20 Jun 2008,-
500096,DABUR,DABUR INDIA LTD.,02 Feb 2009,Interim Dividend - Rs. - 0.7500,03 Feb 2009,-,-,27 Jan 2009,02 Feb 2009,-
500096,DABUR,DABUR INDIA LTD.,29 Jun 2009,Final Dividend - Rs. - 1.0000,-,01 Jul 2009,15 Jul 2009,24 Jun 2009,29 Jun 2009,-
500096,DABUR,DABUR INDIA LTD.,30 Oct 2009,Interim Dividend - Rs. - 0.7500,03 Nov 2009,-,-,26 Oct 2009,30 Oct 2009,-
500096,DABUR,DABUR INDIA LTD.,03 Aug 2010,Final Dividend - Rs. - 1.2500,-,05 Aug 2010,10 Aug 2010,29 Jul 2010,04 Aug 2010,-
500096,DABUR,DABUR INDIA LTD.,08 Sep 2010,Bonus issue 1:1,10 Sep 2010,-,-,03 Sep 2010,08 Sep 2010,-
500096,DABUR,DABUR INDIA LTD.,02 Nov 2010,Interim Dividend - Rs. - 0.5000,03 Nov 2010,-,-,27 Oct 2010,02 Nov 2010,-
500096,DABUR,DABUR INDIA LTD.,29 Jun 2011,Final Dividend - Rs. - 0.6500,-,01 Jul 2011,08 Jul 2011,24 Jun 2011,29 Jun 2011,-
500096,DABUR,DABUR INDIA LTD.,04 Nov 2011,Interim Dividend - Rs. - 0.5500,08 Nov 2011,-,-,31 Oct 2011,04 Nov 2011,-
500096,DABUR,DABUR INDIA LTD.,27 Jun 2012,Final Dividend - Rs. - 0.7500,-,29 Jun 2012,06 Jul 2012,22 Jun 2012,27 Jun 2012,-
500096,DABUR,DABUR INDIA LTD.,31 Oct 2012,Interim Dividend - Rs. - 0.6500,01 Nov 2012,-,-,23 Oct 2012,31 Oct 2012,-
500096,DABUR,DABUR INDIA LTD.,21 Jun 2013,Final Dividend - Rs. - 0.8500,-,25 Jun 2013,02 Jul 2013,18 Jun 2013,24 Jun 2013,-
500096,DABUR,DABUR INDIA LTD.,05 Nov 2013,Interim Dividend - Rs. - 0.7500,06 Nov 2013,-,-,29 Oct 2013,05 Nov 2013,-
500096,DABUR,DABUR INDIA LTD.,27 Jun 2014,Final Dividend - Rs. - 1.0000,-,01 Jul 2014,08 Jul 2014,24 Jun 2014,27 Jun 2014,-
500096,DABUR,DABUR INDIA LTD.,19 Sep 2014,Interim Dividend - Rs. - 1.2500,22 Sep 2014,-,-,15 Sep 2014,19 Sep 2014,-
500096,DABUR,DABUR INDIA LTD.,29 Jun 2015,Final Dividend - Rs. - 0.7500,-,01 Jul 2015,08 Jul 2015,24 Jun 2015,30 Jun 2015,-
500096,DABUR,DABUR INDIA LTD.,05 Nov 2015,Interim Dividend - Rs. - 1.2500,06 Nov 2015,-,-,30 Oct 2015,05 Nov 2015,-
500096,DABUR,DABUR INDIA LTD.,29 Jun 2016,Final Dividend - Rs. - 1.0000,-,01 Jul 2016,08 Jul 2016,24 Jun 2016,30 Jun 2016,-
500096,DABUR,DABUR INDIA LTD.,03 Nov 2016,Interim Dividend - Rs. - 1.2500,04 Nov 2016,-,-,27 Oct 2016,03 Nov 2016,-
500096,DABUR,DABUR INDIA LTD.,05 Jul 2017,Final Dividend - Rs. - 1.0000,-,07 Jul 2017,14 Jul 2017,30 Jun 2017,06 Jul 2017,-
500096,DABUR,DABUR INDIA LTD.,07 Nov 2017,Interim Dividend - Rs. - 1.2500,08 Nov 2017,-,-,01 Nov 2017,07 Nov 2017,-
500096,DABUR,DABUR INDIA LTD.,04 Jul 2018,Final Dividend - Rs. - 1.2500,-,06 Jul 2018,13 Jul 2018,29 Jun 2018,05 Jul 2018,-
500096,DABUR,DABUR INDIA LTD.,04 Jul 2018,Special Dividend - Rs. - 5.0000,-,06 Jul 2018,13 Jul 2018,29 Jun 2018,05 Jul 2018,-
500096,DABUR,DABUR INDIA LTD.,09 Nov 2018,Interim Dividend - Rs. - 1.2500,12 Nov 2018,-,-,01 Nov 2018,09 Nov 2018,-
500096,DABUR,DABUR INDIA LTD.,07 Aug 2019,Final Dividend - Rs. - 1.5000,-,09 Aug 2019,16 Aug 2019,02 Aug 2019,08 Aug 2019,-
500096,DABUR,DABUR INDIA LTD.,13 Nov 2019,Interim Dividend - Rs. - 1.4000,14 Nov 2019,-,-,06 Nov 2019,13 Nov 2019,-
500096,DABUR,DABUR INDIA LTD.,13 Aug 2020,Final Dividend - Rs. - 1.6000,-,17 Aug 2020,21 Aug 2020,10 Aug 2020,14 Aug 2020,-
500096,DABUR,DABUR INDIA LTD.,11 Nov 2020,Interim Dividend - Rs. - 1.7500,12 Nov 2020,-,-,05 Nov 2020,11 Nov 2020,-
