Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
500049,BEL,BHARAT ELECTRONICS LTD.,27 Aug 2001,Dividend - Rs. - 4.0000,-,10 Sep 2001,16 Sep 2001,27 Aug 2001,07 Sep 2001,-
500049,BEL,BHARAT ELECTRONICS LTD.,07 Sep 2007,Final Dividend - Rs. - 14.0000,-,11 Sep 2007,20 Sep 2007,04 Sep 2007,10 Sep 2007,-
500049,BEL,BHARAT ELECTRONICS LTD.,30 Jan 2008,Interim Dividend - Rs. - 6.0000,31 Jan 2008,-,-,24 Jan 2008,30 Jan 2008,-
500049,BEL,BHARAT ELECTRONICS LTD.,12 Sep 2008,Final Dividend - Rs. - 14.7000,-,16 Sep 2008,29 Sep 2008,09 Sep 2008,15 Sep 2008,-
500049,BEL,BHARAT ELECTRONICS LTD.,28 Jan 2009,Interim Dividend - Rs. - 6.0000,29 Jan 2009,-,-,21 Jan 2009,28 Jan 2009,-
500049,BEL,BHARAT ELECTRONICS LTD.,14 Sep 2009,Final Dividend - Rs. - 12.7000,-,16 Sep 2009,25 Sep 2009,09 Sep 2009,15 Sep 2009,-
500049,BEL,BHARAT ELECTRONICS LTD.,03 Feb 2010,Interim Dividend - Rs. - 6.0000,04 Feb 2010,-,-,28 Jan 2010,03 Feb 2010,-
500049,BEL,BHARAT ELECTRONICS LTD.,13 Sep 2010,Final Dividend - Rs. - 13.2000,-,15 Sep 2010,28 Sep 2010,07 Sep 2010,14 Sep 2010,-
500049,BEL,BHARAT ELECTRONICS LTD.,02 Feb 2011,Interim Dividend - Rs. - 6.0000,03 Feb 2011,-,-,27 Jan 2011,02 Feb 2011,-
500049,BEL,BHARAT ELECTRONICS LTD.,13 Sep 2011,Final Dividend - Rs. - 15.6000,-,15 Sep 2011,26 Sep 2011,08 Sep 2011,14 Sep 2011,-
500049,BEL,BHARAT ELECTRONICS LTD.,01 Feb 2012,Interim Dividend - Rs. - 10.0000,02 Feb 2012,-,-,25 Jan 2012,01 Feb 2012,-
500049,BEL,BHARAT ELECTRONICS LTD.,07 Sep 2012,Final Dividend - Rs. - 10.8000,-,11 Sep 2012,21 Sep 2012,04 Sep 2012,10 Sep 2012,-
500049,BEL,BHARAT ELECTRONICS LTD.,30 Jan 2013,Interim Dividend - Rs. - 6.0000,31 Jan 2013,-,-,23 Jan 2013,30 Jan 2013,-
500049,BEL,BHARAT ELECTRONICS LTD.,06 Sep 2013,Final Dividend - Rs. - 16.3000,-,11 Sep 2013,20 Sep 2013,03 Sep 2013,10 Sep 2013,18 Oct 2013
500049,BEL,BHARAT ELECTRONICS LTD.,29 Jan 2014,Interim Dividend - Rs. - 6.0000,30 Jan 2014,-,-,23 Jan 2014,29 Jan 2014,-
500049,BEL,BHARAT ELECTRONICS LTD.,12 Sep 2014,Final Dividend - Rs. - 17.3000,-,16 Sep 2014,25 Sep 2014,09 Sep 2014,15 Sep 2014,23 Oct 2014
500049,BEL,BHARAT ELECTRONICS LTD.,28 Jan 2015,Interim Dividend - Rs. - 6.0000,29 Jan 2015,-,-,21 Jan 2015,28 Jan 2015,20 Feb 2015
500049,BEL,BHARAT ELECTRONICS LTD.,10 Aug 2015,Final Dividend - Rs. - 23.2000,-,12 Aug 2015,14 Aug 2015,05 Aug 2015,11 Aug 2015,-
500049,BEL,BHARAT ELECTRONICS LTD.,14 Sep 2015,Bonus issue 2:1,15 Sep 2015,-,-,08 Sep 2015,14 Sep 2015,-
500049,BEL,BHARAT ELECTRONICS LTD.,04 Feb 2016,Interim Dividend - Rs. - 2.5000,05 Feb 2016,-,-,29 Jan 2016,04 Feb 2016,-
500049,BEL,BHARAT ELECTRONICS LTD.,18 Aug 2016,Final Dividend - Rs. - 14.5000,-,22 Aug 2016,24 Aug 2016,11 Aug 2016,19 Aug 2016,-
500049,BEL,BHARAT ELECTRONICS LTD.,26 Sep 2016,Buy Back of Shares ,27 Sep 2016,-,-,20 Sep 2016,26 Sep 2016,-
500049,BEL,BHARAT ELECTRONICS LTD.,02 Feb 2017,Interim Dividend - Rs. - 3.0000,04 Feb 2017,-,-,30 Jan 2017,02 Feb 2017,-
500049,BEL,BHARAT ELECTRONICS LTD.,16 Mar 2017,Stock  Split From Rs.10/- to Rs.1/-,17 Mar 2017,-,-,09 Mar 2017,16 Mar 2017,-
500049,BEL,BHARAT ELECTRONICS LTD.,29 Mar 2017,Interim Dividend - Rs. - 0.9000,30 Mar 2017,-,-,-,-,-
500049,BEL,BHARAT ELECTRONICS LTD.,14 Aug 2017,Final Dividend - Rs. - 1.0500,-,17 Aug 2017,21 Aug 2017,09 Aug 2017,14 Aug 2017,-
500049,BEL,BHARAT ELECTRONICS LTD.,28 Sep 2017,Bonus issue 1:10,29 Sep 2017,-,-,22 Sep 2017,28 Sep 2017,-
500049,BEL,BHARAT ELECTRONICS LTD.,08 Feb 2018,Buy Back of Shares ,09 Feb 2018,-,-,02 Feb 2018,08 Feb 2018,-
500049,BEL,BHARAT ELECTRONICS LTD.,08 Feb 2018,Interim Dividend - Rs. - 1.6000,09 Feb 2018,-,-,02 Feb 2018,08 Feb 2018,-
500049,BEL,BHARAT ELECTRONICS LTD.,20 Aug 2018,Final Dividend - Rs. - 0.4000,-,22 Aug 2018,24 Aug 2018,13 Aug 2018,20 Aug 2018,-
500049,BEL,BHARAT ELECTRONICS LTD.,08 Feb 2019,Interim Dividend - Rs. - 0.3000,11 Feb 2019,-,-,04 Feb 2019,08 Feb 2019,-
500049,BEL,BHARAT ELECTRONICS LTD.,19 Mar 2019,Interim Dividend - Rs. - 0.7000,20 Mar 2019,-,-,13 Mar 2019,19 Mar 2019,-
500049,BEL,BHARAT ELECTRONICS LTD.,27 Mar 2019,Interim Dividend - Rs. - 0.7000,28 Mar 2019,-,-,27 Mar 2019,27 Mar 2019,-
500049,BEL,BHARAT ELECTRONICS LTD.,20 Aug 2019,Final Dividend - Rs. - 1.7000,-,22 Aug 2019,24 Aug 2019,14 Aug 2019,21 Aug 2019,-
500049,BEL,BHARAT ELECTRONICS LTD.,11 Feb 2020,Interim Dividend - Rs. - 1.4000,12 Feb 2020,-,-,05 Feb 2020,11 Feb 2020,-
