Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
506395,COROMANDEL,COROMANDEL INTERNATIONAL LTD.,02 Jul 2001,Dividend - Rs. - 6.5000,-,16 Jul 2001,31 Jul 2001,02 Jul 2001,13 Jul 2001,-
506395,COROMANDEL,COROMANDEL INTERNATIONAL LTD.,28 Feb 2002,Interim Dividend - Rs. - 2.5000,15 Mar 2002,-,-,28 Feb 2002,07 Mar 2002,-
506395,COROMANDEL,COROMANDEL INTERNATIONAL LTD.,02 Jan 2006,-,09 Jan 2006,-,-,02 Jan 2006,06 Jan 2006,-
506395,COROMANDEL,COROMANDEL INTERNATIONAL LTD.,12 Jul 2007,Dividend - Rs. - 2.0000,-,16 Jul 2007,24 Jul 2007,09 Jul 2007,13 Jul 2007,-
506395,COROMANDEL,COROMANDEL INTERNATIONAL LTD.,14 Jul 2008,Dividend - Rs. - 3.5000,-,16 Jul 2008,22 Jul 2008,09 Jul 2008,15 Jul 2008,-
506395,COROMANDEL,COROMANDEL INTERNATIONAL LTD.,29 Jan 2009,Interim Dividend - Rs. - 6.0000,30 Jan 2009,-,-,22 Jan 2009,29 Jan 2009,-
506395,COROMANDEL,COROMANDEL INTERNATIONAL LTD.,13 Jul 2009,Final Dividend - Rs. - 4.0000,-,15 Jul 2009,21 Jul 2009,08 Jul 2009,14 Jul 2009,-
506395,COROMANDEL,COROMANDEL INTERNATIONAL LTD.,02 Feb 2010,Interim Dividend - Rs. - 6.0000,03 Feb 2010,-,-,27 Jan 2010,02 Feb 2010,-
506395,COROMANDEL,COROMANDEL INTERNATIONAL LTD.,14 Jul 2010,Final Dividend - Rs. - 4.0000,-,16 Jul 2010,22 Jul 2010,09 Jul 2010,15 Jul 2010,-
506395,COROMANDEL,COROMANDEL INTERNATIONAL LTD.,23 Dec 2010,Stock  Split From Rs.2/- to Rs.1/-,24 Dec 2010,-,-,16 Dec 2010,23 Dec 2010,-
506395,COROMANDEL,COROMANDEL INTERNATIONAL LTD.,21 Jan 2011,Interim Dividend - Rs. - 4.0000,24 Jan 2011,-,-,17 Jan 2011,21 Jan 2011,-
506395,COROMANDEL,COROMANDEL INTERNATIONAL LTD.,13 Jul 2011,Final Dividend - Rs. - 3.0000,-,15 Jul 2011,21 Jul 2011,08 Jul 2011,14 Jul 2011,-
506395,COROMANDEL,COROMANDEL INTERNATIONAL LTD.,02 Feb 2012,Interim Dividend - Rs. - 4.0000,03 Feb 2012,-,-,27 Jan 2012,02 Feb 2012,-
506395,COROMANDEL,COROMANDEL INTERNATIONAL LTD.,13 Jul 2012,Final Dividend - Rs. - 3.0000,-,17 Jul 2012,23 Jul 2012,10 Jul 2012,16 Jul 2012,-
506395,COROMANDEL,COROMANDEL INTERNATIONAL LTD.,13 Jul 2012,Scheme of Arrangement ,-,17 Jul 2012,23 Jul 2012,10 Jul 2012,16 Jul 2012,-
506395,COROMANDEL,COROMANDEL INTERNATIONAL LTD.,19 Jun 2013,Dividend - Rs. - 4.5000,-,21 Jun 2013,28 Jun 2013,14 Jun 2013,20 Jun 2013,31 Jul 2013
506395,COROMANDEL,COROMANDEL INTERNATIONAL LTD.,14 Jul 2014,Dividend - Rs. - 4.5000,-,16 Jul 2014,23 Jul 2014,09 Jul 2014,15 Jul 2014,-
506395,COROMANDEL,COROMANDEL INTERNATIONAL LTD.,27 Mar 2015,Interim Dividend - Rs. - 2.0000,30 Mar 2015,-,-,23 Mar 2015,27 Mar 2015,-
506395,COROMANDEL,COROMANDEL INTERNATIONAL LTD.,16 Jul 2015,Final Dividend - Rs. - 2.5000,-,18 Jul 2015,27 Jul 2015,13 Jul 2015,16 Jul 2015,-
506395,COROMANDEL,COROMANDEL INTERNATIONAL LTD.,14 Jul 2016,Dividend - Rs. - 4.0000,-,16 Jul 2016,26 Jul 2016,11 Jul 2016,14 Jul 2016,-
506395,COROMANDEL,COROMANDEL INTERNATIONAL LTD.,13 Jul 2017,Dividend - Rs. - 5.0000,-,17 Jul 2017,28 Jul 2017,10 Jul 2017,14 Jul 2017,-
506395,COROMANDEL,COROMANDEL INTERNATIONAL LTD.,22 Mar 2018,Interim Dividend - Rs. - 3.0000,24 Mar 2018,-,-,19 Mar 2018,22 Mar 2018,-
506395,COROMANDEL,COROMANDEL INTERNATIONAL LTD.,19 Jul 2018,Final Dividend - Rs. - 3.5000,-,21 Jul 2018,27 Jul 2018,16 Jul 2018,19 Jul 2018,-
506395,COROMANDEL,COROMANDEL INTERNATIONAL LTD.,31 Jan 2019,Interim Dividend - Rs. - 3.0000,01 Feb 2019,-,-,25 Jan 2019,31 Jan 2019,-
506395,COROMANDEL,COROMANDEL INTERNATIONAL LTD.,10 Jul 2019,Final Dividend - Rs. - 3.5000,-,12 Jul 2019,22 Jul 2019,05 Jul 2019,11 Jul 2019,-
506395,COROMANDEL,COROMANDEL INTERNATIONAL LTD.,16 Jul 2020,Final Dividend - Rs. - 12.0000,-,18 Jul 2020,24 Jul 2020,13 Jul 2020,16 Jul 2020,-
506395,COROMANDEL,COROMANDEL INTERNATIONAL LTD.,10 Feb 2021,Interim Dividend - Rs. - 6.0000,11 Feb 2021,-,-,04 Feb 2021,10 Feb 2021,-
