threshold,accuracy,precision,recall,f1_score,confusion matrix,epochs,batch_size,optimizer,activation,dropout_rate,neurons,layers,rate_of_growth
0.43999999999999995,0.5353535353535354,0.5125,0.29285714285714287,0.3727272727272727,"[[354 117]
 [297 123]]",25,25,adam,relu,0.2,32,2,0.001
0.49,0.5398428731762065,0.47391304347826085,0.27386934673366836,0.3471337579617835,"[[372 121]
 [289 109]]",25,25,adam,relu,0.2,32,2,0.002
0.42999999999999994,0.42424242424242425,0.42424242424242425,1.0,0.5957446808510638,"[[  0 513]
 [  0 378]]",25,25,adam,sigmoid,0.2,32,2,0.003
0.4099999999999999,0.40179573512906847,0.40179573512906847,1.0,0.5732586068855084,"[[  0 533]
 [  0 358]]",25,25,adam,sigmoid,0.2,32,2,0.004
0.42999999999999994,0.5454545454545454,0.375,0.3026706231454006,0.3349753694581281,"[[384 170]
 [235 102]]",25,25,adam,relu,0.2,32,2,0.005
