root_mean_squared_error,mean_absolute_error,mean_squared_error,accuracy,precision,recall,f1_score,confusion matrix,C,gamma,kernel,rate_of_growth
0.5994064546587237,0.3592880978865406,0.3592880978865406,0.6407119021134594,0.28761061946902655,0.28634361233480177,0.28697571743929357,"[[511 161]
 [162  65]]",1000,1e-05,sigmoid,0.01
0.44371773488741145,0.19688542825361513,0.19688542825361513,0.8031145717463849,0.08653846153846154,0.0989010989010989,0.0923076923076923,"[[713  95]
 [ 82   9]]",10,0.0001,sigmoid,0.02
0.29643788072738714,0.0878754171301446,0.0878754171301446,0.9121245828698554,0.09523809523809523,0.08888888888888889,0.09195402298850575,"[[816  38]
 [ 41   4]]",1000,0.1,rbf,0.03
0.2187028194789756,0.047830923248053395,0.047830923248053395,0.9521690767519466,0.047619047619047616,0.041666666666666664,0.044444444444444446,"[[855  20]
 [ 23   1]]",10,0.0001,sigmoid,0.04
0.1375132716822827,0.018909899888765295,0.018909899888765295,0.9810901001112347,0.16666666666666666,0.07692307692307693,0.10526315789473684,"[[881   5]
 [ 12   1]]",1000,0.01,rbf,0.05
