root_mean_squared_error,mean_absolute_error,mean_squared_error,accuracy,precision,recall,f1_score,confusion matrix,epochs,batch_size,threshold
0.4297087509913333,0.1846496106785317,0.1846496106785317,0.8153503893214683,0.0,0.0,0.0,"[[733 166]
 [  0   0]]",25,25,0.01
0.26889135054556934,0.07230255839822025,0.07230255839822025,0.9276974416017798,0.0,0.0,0.0,"[[834  65]
 [  0   0]]",25,25,0.02
0.18569533817705186,0.034482758620689655,0.034482758620689655,0.9655172413793104,0.0,0.0,0.0,"[[868  31]
 [  0   0]]",25,25,0.03
0.11553425737574002,0.013348164627363738,0.013348164627363738,0.9866518353726362,0.0,0.0,0.0,"[[887  12]
 [  0   0]]",25,25,0.04
0.07457704245544709,0.0055617352614015575,0.0055617352614015575,0.9944382647385984,0.0,0.0,0.0,"[[894   5]
 [  0   0]]",25,25,0.05
0.0,0.0,0.0,1.0,0.0,0.0,0.0,[[899]],25,25,0.1
