SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500113,STEEL AUTH. ,A ,Q,66.65,67.55,66.10,66.90,66.90,66.65,2713,1281273,85779397.00,
500114,TITAN       ,A ,Q,1554.50,1573.65,1512.10,1524.15,1524.15,1563.30,13761,297355,454294537.00,
500116,IDBI BANK L ,A ,Q,29.65,30.15,29.50,29.65,29.65,29.65,1015,420433,12539416.00,
500117,DCW LTD.    ,B ,Q,21.30,21.90,20.95,21.25,21.25,20.90,304,137047,2941640.00,
500119,DHAMPUR SUGA,A ,Q,167.05,169.00,166.10,167.15,167.35,171.20,347,20083,3362278.00,
500120,DIAMINES&CHM,X ,Q,311.00,315.00,300.50,310.70,311.90,313.45,618,23365,7220196.00,
500123,ELANTAS     ,A ,Q,2959.00,3000.00,2725.00,2998.25,2998.25,2951.95,135,2982,8776160.00,
500124,DR.REDDY'S  ,A ,Q,4821.10,4860.80,4810.00,4824.90,4824.90,4821.10,1236,12189,58870905.00,
500125,E.I.D.PAR   ,A ,Q,329.20,333.55,327.10,328.60,328.00,329.60,678,14633,4831942.00,
500126,PGHL        ,A ,Q,7499.95,7499.95,7252.30,7413.20,7400.00,7325.05,679,2001,14795065.00,
500128,ELEC.CASTING,B ,Q,21.50,22.55,21.40,22.30,22.30,21.80,528,209170,4592929.00,
500133,ESAB INDIA  ,A ,Q,1950.00,1950.00,1851.50,1861.95,1866.95,1929.80,275,1046,1958746.00,
500135,EPL         ,A ,Q,205.00,223.20,205.00,220.95,220.95,204.95,10503,400209,85717901.00,
500136,ESTER INDUS.,B ,Q,107.40,109.75,105.40,107.60,108.00,106.55,305,20296,2177703.00,
500143,P.H.CAPITAL ,X ,Q,18.70,18.70,18.70,18.70,18.70,17.85,3,210,3927.00,
500144,FINOL. CABLE,A ,Q,371.00,385.40,369.85,375.00,375.00,369.30,790,24484,9255464.00,
500147,COCKERILL   ,X ,Q,824.95,845.00,804.05,825.00,825.00,808.35,24,942,776739.00,
