Date,Open,High,Low,Close,% Return,% YTD
2007-08-02,5839.67,5902.71,5804.62,5844.15,,231.46394257505372
2007-08-03,5872.6,5945.48,5872.6,5915.94,1.228407895074568,227.44162381633353
2007-08-06,5831.97,5844.57,5754.78,5834.34,-1.379324333918186,232.0212740429937
2007-08-07,5879.09,5922.12,5845.97,5858.5,0.4140999667485934,230.65204403857643
2007-08-08,5900.71,5999.99,5900.71,5987.59,2.2034650507809284,223.5233207350537
2007-08-09,6031.12,6077.57,5884.53,5897.26,-1.5086203297152934,228.47881897694862
2007-08-10,5769.28,5825.65,5693.23,5815.0,-1.3948850822246284,233.12553740326743
2007-08-13,5848.38,5884.97,5825.25,5873.17,1.0003439380911416,229.82614158963557
2007-08-14,5891.57,5893.51,5854.95,5867.47,-0.09705150710774824,230.14655379575862
2007-08-16,5733.62,5733.62,5619.81,5623.14,-4.164145705048339,244.49168969650407
2007-08-17,5604.59,5622.4,5398.55,5530.94,-1.639653289798948,250.2343182171566
2007-08-20,5647.51,5728.39,5633.7,5642.44,2.0159321923578943,243.3133537972934
2007-08-21,5669.9,5677.02,5441.0,5457.0,-3.286521433989542,254.9798424042514
2007-08-22,5481.29,5544.52,5390.71,5532.32,1.3802455561663818,250.14695462301532
2007-08-23,5597.79,5646.25,5475.69,5491.14,-0.7443531827515337,252.77283041408523
2007-08-24,5515.35,5588.13,5488.17,5579.52,1.6095018520744242,247.1848832874512
2007-08-27,5632.05,5751.4,5632.05,5746.73,2.99685277586601,237.083001985477
2007-08-28,5755.3,5794.04,5723.07,5783.86,0.6461065684310929,234.9190678889185
2007-08-29,5708.21,5827.93,5667.39,5818.23,0.5942398329143561,232.94060221063796
2007-08-30,5871.01,5889.75,5843.59,5859.48,0.7089785037717622,230.59674237304338
2007-08-31,5867.89,5953.77,5867.89,5950.11,1.546724282700862,225.56120811211895
2007-09-03,5975.41,6015.79,5961.64,6013.97,1.073257469189648,222.10420071932515
2007-09-04,6034.7,6065.5,6012.82,6039.74,0.428502303802647,220.72986585515272
2007-09-05,6062.13,6084.0,6022.59,6037.36,-0.039405669780490094,220.85630142976402
2007-09-06,6016.81,6105.76,6007.12,6100.2,1.0408522930552389,217.5510638995443
2007-09-07,6115.78,6142.79,6075.38,6085.09,-0.2476967968263244,218.33958084432604
2007-09-10,6035.58,6112.25,6019.4,6101.85,0.2754273149616626,217.46519498184975
2007-09-11,6131.0,6151.84,6078.51,6093.12,-0.14307136360285355,217.92004752901636
2007-09-12,6113.58,6142.07,6093.52,6101.23,0.13310094007668027,217.49745543111803
2007-09-13,6117.95,6165.47,6117.95,6153.75,0.8608100333867164,214.7877310582978
2007-09-14,6186.62,6229.94,6125.24,6137.54,-0.2634166158846263,215.6191242745465
2007-09-17,6156.12,6185.83,6102.63,6125.07,-0.20317586524895015,216.26169170311528
2007-09-18,6136.33,6199.84,6117.21,6192.88,1.1070893883661892,212.7987301546292
2007-09-19,6274.51,6403.44,6274.51,6399.48,3.3360891862913356,202.70037565552204
2007-09-20,6408.55,6463.22,6386.94,6437.81,0.5989549150868578,200.89813150745363
2007-09-21,6442.58,6526.72,6435.35,6514.38,1.1893796182242067,197.36137590991007
2007-09-24,6559.28,6631.62,6533.14,6626.9,1.7272557020008072,192.31239342679083
2007-09-25,6652.93,6657.96,6544.18,6631.44,0.06850865412184604,192.11227124123872
2007-09-26,6656.15,6710.1,6635.86,6647.44,0.24127489655338952,191.40917405798325
2007-09-27,6691.26,6734.03,6678.3,6698.44,0.7672126412573865,189.19046822842333
2007-09-28,6708.28,6788.1,6708.28,6773.54,1.1211565677978763,185.9841382792454
2007-10-01,6792.93,6859.47,6746.65,6827.66,0.7989913693578155,183.71726184373563
2007-10-03,6877.96,7048.13,6759.87,6979.61,2.2255062495789124,177.54057891486775
2007-10-04,6972.42,6991.19,6865.33,6974.21,-0.07736821971427998,177.75547337978063
2007-10-05,6992.67,7024.54,6904.41,6930.81,-0.6222927041198867,179.49474881002362
2007-10-08,6972.23,7005.96,6687.36,6764.77,-2.3956795814630616,186.35489454926037
2007-10-09,6730.34,7046.61,6668.79,7035.25,3.9983621024809457,175.345581180484
2007-10-10,7091.95,7199.46,7091.95,7175.39,1.9919690131836143,169.96790418360536
2007-10-11,7198.61,7273.71,7152.89,7269.13,1.3064098258073642,166.4864983842633
2007-10-12,7251.17,7299.29,7110.86,7140.78,-1.765685852364729,171.27638717339005
2007-10-15,7173.14,7393.75,7173.14,7384.19,3.408731259050124,162.33412195515012
2007-10-16,7404.13,7449.25,7315.59,7421.08,0.49958086127253054,161.03006570472223
2007-10-17,7049.98,7294.89,6778.46,7264.0,-2.1166730448937354,166.67469713656388
2007-10-18,7309.94,7472.33,6917.04,7006.4,-3.5462555066079315,176.4793617264216
2007-10-19,7009.33,7009.33,6686.63,6807.66,-2.8365494405115266,184.55078543875575
2007-10-22,6692.5,6880.25,6655.49,6831.7,0.3531316193816858,183.54948255924586
2007-10-23,6917.01,7194.62,6917.01,7183.6,5.150987309161703,169.65936299348513
2007-10-24,7265.11,7333.68,7147.14,7234.51,0.7086975889526226,167.7617419839077
2007-10-25,7241.35,7364.4,7223.41,7326.87,1.2766586817904768,164.38642967597352
2007-10-26,7355.0,7521.82,7296.29,7511.32,2.5174460581394165,157.8940851940804
2007-10-29,7630.5,7763.31,7630.5,7747.05,3.1383298807666327,150.04679200469857
2007-10-30,7794.16,7837.95,7685.05,7733.66,-0.17283998425207114,150.47972111522876
2007-10-31,7757.8,7842.22,7731.12,7785.22,0.6666959757734459,148.82084257092285
2007-11-01,7880.34,7931.66,7675.88,7711.05,-0.9527026853447973,151.21416668287713
2007-11-02,7589.93,7817.07,7540.02,7805.41,1.2236984587053579,148.17722579595434
2007-11-05,7821.26,7865.37,7711.24,7742.26,-0.8090542328974326,150.2014915541457
2007-11-06,7788.31,7882.26,7634.2,7665.08,-0.9968665480105332,152.7207804745678
2007-11-07,7732.81,7778.94,7587.14,7635.51,-0.3857754909276867,153.69949093118862
2007-11-08,7560.33,7605.22,7496.58,7559.26,-0.998623536607246,156.25854911724164
2007-11-09,7623.88,7662.46,7481.39,7538.64,-0.2727780232456567,156.95947810215105
2007-11-12,7448.02,7488.46,7296.63,7467.75,-0.9403552895482559,159.39874794951626
2007-11-13,7463.78,7647.3,7455.55,7596.57,1.725017575574972,154.99995392657476
2007-11-14,7705.64,7906.26,7705.64,7890.75,3.872537210872795,145.49314070272152
2007-11-15,7913.43,7956.51,7882.84,7912.48,0.27538573646357367,144.81894425009605
2007-11-16,7864.24,7994.5,7829.76,7927.8,0.1936181829211625,144.34584626251925
2007-11-19,8012.01,8057.52,7986.2,7999.53,0.9047907363959773,142.15485159753138
2007-11-20,7958.97,8042.45,7814.47,7855.32,-1.802730910440986,146.6003931093832
2007-11-21,7844.63,7867.32,7479.85,7524.3,-4.213959456775784,157.44919793203357
2007-11-22,7586.21,7588.09,7300.0,7474.21,-0.6657097670215162,159.1745482131222
2007-11-23,7559.28,7637.69,7480.85,7605.57,1.7575101582642194,154.69820144972698
2007-11-26,7723.99,7801.69,7712.37,7761.89,2.055335760501853,149.568726173651
2007-11-27,7728.27,7756.82,7680.91,7744.52,-0.22378570167832512,150.1284779431133
2007-11-28,7807.39,7816.77,7645.17,7669.49,-0.968814077567115,152.5754646006449
2007-11-29,7814.26,7816.95,7662.06,7681.11,0.15150942239965381,152.19336788563115
2007-11-30,7730.61,7880.99,7709.54,7865.98,2.406813598555413,146.26619950724512
2007-12-03,7943.25,8025.77,7932.79,8019.14,1.9471191129395216,141.5626862730916
2007-12-04,8067.43,8092.52,8031.19,8057.36,0.4766097112657963,140.41683628384484
2007-12-05,8115.25,8183.2,8072.38,8168.75,1.382462742138868,137.13848508033664
2007-12-06,8288.04,8301.72,8141.06,8181.93,0.16134659525630646,136.75648655023934
2007-12-07,8289.07,8298.4,8098.21,8219.2,0.45551599683693045,135.6829131788982
2007-12-10,8270.21,8272.79,8198.78,8240.57,0.2600009733307207,135.07172440741354
2007-12-11,8303.94,8385.71,8295.85,8360.75,1.4583942615620016,131.6927309152887
2007-12-12,8322.89,8465.66,8268.66,8452.26,1.0945190323834675,129.18426551005294
2007-12-13,8494.74,8515.1,8373.41,8388.34,-0.7562474415126808,130.93067281488354
2007-12-14,8405.08,8442.94,8356.22,8390.52,0.025988455403580524,130.87067309296683
2007-12-17,8376.08,8393.01,7986.35,8032.16,-4.271010616743665,141.17111710922092
2007-12-18,8053.42,8089.61,7919.6,8000.88,-0.3894344734168609,142.1139924608293
2007-12-19,8056.25,8157.9,7907.29,8002.18,0.016248212696612363,142.07465965524392
2007-12-20,8038.3,8064.04,7976.2,7995.62,-0.08197766108736237,142.2732696151143
2007-12-24,8060.61,8248.28,8060.61,8240.16,3.0584244874068522,135.0834207102775
2007-12-26,8283.53,8418.57,8283.53,8412.16,2.087338109939618,130.27676601491174
2007-12-27,8458.18,8476.34,8406.61,8425.68,0.1607197200243604,129.9072597107889
2007-12-28,8410.19,8503.13,8373.47,8497.59,0.8534622724812646,127.96169266815652
2007-12-31,8549.17,8616.65,8549.17,8592.43,1.1160811477136434,125.445537525473
2008-01-01,8620.1,8685.32,8601.24,8660.63,0.7937219156862296,123.67021798645138
2008-01-02,8703.62,8787.36,8595.08,8765.73,1.213537583293589,120.98844020977148
2008-01-03,8753.08,8817.09,8719.85,8746.04,-0.22462476028806133,121.48595249964553
2008-01-04,8770.1,8888.6,8770.1,8850.48,1.1941404338420503,118.87230975043161
2008-01-07,8817.23,8910.37,8764.84,8882.28,0.35930254630258673,118.08871145696824
2008-01-08,8939.19,8991.42,8717.3,8799.86,-0.9279149047316637,120.13134299863859
2008-01-09,8803.48,8882.88,8705.4,8778.98,-0.23727650212618245,120.65490523956086
2008-01-10,8806.32,8893.6,8550.14,8566.49,-2.4204406434460424,126.1282042003201
2008-01-11,8602.17,8657.65,8467.4,8623.69,0.6677180502166147,124.62832035938209
2008-01-14,8657.98,8688.95,8611.86,8667.47,0.507671310077229,123.49370692947308
2008-01-15,8711.65,8743.18,8489.66,8508.44,-1.8347914674062826,127.67099491798733
2008-01-16,8452.49,8452.49,8179.27,8343.63,-1.937017831705945,132.16813305479752
2008-01-17,8388.68,8443.85,8287.82,8324.23,-0.23251270729885976,132.70921154268925
2008-01-18,8287.08,8304.4,7943.48,7972.8,-4.2217718635837675,142.96671182018864
2008-01-21,7930.85,7930.85,6943.94,7195.23,-9.752784467188446,169.22349945727936
2008-01-22,6946.73,6946.73,6124.82,6737.12,-6.366856931606069,187.53013156957277
2008-01-23,6978.62,7330.37,6862.71,7182.93,6.617219227206883,169.6845159287366
2008-01-24,7303.5,7425.58,6892.31,6970.31,-2.9600733962324544,177.91088201242124
2008-01-25,7076.6,7468.8,7076.6,7452.49,6.917626332257809,159.92990262315013
2008-01-28,7330.4,7402.54,7092.66,7386.64,-0.8835972943271209,162.24711100040074
2008-01-29,7463.9,7532.42,7289.94,7373.42,-0.17897176524103164,162.71730079122034
2008-01-30,7380.62,7384.85,7182.82,7209.93,-2.2172885852155377,168.67459184763237
2008-01-31,7228.82,7292.81,7037.12,7160.03,-0.6921010328810429,170.54705078051347
2008-02-01,7216.35,7320.55,7082.74,7302.35,1.9877011688498536,165.27419255445164
2008-02-04,7389.46,7589.57,7389.46,7505.14,2.7770512232363487,158.10644438344917
2008-02-05,7484.58,7560.93,7447.41,7537.81,0.4353016732532744,156.9877723105252
2008-02-06,7384.89,7401.94,7244.92,7360.12,-2.357315984350894,163.19204034716827
2008-02-07,7382.5,7424.95,7116.11,7126.87,-3.1691059384901354,171.80585586660064
2008-02-08,7143.12,7172.1,6940.19,7047.6,-1.1122694815536072,174.8630739542539
2008-02-11,7037.75,7037.75,6622.5,6678.96,-5.230716839775251,190.03392743780466
2008-02-12,6737.76,6797.35,6603.6,6629.64,-0.7384383197383992,192.1915820466873
