Security Code,Security Id,Security Name
500235,KSL,KALYANI STEELS LTD.
500236,KANELIND,Kanel Industries Limited
500238,WHIRLPOOL,WHIRLPOOL OF INDIA LTD.
500239,KGDENIM,KG DENIM LTD.
500240,KINETICENG,KINETIC ENGINEERING LTD.
500241,KIRLOSBROS,KIRLOSKAR BROTHERS LTD.-$
500243,KIRLOSIND,Kirloskar Industries Ltd
500245,KIRLFER,KIRLOSKAR FERROUS INDUSTRIES LTD.
500246,ENVAIREL,ENVAIR ELECTRODYNE LTD.
500247,KOTAKBANK,KOTAK MAHINDRA BANK LTD.
500248,KRIFILIND,Krishna Filament Industries Ltd
500249,KSB,KSB Ltd
500250,LGBBROSLTD,L.G.BALAKRISHNAN & BROS.LTD.
500251,TRENT,TRENT LTD.
500252,LAXMIMACH,LAKSHMI MACHINE WORKS LTD.
500253,LICHSGFIN,LIC HOUSING FINANCE LTD.
500257,LUPIN,LUPIN LTD.
500259,LYKALABS,LYKA LABS LTD.
500260,RAMCOCEM,The Ramco Cements Limited
500264,MAFATIND,MAFATLAL INDUSTRIES LTD.-$
500265,MAHSEAMLES,MAHARASHTRA SEAMLESS LTD.
500266,MAHSCOOTER,MAHARASHTRA SCOOTERS LTD.
500267,MAJESAUT,MAJESTIC AUTO LTD.-$
500268,MANALIPETC,MANALI PETROCHEMICAL LTD.
500271,MFSL,Max Financial Services Ltd
500274,MESPHAR-B,MESCO PHARMACEUTICALS LTD.
500277,MIDINDIA,MID INDIA INDUSTRIES LTD.
500279,MIRCELECTR,MIRC ELECTRONICS LTD.
500280,CENTENKA,CENTURY ENKA LTD.
500284,LORDSCHLO,LORDS CHLORO ALKALI LTD.
500285,SPICEJET,SPICEJET LTD.
500325,RELIANCE,RELIANCE INDUSTRIES LTD.
500387,SHREECEM,SHREE CEMENT LTD.
500425,AMBUJACEM,AMBUJA CEMENTS LTD.
500680,PFIZER,PFIZER LTD.
500770,TATACHEM,TATA CHEMICALS LTD.
500790,NESTLEIND,NESTLE INDIA LTD.
500825,BRITANNIA,BRITANNIA INDUSTRIES LTD.
501425,BBTC,BOMBAY BURMAH TRADING CORP.LTD.
506395,COROMANDEL,COROMANDEL INTERNATIONAL LTD.
507685,WIPRO,WIPRO LTD.
524715,SUNPHARMA,SUN PHARMACEUTICAL INDUSTRIES LTD.
530965,IOC,INDIAN OIL CORPORATION LTD.
532163,SAREGAMA,SAREGAMA INDIA LTD.
532174,ICICIBANK,ICICI BANK LTD.
532210,CUB,CITY UNION BANK LTD.
532488,DIVISLAB,DIVI&#39;S LABORATORIES LTD.
532538,ULTRACEMCO,ULTRATECH CEMENT LTD.
532540,TCS,TATA CONSULTANCY SERVICES LTD.
532689,PVR,PVR LTD.
532706,INOXLEISUR,INOX LEISURE LTD.
532899,KSCL,KAVERI SEED COMPANY LTD.
533155,JUBLFOOD,Jubilant FoodWorks Ltd
533260,CAREERP,CAREER POINT LTD.
533287,ZEELEARN,ZEE LEARN LTD.
537291,NATHBIOGEN,Nath Bio-Genes (India) Ltd
539921,SEIL,Shanti Educational Initiatives Ltd
