SC_CODE,SC_NAME,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Spread High-Low,Spread Close-Open,Deliverable Quantity,% Deli. Qty to Traded Qty
500087,CIPLA LTD.  ,866.0,874.55,856.6,859.8,862.0968817128154,211815,5355,182605051.0,17.949999999999932,-6.2000000000000455,23659,16.63
500089,DIC INDIA   ,396.55,398.5,396.55,398.5,397.7647058823529,17,5,6762.0,1.9499999999999886,1.9499999999999886,803,19.95
500092,CRISIL LTD  ,1919.0,1933.85,1886.2,1900.2,1906.5211678832118,3425,561,6529835.0,47.649999999999864,-18.799999999999955,1119,24.77
500093,CGPOWER     ,45.3,46.4,44.5,45.8,45.77212193973884,378154,1385,17308911.0,1.8999999999999986,0.5,95070,47.22
500096,DABUR (I)   ,528.7,536.5,525.0,535.75,533.6434139209525,123799,1987,66064521.0,11.5,7.0499999999999545,24134,23.37
500097,DALMIASUG   ,142.0,143.2,140.15,141.1,141.43339587242025,4797,139,678456.0,3.049999999999983,-0.9000000000000057,4808,48.68
500101,ARVIND Ltd  ,61.55,68.3,60.25,66.2,65.62432721249432,1224941,10811,80385929.0,8.049999999999997,4.650000000000006,143138,14.78
500102,BALARPUR IND,1.35,1.36,1.26,1.28,1.2956528904597184,2791165,521,3616381.0,0.10000000000000009,-0.07000000000000006,1027743,100.0
500103,BHEL        ,38.45,39.15,38.0,38.75,38.6893229361751,2149177,3163,83150203.0,1.1499999999999986,0.29999999999999716,404358,20.2
500104,HIND.PETRO  ,225.4,228.3,223.95,227.25,226.3861536922881,439944,4847,99597230.0,4.350000000000023,1.8499999999999943,82565,24.54
500106,IFCI LTD    ,9.05,9.15,8.9,9.03,9.027731208867337,433050,22835,3909459.0,0.25,-0.02000000000000135,478483,53.29
500108,MAHA.TELE   ,12.9,13.25,12.85,12.97,13.01558203483043,104736,5024,1363200.0,0.40000000000000036,0.07000000000000028,122980,63.56
500109,MRPL        ,34.65,35.8,34.65,35.2,35.25434016095605,74306,354,2619609.0,1.1499999999999986,0.5500000000000043,28583,46.56
500110,CHENNAI PET.,94.6,98.0,93.25,96.5,95.84285329018338,111240,801,10661559.0,4.75,1.9000000000000057,12237,32.37
500111,REL.CAP.    ,10.0,10.3,10.0,10.1,10.144803728589373,255539,761,2592393.0,0.3000000000000007,0.09999999999999964,207074,42.51
500112,STATE BANK  ,392.05,396.9,388.25,390.15,391.6768920108997,1639684,15611,642226333.0,8.649999999999977,-1.900000000000034,469642,16.23
500113,STEEL AUTH. ,66.65,67.55,66.1,66.9,66.94857145979039,1281273,2713,85779397.0,1.4500000000000028,0.25,511634,32.53
500114,TITAN       ,1554.5,1573.65,1512.1,1524.15,1527.7850952565116,297355,13761,454294537.0,61.55000000000018,-30.34999999999991,58308,36.7
500116,IDBI BANK L ,29.65,30.15,29.5,29.65,29.82500422183796,420433,1015,12539416.0,0.6499999999999986,0.0,314976,33.35
500117,DCW LTD.    ,21.3,21.9,20.95,21.25,21.464461097287792,137047,304,2941640.0,0.9499999999999993,-0.05000000000000071,43300,62.81
500119,DHAMPUR SUGA,167.05,169.0,166.1,167.15,167.41911069063386,20083,347,3362278.0,2.9000000000000057,0.09999999999999432,6915,57.65
