DATE,SCRIP CODE,DELIVERY QTY,DELIVERY VAL,DAY'S VOLUME,DAY'S TURNOVER,DELV. PER.
12022021,500223,776278,721939,1304734,1191677,59.5
12022021,500227,5962,3057016,19656,10100137,30.33
12022021,500228,409984,165715533,587446,238805421,69.79
12022021,500231,3639,217249,8272,496137,43.99
12022021,500233,4154,4005080,17634,16953792,23.56
12022021,500234,1387,225388,3902,647210,35.55
12022021,500235,9272,2730141,21046,6225647,44.06
12022021,500236,5855,6616,5855,6616,100.0
12022021,500238,5069,12579738,12456,30911096,40.7
12022021,500239,6196,175347,6945,196095,89.22
12022021,500240,14513,539685,14513,539685,100.0
12022021,500241,10679,1685681,17467,2761963,61.14
12022021,500243,1460,1509275,3760,3791034,38.83
12022021,500245,66622,10846062,94165,15365218,70.75
12022021,500246,451,15659,451,15659,100.0
12022021,500247,34816,67941684,86860,169852641,40.08
12022021,500248,130,494,130,494,100.0
12022021,500249,1669,1106547,2109,1400171,79.14
12022021,500250,2290,764517,3394,1133693,67.47
12022021,500251,12381,8503271,19084,13114562,64.88
12022021,500252,683,4223194,1080,6727942,63.24
12022021,500253,23691,10483268,153137,67621253,15.47
12022021,500257,18275,19233524,61438,64881500,29.75
12022021,500259,5640,177263,5640,177263,100.0
12022021,500260,23867,22819239,57097,54495406,41.8
12022021,500264,5102,460711,6216,576746,82.08
12022021,500265,2441,699713,3547,1024679,68.82
12022021,500266,171,657778,337,1310213,50.74
12022021,500267,1938,213084,2460,274603,78.78
12022021,500268,131162,6551542,383412,19321088,34.21
12022021,500271,45314,36679418,83717,68071313,54.13
12022021,500277,150,225,150,225,100.0
12022021,500279,416876,6057209,773400,11223719,53.9
12022021,500280,1953,491571,4555,1152363,42.88
12022021,500284,1554,52079,1554,52079,100.0
12022021,500285,311015,28193510,974882,89166809,31.9
12022021,500288,170369,5111070,491440,15079614,34.67
12022021,500290,464,42322902,5157,472077203,9.0
12022021,500292,13105,3012840,19564,4500260,66.99
12022021,500294,819349,69030154,1298240,111920178,63.11
12022021,500295,133888,24414477,682425,125797867,19.62
12022021,500296,3094,245200,4615,365623,67.04
12022021,500298,4601,8810915,7422,14276276,61.99
12022021,500300,18459,22932539,181460,225428726,10.17
12022021,500302,76407,132279619,273614,469448973,27.93
12022021,500304,6592,1270608,12438,2400231,53.0
12022021,500306,127737,2688863,127737,2688863,100.0
12022021,500307,965,274977,1572,447956,61.39
12022021,500312,624171,60544587,1177955,115019944,52.99
12022021,500313,1253,6695,1253,6695,100.0
12022021,500314,16666,394985,19504,450426,85.45
12022021,500317,7639,80974,9522,100957,80.22
12022021,500319,2406,57985,2957,73332,81.37
12022021,500325,88301,180244417,640628,1313933137,13.78
12022021,500327,7919,102235,18482,237491,42.85
12022021,500330,7132,2381375,17531,5894246,40.68
12022021,500331,4496,7918356,16806,29708528,26.75
12022021,500333,11896,4549626,15044,5700193,79.07
12022021,500335,9169,7563509,19256,16108267,47.62
12022021,500336,10133,3501965,17662,6154482,57.37
12022021,500337,2963231,123316884,2992098,124525576,99.04
12022021,500338,30641,3554356,92424,10662987,33.15
12022021,500339,16609,2253011,67263,9180475,24.69
12022021,500343,2684,67369,3084,78135,87.03
12022021,500346,550,12045,694,14659,79.25
12022021,500350,22364,3809708,38813,6626467,57.62
12022021,500354,1124,17647,1425,22210,78.88
12022021,500355,15556,4121563,28923,7685894,53.78
12022021,500356,8167,116870,10383,150549,78.66
12022021,500357,22963,298837,22963,298837,100.0
12022021,500358,400,988,400,988,100.0
12022021,500365,194367,1774571,216691,2046202,89.7
12022021,500366,121640,496292,156419,642399,77.77
