security_id,company_name,rate_of_growth,model,parameters,accuracy,precision,recall,f1_score,confusion matrix
500124,DR.REDDY'S LABORATORIES LTD,0.01,bpnn,"batch_size = 25, epochs = 100",0.7562358276643991,0.0396039603960396,0.27586206896551724,0.06926406926406928,"[[659 194]
 [ 21   8]]"
500124,DR.REDDY'S LABORATORIES LTD,0.01,logistic,"C = 0.01, penalty = l2, p_f_value = p_0.05",0.7698412698412699,0.0,0.0,0.0,"[[679   1]
 [202   0]]"
500180,HDFC Bank Ltd,0.01,rnn,"batch_size = 25, epochs = 100",0.8112305854241338,0.51440329218107,0.7575757575757576,0.6127450980392156,"[[554 118]
 [ 40 125]]"
500180,HDFC Bank Ltd,0.01,cnn,"batch_size = 25, epochs = 25",0.1950947603121516,1.0,0.1950947603121516,0.3264925373134329,"[[  0   0]
 [722 175]]"
500180,HDFC Bank Ltd,0.01,knn,"metric = manhattan, n_neighbors = 1, weights = uniform, algorithm = ball_tree",0.6889632107023411,0.22043010752688166,0.2342857142857143,0.2271468144044321,"[[577 145]
 [134  41]]"
500180,HDFC Bank Ltd,0.01,svm,"C = 100, gamma = 0.01, kernel = sigmoid",0.6811594202898551,0.2153846153846154,0.24,0.22702702702702698,"[[569 153]
 [133  42]]"
500180,HDFC Bank Ltd,0.01,bpnn,"batch_size = 25, epochs = 100",0.7915273132664437,0.03428571428571429,0.25,0.06030150753768844,"[[704 169]
 [ 18   6]]"
500180,HDFC Bank Ltd,0.01,logistic,"C = 10.0, penalty = l2, p_f_value = f_0.1",0.8060200668896321,0.6666666666666666,0.011428571428571429,0.02247191011235955,"[[721   1]
 [173   2]]"
500182,HERO MOTOCORP LTD,0.01,rnn,"batch_size = 25, epochs = 25",0.764285714,0.42600896899999996,0.575757576,0.489690722,"[[547 128]
 [ 70  95]]"
500182,HERO MOTOCORP LTD,0.01,cnn,"batch_size = 25, epochs = 25",0.24555555555555555,1.0,0.24555555555555555,0.3942908117752007,"[[  0   0]
 [679 221]]"
500182,HERO MOTOCORP LTD,0.01,svm,"C = 100, gamma = 0.001, kernel = sigmoid",0.6222222222222222,0.2378854625550661,0.2443438914027149,0.2410714285714285,"[[506 173]
 [167  54]]"
500182,HERO MOTOCORP LTD,0.01,knn,"metric = manhattan, n_neighbors = 1, weights = uniform, algorithm = ball_tree",0.63,0.22549019607843135,0.2081447963800905,0.21647058823529414,"[[521 158]
 [175  46]]"
500182,HERO MOTOCORP LTD,0.01,bpnn,"batch_size = 32, epochs = 100",0.7411111111111112,0.027149321266968326,0.25,0.048979591836734684,"[[661 215]
 [ 18   6]]"
500182,HERO MOTOCORP LTD,0.01,logistic,"C = 0.001, penalty = none, p_f_value = p_0.1",0.7533333333333333,0.0,0.0,0.0,"[[678   1]
 [221   0]]"
500209,INFOSYS LTD,0.01,rnn,"batch_size = 25, epochs = 75",0.8438617401668653,0.5847457627118644,0.8070175438596491,0.6781326781326781,"[[570  98]
 [ 33 138]]"
500209,INFOSYS LTD,0.01,cnn,"batch_size = 25, epochs = 25",0.20467185761957726,1.0,0.20467185761957726,0.3397968605724838,"[[  0   0]
 [715 184]]"
500209,INFOSYS LTD,0.01,knn,"metric = euclidean, n_neighbors = 1, weights = uniform, algorithm = ball_tree",0.6585094549499444,0.19402985074626866,0.21195652173913046,0.2025974025974026,"[[553 162]
 [145  39]]"
500209,INFOSYS LTD,0.01,svm,"C = 100, gamma = 0.01, kernel = sigmoid",0.6473859844271412,0.1691542288557214,0.18478260869565216,0.1766233766233766,"[[548 167]
 [150  34]]"
500209,INFOSYS LTD,0.01,bpnn,"batch_size = 32, epochs = 100",0.7808676307007787,0.010869565217391304,0.1176470588235294,0.01990049751243781,"[[700 182]
 [ 15   2]]"
500209,INFOSYS LTD,0.01,logistic,"C = 0.001, penalty = l2, p_f_value = p_0.05",0.7942157953281423,0.0,0.0,0.0,"[[714   1]
 [184   0]]"
500325,RELIANCE INDUSTRIES LTD,0.01,rnn,"batch_size = 32, epochs = 100",0.8367103694874851,0.5985130111524164,0.8473684210526315,0.7015250544662309,"[[541 108]
 [ 29 161]]"
500325,RELIANCE INDUSTRIES LTD,0.01,cnn,"batch_size = 25, epochs = 25",0.2525027808676307,1.0,0.2525027808676307,0.4031971580817051,"[[  0   0]
 [672 227]]"
500325,RELIANCE INDUSTRIES LTD,0.01,svm,"C = 1000, gamma = 1e-05, kernel = sigmoid",0.6407119021134594,0.2876106194690265,0.28634361233480177,0.2869757174392936,"[[511 161]
 [162  65]]"
500325,RELIANCE INDUSTRIES LTD,0.01,knn,"metric = manhattan, n_neighbors = 1, weights = uniform, algorithm = ball_tree",0.6262513904338154,0.2640692640692641,0.2687224669603524,0.2663755458515284,"[[502 170]
 [166  61]]"
500325,RELIANCE INDUSTRIES LTD,0.01,bpnn,"batch_size = 32, epochs = 100",0.7441601779755284,0.022026431718061675,0.38461538461538464,0.04166666666666667,"[[664 222]
 [  8   5]]"
500325,RELIANCE INDUSTRIES LTD,0.01,logistic,"C = 0.001, penalty = l2, p_f_value = p_0.05",0.7474972191323693,0.0,0.0,0.0,"[[672   0]
 [227   0]]"
500387,SHREE CEMENT LTD,0.01,cnn,"batch_size = 25, epochs = 25",0.2707509881422925,1.0,0.2707509881422925,0.4261275272161742,"[[  0   0]
 [369 137]]"
500387,SHREE CEMENT LTD,0.01,svm,"C = 1000.0, gamma = 1e-05, kernel = sigmoid",0.6284584980237155,0.29600000000000004,0.27007299270072993,0.282442748091603,"[[281  88]
 [100  37]]"
500387,SHREE CEMENT LTD,0.01,rnn,"batch_size = 25, epochs = 100",0.672645739910314,0.24489795918367346,0.25,0.24742268041237114,"[[276  74]
 [ 72  24]]"
500387,SHREE CEMENT LTD,0.01,knn,"metric = manhattan, n_neighbors = 1, weights = uniform, algorithm = ball_tree",0.6047430830039525,0.24390243902439024,0.21897810218978106,0.23076923076923075,"[[276  93]
 [107  30]]"
500387,SHREE CEMENT LTD,0.01,bpnn,"batch_size = 25, epochs = 100",0.7213438735177866,0.043795620437956206,0.375,0.0784313725490196,"[[359 131]
 [ 10   6]]"
500387,SHREE CEMENT LTD,0.01,logistic,"C = 0.001, penalty = l2, p_f_value = p_0.05",0.7292490118577075,0.0,0.0,0.0,"[[369   0]
 [137   0]]"
