root_mean_squared_error,mean_absolute_error,mean_squared_error,accuracy,precision,recall,f1_score,confusion matrix,batch_size,epochs,rate_of_growth
0.5088112507491249,0.2588888888888889,0.2588888888888889,0.7411111111111112,0.027149321266968326,0.25,0.04897959183673469,"[[661 215]
 [ 18   6]]",32,100,0.01
0.3299831645537222,0.10888888888888888,0.10888888888888888,0.8911111111111111,0.0,0.0,0.0,"[[802  94]
 [  4   0]]",32,100,0.02
0.21081851067789195,0.044444444444444446,0.044444444444444446,0.9555555555555556,0.0,0.0,0.0,"[[860  38]
 [  2   0]]",25,100,0.03
0.15634719199411432,0.024444444444444446,0.024444444444444446,0.9755555555555555,0.0,0.0,0.0,"[[878  20]
 [  2   0]]",25,100,0.04
0.12472191289246472,0.015555555555555555,0.015555555555555555,0.9844444444444445,0.0,0.0,0.0,"[[886  12]
 [  2   0]]",25,100,0.05
