root_mean_squared_error,mean_absolute_error,mean_squared_error,accuracy,recall,precision,f1_score,confusion matrix,epochs,batch_size,rate_of_growth
0.5674464422768088,0.3219954648526077,0.3219954648526077,0.6780045351473923,0.3896103896103896,0.5555555555555556,0.4580152671755726,"[[239, 48], [94, 60]]",100,25,0.01
0.4994327848429293,0.2494331065759637,0.2494331065759637,0.7505668934240363,0.21428571428571427,0.21428571428571427,0.21428571428571427,"[[316, 55], [55, 15]]",100,25,0.02
0.2973808570665904,0.08843537414965986,0.08843537414965986,0.91156462585034,0.10344827586206896,0.1875,0.13333333333333333,"[[399, 13], [26, 3]]",100,25,0.03
0.2693740118805895,0.07256235827664399,0.07256235827664399,0.927437641723356,0.06666666666666668,0.05263157894736842,0.05882352941176471,"[[408, 18], [14, 1]]",100,25,0.04
0.2233531314201633,0.049886621315192746,0.049886621315192746,0.9501133786848072,0.0,0.0,0.0,"[[419, 19], [3, 0]]",100,48,0.05
