company,root_mean_squared_error,mean_absolute_error,mean_squared_error,rsquared_adj,aic,bic,fvalue
gr500112.csv,0.28858893162125765,0.02757590240124231,0.08328357145429893,0.988419795310432,-10162.95252183275,-9592.670795865704,1786.6111072476808
gr500180.csv,0.04728613100235408,0.014849453212765365,0.002235978185171791,0.9251976169752373,-9393.639961650353,-8823.503107809509,259.37917773574844
gr500182.csv,0.016836426923079892,0.012327178407168243,0.0002834652715362095,0.3021497893530184,-11309.288799124015,-10750.110759064724,10.260304862306091
gr500209.csv,0.01902559962356108,0.012917315691214942,0.00036197344103604744,0.48138607648358345,-8747.606875042016,-8177.228682974036,20.43685656030628
gr500325.csv,0.020916674681409102,0.014819649508697633,0.0004375072797279006,0.3738155973314794,-8424.807571357549,-7854.381180768015,13.506598265176166
gr500680.csv,0.01490197405834831,0.010594245848214437,0.00022206883083568605,0.3153036029235501,-11349.874904623486,-10792.844454200711,10.544936701278447
gr507685.csv,0.03595553014921193,0.01329885529590103,0.0012928001483108876,0.34807335058906597,-9884.733144501075,-9314.692987651819,12.14280392335189
gr530965.csv,0.045088633729067615,0.017238562225556663,0.002032984891554014,0.37260918865909365,-8927.509661621309,-8357.51788800651,13.27203208348406
gr532174.csv,0.1368014318277283,0.023488107387736868,0.018714631750116596,0.9266275121003609,-9487.679759084203,-8917.349788549725,265.32678492228086
gr532210.csv,0.05210359417976104,0.016364169465678254,0.002714784526449229,0.24773535942041114,-9950.79782886423,-9383.852005930625,7.602691456141495
gr532540.csv,0.053296661430686405,0.015859680498411816,0.0028405341196572156,0.5678548098255025,-10410.521927144604,-9847.959233965095,26.466038879142623
