root_mean_squared_error,mean_absolute_error,mean_squared_error,rsquared_adj,units,epochs,batch_size,direction,security id
0.29269090630280314,0.02746877682768795,0.0856679666323563,-0.0010223946402687645,25,25,25,1.0,500112
0.033832926682573775,0.013317921826371194,0.0011446669279084126,-2.199498594279703e-05,25,25,25,1.0,500180
0.01963108591338453,0.013755575876569734,0.00038537953413868455,-0.0004792797195132259,25,25,25,1.0,500182
0.018919811660801214,0.01280302647603,0.0003579592732801897,-0.0015524830424227256,25,25,25,1.0,500209
0.020851114865258598,0.014762851691379026,0.00043476899112420786,-0.0013542060185463,25,25,25,1.0,500325
0.017152543574196818,0.011785600441298913,0.0002942097510647207,-0.0030201368707878373,25,25,25,1.0,500680
0.04283647289610636,0.014666404973797313,0.001834963410178855,-0.0002602821342263528,25,25,25,1.0,507685
0.056117884981827015,0.018698140179172464,0.0031492170148335673,-0.000671973442803786,25,25,25,1.0,530965
0.13723569592314552,0.02289580209406199,0.018833636235510064,-0.0011663786795241824,25,25,25,1.0,532174
0.0232586901635736,0.015539664477121138,0.0005409666681251154,-0.002645467882787189,50,25,25,1.0,532210
0.053132078931297635,0.015723819216703606,0.0028230178115616423,-0.0020492058918704084,50,25,25,1.0,532540
