company,root_mean_squared_error,mean_absolute_error,mean_squared_error,rsquared_adj,aic,bic,fvalue
gr500112.csv,0.29474546460059015,0.026969088628010125,0.08687488890261773,0.988419795310432,-10162.95252183275,-9592.670795865704,1786.6111072476808
gr500180.csv,0.05473172427654574,0.015361042580091666,0.0029955616422838263,0.9251976169752373,-9393.639961650353,-8823.503107809509,259.37917773574844
gr500182.csv,0.01687904467830225,0.01235428073525149,0.0002849021492521235,0.3021497893530184,-11309.288799124015,-10750.110759064724,10.260304862306091
gr500209.csv,0.019788313663372335,0.01360322763856424,0.00039157735764000826,0.48138607648358345,-8747.606875042016,-8177.228682974036,20.43685656030628
gr500325.csv,0.021470653453584183,0.014989892416014807,0.0004609889597239065,0.3738155973314794,-8424.807571357549,-7854.381180768015,13.506598265176166
gr500680.csv,0.014956491314397056,0.010622873249390265,0.00022369663243763458,0.3153036029235501,-11349.874904623486,-10792.844454200711,10.544936701278447
gr507685.csv,0.17195786804183627,0.019054054821403776,0.029569508381493578,0.34807335058906597,-9884.733144501075,-9314.692987651819,12.14280392335189
gr530965.csv,0.038991979064209405,0.017377890414587992,0.0015203744313437447,0.37260918865909365,-8927.509661621309,-8357.51788800651,13.27203208348406
gr532174.csv,0.13758048904830353,0.023668916242860348,0.018928390966770365,0.9266275121003609,-9487.679759084203,-8917.349788549725,265.32678492228086
gr532210.csv,0.08221942218418729,0.018281198087934193,0.006760033384301628,0.24773535942041114,-9950.79782886423,-9383.852005930625,7.602691456141495
gr532540.csv,0.05147461395354906,0.015343927888997131,0.0026496358816669075,0.5678548098255025,-10410.521927144604,-9847.959233965095,26.466038879142623
