accuracy,precision,recall,f1_score,confusion matrix,epochs,batch_size,threshold
0.035754189944134075,0.035754189944134075,1.0,0.06903991370010787,"[[  0 863]
 [  0  32]]",25,25,0.01
0.1329608938547486,0.1329608938547486,1.0,0.23471400394477318,"[[  0 776]
 [  0 119]]",25,25,0.02
0.06927374301675977,0.06927374301675977,1.0,0.12957157784743992,"[[  0 833]
 [  0  62]]",25,25,0.03
0.035754189944134075,0.035754189944134075,1.0,0.06903991370010787,"[[  0 863]
 [  0  32]]",25,25,0.04
0.01899441340782123,0.01899441340782123,1.0,0.03728070175438596,"[[  0 878]
 [  0  17]]",25,25,0.05
0.27039106145251396,0.27039106145251396,1.0,0.42568161829375545,"[[  0 653]
 [  0 242]]",50,25,0.01
0.06927374301675977,0.06927374301675977,1.0,0.12957157784743992,"[[  0 833]
 [  0  62]]",50,25,0.02
0.06927374301675977,0.06927374301675977,1.0,0.12957157784743992,"[[  0 833]
 [  0  62]]",50,25,0.03
0.035754189944134075,0.035754189944134075,1.0,0.06903991370010787,"[[  0 863]
 [  0  32]]",50,25,0.04
0.01899441340782123,0.01899441340782123,1.0,0.03728070175438596,"[[  0 878]
 [  0  17]]",50,25,0.05
0.27039106145251396,0.27039106145251396,1.0,0.42568161829375545,"[[  0 653]
 [  0 242]]",100,25,0.01
0.27039106145251396,0.27039106145251396,1.0,0.42568161829375545,"[[  0 653]
 [  0 242]]",100,25,0.02
0.035754189944134075,0.035754189944134075,1.0,0.06903991370010787,"[[  0 863]
 [  0  32]]",100,25,0.03
0.01899441340782123,0.01899441340782123,1.0,0.03728070175438596,"[[  0 878]
 [  0  17]]",100,25,0.04
0.01899441340782123,0.01899441340782123,1.0,0.03728070175438596,"[[  0 878]
 [  0  17]]",100,25,0.05
0.27039106145251396,0.27039106145251396,1.0,0.42568161829375545,"[[  0 653]
 [  0 242]]",25,32,0.01
0.1329608938547486,0.1329608938547486,1.0,0.23471400394477318,"[[  0 776]
 [  0 119]]",25,32,0.02
0.06927374301675977,0.06927374301675977,1.0,0.12957157784743992,"[[  0 833]
 [  0  62]]",25,32,0.03
