accuracy,precision,recall,f1_score,confusion matrix,root_mean_squared_error,mean_absolute_error,mean_squared_error,rsquared_adj,threshold,batch_size,epochs,units
0.7608173076923077,0.16666666666666666,0.005128205128205128,0.009950248756218905,"[[632   5]
 [194   1]]",0.48906307600113536,0.23918269230769232,0.23918269230769232,-0.33291470434327586,0.01,25,25,25
0.8846153846153846,0.0,0.0,0.0,"[[736   2]
 [ 94   0]]",0.3396831102433787,0.11538461538461539,0.11538461538461539,-0.15135789655768916,0.02,25,25,25
0.9447115384615384,0.0,0.0,0.0,"[[786   2]
 [ 44   0]]",0.23513498578149006,0.055288461538461536,0.055288461538461536,-0.10383017997231248,0.03,25,25,25
0.9735576923076923,0.0,0.0,0.0,"[[810   2]
 [ 20   0]]",0.16261090889699772,0.026442307692307692,0.026442307692307692,-0.12709359605911352,0.04,25,25,25
0.7620192307692307,0.2,0.005128205128205128,0.009999999999999998,"[[633   4]
 [194   1]]",0.48783272669099315,0.23798076923076922,0.23798076923076922,-0.32621664050235477,0.01,25,50,25
0.8870192307692307,0.0,0.0,0.0,"[[738   0]
 [ 94   0]]",0.3361261210182411,0.11298076923076923,0.11298076923076923,-0.12737127371273727,0.02,25,50,25
0.9459134615384616,0.0,0.0,0.0,"[[787   1]
 [ 44   0]]",0.23256512735476587,0.054086538461538464,0.054086538461538464,-0.07983387171204481,0.03,25,50,25
0.9747596153846154,0.0,0.0,0.0,"[[811   1]
 [ 20   0]]",0.15887222732556064,0.025240384615384616,0.025240384615384616,-0.07586206896551739,0.04,25,50,25
0.7536057692307693,0.08333333333333333,0.005128205128205128,0.009661835748792272,"[[626  11]
 [194   1]]",0.49638113458231947,0.24639423076923078,0.24639423076923078,-0.3731030873888017,0.01,25,75,25
0.8846153846153846,0.0,0.0,0.0,"[[736   2]
 [ 94   0]]",0.3396831102433787,0.11538461538461539,0.11538461538461539,-0.15135789655768916,0.02,25,75,25
0.9459134615384616,0.0,0.0,0.0,"[[787   1]
 [ 44   0]]",0.23256512735476587,0.054086538461538464,0.054086538461538464,-0.07983387171204481,0.03,25,75,25
0.9759615384615384,0.5,0.05,0.09090909090909091,"[[811   1]
 [ 19   1]]",0.15504341823651058,0.02403846153846154,0.02403846153846154,-0.024630541871921263,0.04,25,75,25
0.75,0.15789473684210525,0.015384615384615385,0.028037383177570097,"[[621  16]
 [192   3]]",0.5,0.25,0.25,-0.39319727891156453,0.01,25,100,25
0.8870192307692307,0.0,0.0,0.0,"[[738   0]
 [ 94   0]]",0.3361261210182411,0.11298076923076923,0.11298076923076923,-0.12737127371273727,0.02,25,100,25
0.9447115384615384,0.25,0.022727272727272728,0.04166666666666667,"[[785   3]
 [ 43   1]]",0.23513498578149006,0.055288461538461536,0.055288461538461536,-0.10383017997231248,0.03,25,100,25
0.9759615384615384,0.0,0.0,0.0,"[[812   0]
 [ 20   0]]",0.15504341823651058,0.02403846153846154,0.02403846153846154,-0.024630541871921263,0.04,25,100,25
0.765625,0.5,0.005128205128205128,0.010152284263959392,"[[636   1]
 [194   1]]",0.4841229182759271,0.234375,0.234375,-0.30612244897959173,0.01,32,25,25
0.8858173076923077,0.0,0.0,0.0,"[[737   1]
 [ 94   0]]",0.33790929597703034,0.1141826923076923,0.1141826923076923,-0.13936458513521321,0.02,32,25,25
0.9459134615384616,0.0,0.0,0.0,"[[787   1]
 [ 44   0]]",0.23256512735476587,0.054086538461538464,0.054086538461538464,-0.07983387171204481,0.03,32,25,25
0.9735576923076923,0.0,0.0,0.0,"[[810   2]
 [ 20   0]]",0.16261090889699772,0.026442307692307692,0.026442307692307692,-0.12709359605911352,0.04,32,25,25
0.7584134615384616,0.125,0.005128205128205128,0.009852216748768473,"[[630   7]
 [194   1]]",0.49151453535123296,0.24158653846153846,0.24158653846153846,-0.3463108320251178,0.01,32,50,25
0.8870192307692307,0.0,0.0,0.0,"[[738   0]
 [ 94   0]]",0.3361261210182411,0.11298076923076923,0.11298076923076923,-0.12737127371273727,0.02,32,50,25
