units,epochs,batch_size,layers,direction,root_mean_squared_error,mean_absolute_error,mean_squared_error,rsquared_adj
25,25,64,3,0.5033333333333333,0.01990438935954368,0.014004529658687865,0.00039618471577631577,-0.028530484789903943
25,25,48,3,0.5077777777777778,0.0199567363788011,0.014068893626582517,0.00039827132689296323,-0.03394751138864094
25,25,32,3,0.5077777777777778,0.019929037103453527,0.01410792829987464,0.0003971665198708274,-0.031079334861815466
25,25,25,3,0.5166666666666667,0.01988203252828423,0.01402078459051544,0.00039529521745575223,-0.026221268652990792
25,50,64,3,0.49666666666666665,0.019963023780719964,0.014057639168162186,0.0003985223184695908,-0.034599107671150486
25,50,48,3,0.5055555555555555,0.020106988383449303,0.014186117253864615,0.0004042909818521652,-0.0495750668871513
25,50,32,3,0.5111111111111111,0.02009310138060112,0.014189294983638278,0.00040373272309111456,-0.04812577787806749
25,50,25,3,0.49333333333333335,0.020105926922322787,0.014250237964771624,0.0004042482974057842,-0.049464254297515664
25,75,64,3,0.48777777777777775,0.020139079135665296,0.014182102146743689,0.00040558250843258925,-0.05292798386497988
25,75,48,3,0.49666666666666665,0.020055343657827986,0.014199606880572964,0.00040221680923358124,-0.04419033172706355
25,75,32,3,0.49777777777777776,0.020061388474989214,0.014150755144247395,0.00040245930754443,-0.04481987874209503
25,75,25,3,0.49444444444444446,0.020261326944820215,0.014332079048341563,0.00041052136956489763,-0.06574970321063778
25,100,64,3,0.4822222222222222,0.020201849488185264,0.01424728185151757,0.00040811472274329116,-0.05950183567921474
25,100,48,3,0.48333333333333334,0.02018197761841558,0.014264787728228617,0.00040731222059022735,-0.057418469270396066
75,25,25,3,0.5,0.020017652865717998,0.014134336850877907,0.00040070642625238795,-0.04026924421912903
75,25,32,3,0.5011111111111111,0.0199954249355724,0.014096920979742359,0.0003998170183541104,-0.03796026282644993
25,100,32,3,0.5,0.020187798082221604,0.014262045079697114,0.0004075471914085503,-0.05802847425054192
