company,root_mean_squared_error,mean_absolute_error,mean_squared_error,rsquared_adj,aic,bic,fvalue
gr500112.csv,0.2891192499669366,0.027008712740906493,0.08358994070144397,0.988419795310432,-10162.95252183275,-9592.670795865704,1786.6111072476808
gr500180.csv,0.05365044403562122,0.015210599334497447,0.0028783701452193243,0.9251976169752373,-9393.639961650353,-8823.503107809509,259.37917773574844
gr500182.csv,0.01682892519880813,0.012270186318581667,0.00028321272334707925,0.3021497893530184,-11309.288799124015,-10750.110759064724,10.260304862306091
gr500209.csv,0.020454575896344203,0.01424732023286659,0.0004183896750993053,0.48138607648358345,-8747.606875042016,-8177.228682974036,20.43685656030628
gr500325.csv,0.020845243959029234,0.014759247258482194,0.0004345241957114448,0.3738155973314794,-8424.807571357549,-7854.381180768015,13.506598265176166
gr500680.csv,0.014910274076465245,0.01057383885851239,0.0002223162730353115,0.3153036029235501,-11349.874904623486,-10792.844454200711,10.544936701278447
gr507685.csv,0.0362101326920874,0.013830055598791358,0.0013111737095785768,0.34807335058906597,-9884.733144501075,-9314.692987651819,12.14280392335189
gr530965.csv,0.042681032052198795,0.017395506898324715,0.0018216704970408209,0.37260918865909365,-8927.509661621309,-8357.51788800651,13.27203208348406
gr532174.csv,0.13757963049166758,0.0236684241444633,0.01892815472622379,0.9266275121003609,-9487.679759084203,-8917.349788549725,265.32678492228086
gr532210.csv,0.0667833505698926,0.0177636520617852,0.004460015913341175,0.24773535942041114,-9950.79782886423,-9383.852005930625,7.602691456141495
gr532540.csv,0.05261317400243892,0.01603773466287041,0.002768146078610915,0.5678548098255025,-10410.521927144604,-9847.959233965095,26.466038879142623
