root_mean_squared_error,mean_absolute_error,mean_squared_error,rsquared_adj,std,best-std,direction
0.013381748848204507,0.009446620535000106,0.00017907120223642264,-0.0031372890513428064,0.0,0.08299999999999993,1.0
0.013420337426182458,0.009487640184167671,0.00018010545663259362,-0.008931069057323882,0.1,0.1239999999999999,1.0
0.013416550809722186,0.009490664018052394,0.00018000383562985706,-0.008361799314770657,0.2,0.15099999999999988,1.0
0.013412976106660295,0.009488675838732535,0.00017990792803783997,-0.007824535474164618,0.30000000000000004,0.1589999999999999,1.0
0.01345148868091217,0.009488697568675606,0.00018094254773270822,-0.013620361843493356,0.4,0.06799999999999995,1.0
0.013396401462367213,0.00948972786432537,0.0001794635721409144,-0.005335302340925496,0.5,0.23799999999999982,1.0
0.01339641852321811,0.009484643887741137,0.0001794640292492213,-0.005337863011664501,0.6000000000000001,0.20899999999999985,1.0
0.01339578026203808,0.009487231833631204,0.000179446928828809,-0.005242068326869909,0.7000000000000001,0.22499999999999984,1.0
0.013395975521784526,0.009488390920865482,0.0001794521601802502,-0.005271373785465494,0.8,0.23099999999999982,1.0
0.013386558266857713,0.00945993881376229,0.00017919994223197658,-0.003858476425524504,0.9,0.09499999999999992,1.0
0.013395821298429917,0.00948597232968473,0.00017944802825946857,-0.005248227217174772,1.0,0.21799999999999983,1.0
