root_mean_squared_error,mean_absolute_error,mean_squared_error,accuracy,precision,recall,f1_score,confusion matrix,penalty,C,p_f_value,rate_of_growth,features
0.6677805632941778,0.4459308807134894,0.4459308807134894,0.5540691192865106,0.4375,0.07142857142857142,0.12280701754385966,"[[469  36]
 [364  28]]",none,0.001,p_0.01,0.001,"['No.of Shares GR', 'Total Turnover (Rs.) GR', 'Deliverable Quantity GR']"
0.6752513054630424,0.4559643255295429,0.4559643255295429,0.5440356744704571,0.41237113402061853,0.10204081632653061,0.16359918200409,"[[448  57]
 [352  40]]",l2,100.0,p_0.05,0.001,"['No.of Shares GR', 'Total Turnover (Rs.) GR', 'Deliverable Quantity GR', 'Spread Close-Open GR']"
0.6752513054630424,0.4559643255295429,0.4559643255295429,0.5440356744704571,0.41237113402061853,0.10204081632653061,0.16359918200409,"[[448  57]
 [352  40]]",l2,100.0,p_0.1,0.001,"['No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Deliverable Quantity GR', 'Spread Close-Open GR']"
0.6752513054630424,0.4559643255295429,0.4559643255295429,0.5440356744704571,0.41237113402061853,0.10204081632653061,0.16359918200409,"[[448  57]
 [352  40]]",l2,100.0,p_0.15,0.001,"['No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Deliverable Quantity GR', 'Spread Close-Open GR']"
0.6752513054630424,0.4559643255295429,0.4559643255295429,0.5440356744704571,0.41237113402061853,0.10204081632653061,0.16359918200409,"[[448  57]
 [352  40]]",l2,100.0,p_0.2,0.001,"['No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Deliverable Quantity GR', 'Spread Close-Open GR']"
0.6752513054630424,0.4559643255295429,0.4559643255295429,0.5440356744704571,0.41237113402061853,0.10204081632653061,0.16359918200409,"[[448  57]
 [352  40]]",l2,100.0,p_0.25,0.001,"['No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Deliverable Quantity GR', 'Spread Close-Open GR']"
0.6677805632941778,0.4459308807134894,0.4459308807134894,0.5540691192865106,0.4375,0.07142857142857142,0.12280701754385966,"[[469  36]
 [364  28]]",none,0.001,f_0.1,0.001,"['Open Price GR', 'High Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', 'No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Deliverable Quantity GR', '% Deli. Qty to Traded Qty GR', 'Spread High-Low GR', 'Spread Close-Open GR', 'Alpha GR', 'Beta GR', 'Revenue GR', 'Expenditure GR']"
0.6677805632941778,0.4459308807134894,0.4459308807134894,0.5540691192865106,0.4375,0.07142857142857142,0.12280701754385966,"[[469  36]
 [364  28]]",none,0.001,f_0.5,0.001,"['Open Price GR', 'No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Deliverable Quantity GR', '% Deli. Qty to Traded Qty GR', 'Spread Close-Open GR', 'Beta GR']"
0.6752513054630424,0.4559643255295429,0.4559643255295429,0.5440356744704571,0.41237113402061853,0.10204081632653061,0.16359918200409,"[[448  57]
 [352  40]]",l2,100.0,f_1,0.001,"['No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Deliverable Quantity GR', 'Spread Close-Open GR', 'Beta GR']"
0.6752513054630424,0.4559643255295429,0.4559643255295429,0.5440356744704571,0.41237113402061853,0.10204081632653061,0.16359918200409,"[[448  57]
 [352  40]]",l2,100.0,f_2,0.001,"['No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Deliverable Quantity GR', 'Spread Close-Open GR']"
0.6677805632941778,0.4459308807134894,0.4459308807134894,0.5540691192865106,0.4375,0.07142857142857142,0.12280701754385966,"[[469  36]
 [364  28]]",none,0.001,f_5,0.001,"['No.of Shares GR', 'Total Turnover (Rs.) GR', 'Deliverable Quantity GR']"
0.6335122671599505,0.4013377926421405,0.4013377926421405,0.5986622073578596,1.0,0.01098901098901099,0.02173913043478261,"[[533   0]
 [360   4]]",l2,0.001,p_0.01,0.002,"['No.of Shares GR', 'Total Turnover (Rs.) GR', 'Deliverable Quantity GR']"
0.6335122671599505,0.4013377926421405,0.4013377926421405,0.5986622073578596,1.0,0.01098901098901099,0.02173913043478261,"[[533   0]
 [360   4]]",l2,0.001,p_0.05,0.002,"['No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Deliverable Quantity GR']"
0.6335122671599505,0.4013377926421405,0.4013377926421405,0.5986622073578596,1.0,0.01098901098901099,0.02173913043478261,"[[533   0]
 [360   4]]",l2,0.001,p_0.1,0.002,"['No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Deliverable Quantity GR', 'Spread Close-Open GR']"
0.6335122671599505,0.4013377926421405,0.4013377926421405,0.5986622073578596,1.0,0.01098901098901099,0.02173913043478261,"[[533   0]
 [360   4]]",l2,0.001,p_0.15,0.002,"['No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Deliverable Quantity GR', 'Spread Close-Open GR']"
