accuracy,confusion matrix,f1_score,mean_absolute_error,mean_squared_error,metric,n_neighbors,precision,recall,root_mean_squared_error,rsquared_adj,security id,threshold,weights
0.6993318485523385,"[[626  11]
 [259   2]]",0.0145985401459854,0.30066815144766146,0.30066815144766146,euclidean,18.0,0.15384615384615385,0.007662835249042145,0.5483321543076436,-0.4583446110539704,500112,0.01,uniform
0.8474387527839644,"[[759   3]
 [134   2]]",0.028368794326241134,0.15256124721603564,0.15256124721603564,euclidean,10.0,0.4,0.014705882352941176,0.39059089494768773,-0.1871429674231897,500112,0.02,uniform
0.9175946547884187,"[[824   0]
 [ 74   0]]",0.0,0.08240534521158129,0.08240534521158129,euclidean,6.0,0.0,0.0,0.2870633122006037,-0.0898058252427183,500112,0.03,uniform
0.9543429844097996,"[[857   0]
 [ 41   0]]",0.0,0.045657015590200446,0.045657015590200446,euclidean,7.0,0.0,0.0,0.2136750233185911,-0.047841306884480295,500112,0.04,uniform
0.955456570155902,"[[858  19]
 [ 21   0]]",0.0,0.044543429844097995,0.044543429844097995,euclidean,1.0,0.0,0.0,0.21105314459656363,-0.9503719389694305,500112,0.05,uniform
0.9966592427616926,"[[895   1]
 [  2   0]]",0.0,0.0033407572383073497,0.0033407572383073497,euclidean,1.0,0.0,0.0,0.05779928406396873,-0.5033482142857142,500112,0.1,uniform
0.7474972191323693,"[[671   1]
 [226   1]]",0.008733624454148471,0.2525027808676307,0.2525027808676307,manhattan,29.0,0.5,0.004405286343612335,0.5024965481151396,-0.3377976190476195,500325,0.01,uniform
0.8898776418242491,"[[799   9]
 [ 90   1]]",0.019801980198019806,0.11012235817575083,0.11012235817575083,euclidean,4.0,0.1,0.01098901098901099,0.33184688965809345,-0.21043684038733557,500325,0.02,uniform
0.9021134593993326,"[[806  48]
 [ 40   5]]",0.10204081632653061,0.09788654060066741,0.09788654060066741,manhattan,1.0,0.09433962264150944,0.1111111111111111,0.3128682479905358,-1.0586000520426748,500325,0.03,uniform
0.9688542825361512,"[[871   4]
 [ 24   0]]",0.0,0.03114571746384872,0.03114571746384872,manhattan,4.0,0.0,0.0,0.1764814932616129,-0.1986666666666661,500325,0.04,distance
0.9844271412680756,"[[884   2]
 [ 12   1]]",0.125,0.01557285873192436,0.01557285873192436,manhattan,3.0,0.3333333333333333,0.07692307692307693,0.12479126063921447,-0.0927244313248825,500325,0.05,uniform
0.996662958843159,"[[896   0]
 [  3   0]]",0.0,0.0033370411568409346,0.0033370411568409346,euclidean,1.0,0.0,0.0,0.05776712868787001,-0.0033482142857146346,500325,0.1,uniform
0.765625,"[[636   1]
 [194   1]]",0.010152284263959392,0.234375,0.234375,euclidean,27.0,0.5,0.005128205128205128,0.4841229182759271,-0.30612244897959173,532540,0.01,distance
0.8822115384615384,"[[733   5]
 [ 93   1]]",0.02,0.11778846153846154,0.11778846153846154,euclidean,7.0,0.16666666666666666,0.010638297872340425,0.34320323649182205,-0.17534451940264106,532540,0.02,distance
0.9447115384615384,"[[786   2]
 [ 44   0]]",0.0,0.055288461538461536,0.055288461538461536,manhattan,2.0,0.0,0.0,0.23513498578149006,-0.10383017997231248,532540,0.03,uniform
0.9555288461538461,"[[794  18]
 [ 19   1]]",0.05128205128205128,0.04447115384615385,0.04447115384615385,manhattan,1.0,0.05263157894736842,0.05,0.21088184807174334,-0.8955665024630544,532540,0.04,uniform
0.9735576923076923,"[[809  10]
 [ 12   1]]",0.08333333333333334,0.026442307692307692,0.026442307692307692,manhattan,1.0,0.09090909090909091,0.07692307692307693,0.16261090889699772,-0.7191697191697193,532540,0.05,uniform
0.9963942307692307,"[[829   1]
 [  2   0]]",0.0,0.003605769230769231,0.003605769230769231,euclidean,1.0,0.0,0.0,0.06004805767690768,-0.5036144578313255,532540,0.1,uniform
0.7797552836484983,"[[700  15]
 [183   1]]",0.01,0.22024471635150167,0.22024471635150167,manhattan,15.0,0.0625,0.005434782608695652,0.4693023719858037,-0.35301003344481585,500209,0.01,uniform
0.9032258064516129,"[[810  10]
 [ 77   2]]",0.04395604395604395,0.0967741935483871,0.0967741935483871,manhattan,2.0,0.16666666666666666,0.02531645569620253,0.3110855084191276,-0.20736338376041963,500209,0.02,uniform
0.949944382647386,"[[853   6]
 [ 39   1]]",0.0425531914893617,0.05005561735261402,0.05005561735261402,manhattan,4.0,0.14285714285714285,0.025,0.22373112736634126,-0.17738649592549427,500209,0.03,distance
0.9566184649610678,"[[860  21]
 [ 18   0]]",0.0,0.04338153503893215,0.04338153503893215,euclidean,1.0,0.0,0.0,0.20828234452044211,-1.2109345440786985,500209,0.04,uniform
0.9710789766407119,"[[873  15]
 [ 11   0]]",0.0,0.028921023359288096,0.028921023359288096,euclidean,1.0,0.0,0.0,0.17006182216855167,-1.3929156429156437,500209,0.05,uniform
0.996662958843159,"[[896   2]
 [  1   0]]",0.0,0.0033370411568409346,0.0033370411568409346,euclidean,1.0,0.0,0.0,0.05776712868787001,-2.0033407572383077,500209,0.1,uniform
0.7104677060133631,"[[634   2]
 [258   4]]",0.029850746268656712,0.289532293986637,0.289532293986637,euclidean,36.0,0.6666666666666666,0.015267175572519083,0.5380820513514988,-0.4011714436602809,532174,0.01,distance
0.8296213808463252,"[[745   6]
 [147   0]]",0.0,0.17037861915367483,0.17037861915367483,euclidean,11.0,0.0,0.0,0.41276945036385,-0.24454468871436696,532174,0.02,distance
0.9075723830734966,"[[815   0]
 [ 83   0]]",0.0,0.09242761692650334,0.09242761692650334,manhattan,4.0,0.0,0.0,0.3040191061866069,-0.10184049079754587,532174,0.03,uniform
