Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unix Date
2021-04-23,22.45,23.45,22.45,23.3,23.112487445597587,2987,41,69037.0,2633.0,88.15,1.0,0.85,1619116200.0
2021-04-22,22.0,23.0,22.0,22.45,22.4668666484865,3667,60,82386.0,2874.0,78.37,1.0,0.45,1619029800.0
2021-04-20,22.55,23.4,22.1,23.0,22.82231877429682,4373,32,99802.0,2516.0,57.53,1.3,0.45,1618857000.0
2021-04-19,23.2,23.2,21.7,22.45,22.20834794808839,5702,84,126632.0,4400.0,77.17,1.5,-0.75,1618770600.0
2021-04-16,24.0,24.0,22.0,23.35,22.84754692130392,9111,50,208164.0,8109.0,89.0,2.0,-0.65,1618511400.0
2021-04-15,23.15,24.1,22.15,23.25,22.88686543110395,6205,75,142013.0,4947.0,79.73,1.95,0.1,1618425000.0
2021-04-13,23.8,24.05,22.8,23.5,23.431761786600497,3627,69,84987.0,2414.0,66.56,1.25,-0.3,1618252200.0
2021-04-12,24.05,24.35,22.5,22.85,23.041795448159597,14236,102,328023.0,7729.0,54.29,1.85,-1.2,1618165800.0
2021-04-09,24.6,25.45,23.5,24.6,23.997930558749136,4349,68,104367.0,3245.0,74.61,1.95,0.0,1617906600.0
2021-04-08,24.7,26.0,24.35,24.55,25.03748899232608,7949,119,199023.0,6726.0,84.61,1.65,-0.15,1617820200.0
2021-04-07,24.95,25.0,24.25,24.7,24.6037089871612,3505,32,86236.0,2615.0,74.61,0.75,-0.25,1617733800.0
2021-04-06,23.3,24.65,22.7,24.4,23.83514492753623,1656,39,39471.0,1191.0,71.92,1.95,1.1,1617647400.0
2021-04-05,24.55,24.55,23.2,24.2,23.847140762463344,2728,28,65055.0,2114.0,77.49,1.35,-0.35,1617561000.0
2021-04-01,23.75,24.85,23.6,24.3,24.298440979955455,898,68,21820.0,745.0,82.96,1.25,0.55,1617215400.0
2021-03-31,24.0,26.0,23.3,24.5,24.28064858311865,6599,93,160228.0,4375.0,66.3,2.7,0.5,1617129000.0
2021-03-30,23.95,24.0,23.0,23.65,23.33999375585389,3203,86,74758.0,2522.0,78.74,1.0,-0.3,1617042600.0
2021-03-26,23.75,24.5,22.9,23.1,23.42600135777325,5892,50,138026.0,4624.0,78.48,1.6,-0.65,1616697000.0
2021-03-25,24.0,24.5,20.0,23.75,23.088394374903412,6471,85,149405.0,4109.0,63.5,4.5,-0.25,1616610600.0
2021-03-24,24.35,25.3,23.75,24.9,24.610530246452576,5356,53,131814.0,4186.0,78.16,1.55,0.55,1616524200.0
2021-03-23,25.0,25.6,23.35,24.65,24.727374301675976,2685,67,66393.0,2314.0,86.18,2.25,-0.35,1616437800.0
2021-03-22,25.4,25.4,23.7,24.75,24.553547220967012,4426,223,108674.0,3680.0,83.14,1.7,-0.65,1616351400.0
2021-03-19,23.8,24.85,22.05,24.35,23.756414368184732,6236,92,148145.0,3695.0,59.25,2.8,0.55,1616092200.0
2021-03-18,25.75,25.75,24.2,24.9,24.89580908032596,5154,87,128313.0,5018.0,97.36,1.55,-0.85,1616005800.0
2021-03-17,25.55,26.7,24.3,24.85,25.167941015838338,3662,76,92165.0,2789.0,76.16,2.4,-0.7,1615919400.0
2021-03-16,25.7,27.15,24.8,25.8,25.912271317000105,9347,100,242202.0,5521.0,59.07,2.35,0.1,1615833000.0
2021-03-15,25.6,27.0,24.3,26.25,25.59081139172488,7444,134,190498.0,4745.0,63.74,2.7,0.65,1615746600.0
2021-03-12,25.2,27.9,25.2,25.6,25.9137299126022,3547,97,91916.0,2524.0,71.16,2.7,0.4,1615487400.0
2021-03-10,27.7,27.7,25.15,25.5,25.75109726745009,7063,159,181880.0,6153.0,87.12,2.55,-2.2,1615314600.0
2021-03-09,25.1,28.7,25.1,26.2,26.755,4600,71,123073.0,3695.0,80.33,3.6,1.1,1615228200.0
2021-03-08,26.65,29.45,26.2,26.45,27.284648187633262,8442,174,230337.0,6834.0,80.95,3.25,-0.2,1615141800.0
2021-03-05,28.85,28.85,26.25,27.3,27.5994400559944,10001,204,276022.0,8965.0,89.64,2.6,-1.55,1614882600.0
2021-03-04,28.15,29.7,28.0,28.85,28.732676569434823,38979,422,1119971.0,29973.0,76.9,1.7,0.7,1614796200.0
2021-03-03,23.6,28.05,23.25,27.7,26.849166815677656,117441,755,3153193.0,72977.0,62.14,4.8,4.1,1614709800.0
2021-03-02,23.05,23.75,23.0,23.5,23.247754042723095,5009,152,116448.0,4548.0,90.8,0.75,0.45,1614623400.0
2021-03-01,23.55,23.7,22.55,23.4,23.24455527847049,12030,172,279632.0,8954.0,74.43,1.15,-0.15,1614537000.0
2021-02-26,23.45,23.5,22.55,23.35,23.209790209790206,6006,115,139398.0,4649.0,77.41,0.95,-0.1,1614277800.0
2021-02-25,23.15,23.5,22.85,23.35,23.364178490643635,4863,41,113620.0,4771.0,98.11,0.65,0.2,1614191400.0
2021-02-24,22.5,23.5,22.45,23.15,22.832549809715687,4467,68,101993.0,3886.0,86.99,1.05,0.65,1614105000.0
2021-02-23,22.9,23.5,22.15,22.55,22.615641609719056,6585,160,148924.0,5676.0,86.2,1.35,-0.35,1614018600.0
2021-02-22,24.3,24.3,22.65,23.55,23.15610624721769,6739,101,156049.0,6091.0,90.38,1.65,-0.75,1613932200.0
2021-02-19,23.6,24.5,23.6,23.8,23.9141733389521,7119,127,170245.0,6861.0,96.38,0.9,0.2,1613673000.0
