Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Rate,% Return of Company,Close Price of SP500,% Return of SP500,Beta,% YTD of Company,% YTD of SP500,Alpha,Dividend Value,Revenue,Income,Expenditure,Net Profit,EPS,year,Revenue last 2 quarters,Income last 2 quarters,Expenditure  last 2 quarters,Net Profit  last 2 quarters,EPS last 2 quarters,Revenue last 4 quarters,Income last 4 quarters,Expenditure  last 4 quarters,Net Profit  last 4 quarters,EPS last 4 quarters,Revenue last 8 quarters,Income last 8 quarters,Expenditure  last 8 quarters,Net Profit  last 8 quarters,EPS last 8 quarters,p/e,Upper Band,Lower Band,Band Area,Unix Date,Next Day Open Price,Next Day High Price,Next Day Low Price,Next Day Close Price,Open Price GR,High Price GR,Low Price GR,Close Price GR,Next Day Open Price GR,Next Day High Price GR,Next Day Low Price GR,Next Day Close Price GR,WAP GR,No.of Shares GR,No. of Trades GR,Total Turnover (Rs.) GR,Deliverable Quantity GR,% Deli. Qty to Traded Qty GR,Spread High-Low GR,Spread Close-Open GR,Alpha GR,Beta GR,CP % LV 7 days,CP % HV 7 days,CP % BA 7 days,CP % LV 30 days,CP % HV 30 days,CP % BA 30 days,CP % LV 90 days,CP % HV 90 days,CP % BA 90 days,CP % LV 180 days,CP % HV 180 days,CP % BA 180 days,CP % LV 365 days,CP % HV 365 days,CP % BA 365 days,Sequential Increase,Sequential Decrease,Sequential Increase %,Sequential Decrease %,Max Inc % in 90 days,Max Dec % in 90 days,Min Inc % in 90 days,Min Dec % in 90 days,Avg Inc % in 90 days,Avg Dec % in 90 days,Max Inc % in 180 days,Max Dec % in 180 days,Min Inc % in 180 days,Min Dec % in 180 days,Avg Inc % in 180 days,Avg Dec % in 180 days,Max Inc % in 365 days,Max Dec % in 365 days,Min Inc % in 365 days,Min Dec % in 365 days,Avg Inc % in 365 days,Avg Dec % in 365 days,Revenue GR,Income GR,Expenditure GR,Net Profit GR,EPS GR
2007-08-01,1125.0,1125.0,1077.0,1081.55,1097.8046713721174,152589.0,6579.0,167512917.0,69723.0,45.69,48.0,-43.45,4.89,-0.6795536985169326,5815.85,-4.079528961604428,0.001901100495692912,227.49757292774262,241.9677261277372,222.15686434508348,0.0,13775.48,14090.86,-12130.75,1156.88,5.46,2007,33747.37,34624.770000000004,-29582.61,2984.8100000000004,15.079999999999998,65472.54000000001,82394.66,-57866.96,5350.82,26.25,131482.38,148594.61000000002,-117057.67,9732.31,46.93000000000001,198.08608058608056,4783.2,1643.65,-3139.55,1185906600.0,1094.0,1111.0,1075.0,1088.95,,,,,,,,,,,,,,,,,,,1.0,1.0,inf,1.0,1.0,inf,1.0,1.0,inf,1.0,1.0,inf,1.0,1.0,inf,0,5,-0.007428675599307141,0.02768722163552033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2511067196899065,-0.25451535609929526,-0.2357961686335456,-0.36009027147819545,-0.3599062133645955
2007-08-02,1094.0,1111.0,1075.0,1088.95,1097.0480587149057,85021.0,4339.0,93272123.0,22816.0,26.84,36.0,-5.05,4.89,-0.7428675599307155,5844.15,0.4866012706654877,0.001902204914808061,225.27205105835893,240.3117647562093,219.93423062038693,0.0,13775.48,14090.86,-12130.75,1156.88,5.46,2007,33747.37,34624.770000000004,-29582.61,2984.8100000000004,15.079999999999998,65472.54000000001,82394.66,-57866.96,5350.82,26.25,131482.38,148594.61000000002,-117057.67,9732.31,46.93000000000001,199.44139194139197,4783.2,1643.65,-3139.55,1185993000.0,1109.0,1119.9,1092.0,1097.1,-0.027555555555555555,-0.012444444444444444,-0.0018570102135561746,0.006842032268503621,0.013711151736745886,0.008010801080108093,0.01581395348837209,0.007484273841774061,-0.0006892051718690718,-0.44281042539108323,-0.3404772761817905,-0.44319444332761515,-0.672762216198385,-0.41256292405340333,-0.25,-0.8837744533947066,-0.010004794275652274,0.0005809367351442059,1.0068420322685037,1.0,147.1554054054036,1.0068420322685037,1.0,147.1554054054036,1.0068420322685037,1.0,147.1554054054036,1.0068420322685037,1.0,147.1554054054036,1.0068420322685037,1.0,147.1554054054036,0,4,-0.008898324224219826,0.02005286664843679,0.0,0.02768722163552033,-0.007428675599307141,0.0,-0.0037143377996535706,0.013843610817760164,0.0,0.02768722163552033,-0.007428675599307141,0.0,-0.0037143377996535706,0.013843610817760164,0.0,0.02768722163552033,-0.007428675599307141,0.0,-0.0037143377996535706,0.013843610817760164,-0.2511067196899065,-0.25451535609929526,-0.2357961686335456,-0.36009027147819545,-0.3599062133645955
2007-08-03,1109.0,1119.9,1092.0,1097.1,1105.4292190438484,50515.0,2362.0,55840757.0,16744.0,33.15,27.9,-11.9,4.85,-0.8898324224219878,5915.94,1.228407895074568,0.001911779157909876,222.85571050952515,236.18207757347102,217.5634546650642,0.0,13775.48,14090.86,-12130.75,1156.88,5.46,2007,33747.37,34624.770000000004,-29582.61,2984.8100000000004,15.079999999999998,65472.54000000001,82394.66,-57866.96,5350.82,26.25,131482.38,148594.61000000002,-117057.67,9732.31,46.93000000000001,200.934065934066,4783.2,1643.65,-3139.55,1186079400.0,1097.1,1112.0,1050.05,1106.95,0.013711151736745886,0.008010801080108093,0.01581395348837209,0.007484273841774061,-0.010730387736699811,-0.007054201267970435,-0.03841575091575096,0.008978215294868414,0.00763973853502877,-0.40585267169287587,-0.4556349389260198,-0.40131354145332365,-0.2661290322580645,0.23509687034277194,-0.22500000000000003,1.3564356435643565,-0.010779476885591121,0.005033234341517443,1.0143775137534095,1.0,70.55305466237962,1.0143775137534095,1.0,70.55305466237962,1.0143775137534095,1.0,70.55305466237962,1.0143775137534095,1.0,70.55305466237962,1.0143775137534095,1.0,70.55305466237962,0,3,-0.0034659704717320034,0.01097610551515413,0.0,0.02768722163552033,-0.008898324224219826,0.0,-0.005442333274508989,0.013843610817760164,0.0,0.02768722163552033,-0.008898324224219826,0.0,-0.005442333274508989,0.013843610817760164,0.0,0.02768722163552033,-0.008898324224219826,0.0,-0.005442333274508989,0.013843610817760164,-0.2511067196899065,-0.25451535609929526,-0.2357961686335456,-0.36009027147819545,-0.3599062133645955
2007-08-06,1097.1,1112.0,1050.05,1106.95,1092.3735833702322,83561.0,4518.0,91279829.0,21774.0,26.06,61.95,9.85,4.88,-0.3465970471732027,5834.34,-1.3793243339181862,0.0019284864950373016,219.98283571977046,240.8839731657737,214.64770524474517,0.0,13775.48,14090.86,-12130.75,1156.88,5.46,2007,33747.37,34624.770000000004,-29582.61,2984.8100000000004,15.079999999999998,65472.54000000001,82394.66,-57866.96,5350.82,26.25,131482.38,148594.61000000002,-117057.67,9732.31,46.93000000000001,202.73809523809524,4783.2,1643.65,-3139.55,1186338600.0,1124.0,1130.0,1101.1,1110.8,-0.010730387736699811,-0.007054201267970435,-0.03841575091575096,0.008978215294868414,0.024519186947406884,0.01618705035971223,0.04861673253654584,0.0034780252043903597,-0.011810467326808021,0.6541819261605464,0.9127857747671465,0.6346452645690316,0.30040611562350694,-0.21387631975867272,1.220430107526882,-1.8277310924369747,-0.013401834535160261,0.008739156433576473,1.0234848134621608,1.0,43.58070866141717,1.0234848134621608,1.0,43.58070866141717,1.0234848134621608,1.0,43.58070866141717,1.0234848134621608,1.0,43.58070866141717,1.0234848134621608,1.0,43.58070866141717,0,2,-0.020026466696074146,0.007472092185811987,0.0,0.02768722163552033,-0.008898324224219826,0.0,-0.0049482425738147425,0.013843610817760164,0.0,0.02768722163552033,-0.008898324224219826,0.0,-0.0049482425738147425,0.013843610817760164,0.0,0.02768722163552033,-0.008898324224219826,0.0,-0.0049482425738147425,0.013843610817760164,-0.2511067196899065,-0.25451535609929526,-0.2357961686335456,-0.36009027147819545,-0.3599062133645955
2007-08-07,1124.0,1130.0,1101.1,1110.8,1120.1887371558203,67443.0,3631.0,75548889.0,17299.0,25.65,28.9,-13.2,4.94,-2.0026466696074112,5858.5,0.4140999667485934,0.0019290736741696454,218.87378465970474,239.47819407698222,213.48134320392356,0.0,13775.48,14090.86,-12130.75,1156.88,5.46,2007,33747.37,34624.770000000004,-29582.61,2984.8100000000004,15.079999999999998,65472.54000000001,82394.66,-57866.96,5350.82,26.25,131482.38,148594.61000000002,-117057.67,9732.31,46.93000000000001,203.44322344322342,4783.2,1643.65,-3139.55,1186425000.0,1115.0,1149.0,1115.0,1133.5,0.024519186947406884,0.01618705035971223,0.04861673253654584,0.0034780252043903597,-0.00800711743772242,0.016814159292035398,0.012623739896467253,0.020435722002160647,0.025463041407291952,-0.1928890271777504,-0.19632580787959275,-0.17233752705649788,-0.2055203453660329,-0.01573292402148888,-0.5334947538337369,-2.340101522842639,-0.005433843513452443,0.0003044766628414441,1.027044519439693,1.0,37.976068376068376,1.027044519439693,1.0,37.976068376068376,1.027044519439693,1.0,37.976068376068376,1.027044519439693,1.0,37.976068376068376,1.027044519439693,1.0,37.976068376068376,0,1,0.01286748279867759,-0.01270401411557132,0.0,0.02768722163552033,-0.020026466696074146,0.0,-0.007963887398266622,0.013843610817760164,0.0,0.02768722163552033,-0.020026466696074146,0.0,-0.007963887398266622,0.013843610817760164,0.0,0.02768722163552033,-0.020026466696074146,0.0,-0.007963887398266622,0.013843610817760164,-0.2511067196899065,-0.25451535609929526,-0.2357961686335456,-0.36009027147819545,-0.3599062133645955
2007-08-08,1115.0,1149.0,1115.0,1133.5,1137.0680470220545,140785.0,5012.0,160082125.0,60188.0,42.75,34.0,18.5,4.95,1.2867482798677663,5987.59,2.2034650507809284,0.0019626089784771576,212.4878694309661,232.1591825759613,207.09194664925002,0.0,13775.48,14090.86,-12130.75,1156.88,5.46,2007,33747.37,34624.770000000004,-29582.61,2984.8100000000004,15.079999999999998,65472.54000000001,82394.66,-57866.96,5350.82,26.25,131482.38,148594.61000000002,-117057.67,9732.31,46.93000000000001,207.6007326007326,4783.2,1643.65,-3139.55,1186511400.0,1145.95,1158.0,1113.0,1119.1,-0.00800711743772242,0.016814159292035398,0.012623739896467253,0.020435722002160647,0.027757847533632328,0.007832898172323759,-0.0017937219730941704,-0.01270401411557132,0.015068273145730029,1.087466453153033,0.3803359955935004,1.1189209678516914,2.47927625874328,0.6666666666666667,0.17647058823529418,-2.4015151515151514,-0.029929531352864882,0.017384149064160165,1.0480329157228052,1.0,21.81905678537053,1.0480329157228052,1.0,21.81905678537053,1.0480329157228052,1.0,21.81905678537053,1.0480329157228052,1.0,21.81905678537053,1.0480329157228052,1.0,21.81905678537053,2,0,0.015609401942099843,-0.029398623894200577,0.01286748279867759,0.02768722163552033,-0.020026466696074146,0.0,-0.004491992365442587,0.013843610817760164,0.01286748279867759,0.02768722163552033,-0.020026466696074146,0.0,-0.004491992365442587,0.013843610817760164,0.01286748279867759,0.02768722163552033,-0.020026466696074146,0.0,-0.004491992365442587,0.013843610817760164,-0.2511067196899065,-0.25451535609929526,-0.2357961686335456,-0.36009027147819545,-0.3599062133645955
2007-08-09,1145.95,1158.0,1113.0,1119.1,1140.4842276605298,106896.0,4716.0,121913202.0,23301.0,21.8,45.0,-26.85,4.81,3.0289081200515438,5897.26,-1.5086203297152934,0.001982574278974983,216.50880171566442,237.24695875711768,211.2379781797493,0.0,13775.48,14090.86,-12130.75,1156.88,5.46,2007,33747.37,34624.770000000004,-29582.61,2984.8100000000004,15.079999999999998,65472.54000000001,82394.66,-57866.96,5350.82,26.25,131482.38,148594.61000000002,-117057.67,9732.31,46.93000000000001,204.96336996337,4783.2,1643.65,-3139.55,1186597800.0,1050.0,1103.0,1050.0,1086.2,0.027757847533632328,0.007832898172323759,-0.0017937219730941704,-0.01270401411557132,-0.08372965661678088,-0.047495682210708115,-0.05660377358490566,-0.029398623894200577,0.0030043766047441883,-0.24071456476187095,-0.05905826017557861,-0.23843338536391867,-0.6128630291752509,-0.49005847953216375,0.3235294117647059,-2.4513513513513514,0.020020245101666712,0.010172836625519191,1.0347186907678794,0.9872959858844287,21.54186717998073,1.0347186907678794,0.9872959858844287,21.54186717998073,1.0347186907678794,0.9872959858844287,21.54186717998073,1.0347186907678794,0.9872959858844287,21.54186717998073,1.0347186907678794,0.9872959858844287,21.54186717998073,1,0,-0.014248116889009932,0.014454060025777983,0.01286748279867759,0.02768722163552033,-0.020026466696074146,0.0,-0.004491992365442587,0.013843610817760164,0.01286748279867759,0.02768722163552033,-0.020026466696074146,0.0,-0.004491992365442587,0.013843610817760164,0.01286748279867759,0.02768722163552033,-0.020026466696074146,0.0,-0.004491992365442587,0.013843610817760164,-0.2511067196899065,-0.25451535609929526,-0.2357961686335456,-0.36009027147819545,-0.3599062133645955
2007-08-10,1050.0,1103.0,1050.0,1086.2,1086.88599788826,219724.0,4759.0,238814939.0,151276.0,68.85,53.0,36.2,4.57,-1.4248116889009954,5815.0,-1.3948850822246284,0.0019994341073945807,226.09556251150798,242.0177128116939,221.05080145578944,0.0,13775.48,14090.86,-12130.75,1156.88,5.46,2007,33747.37,34624.770000000004,-29582.61,2984.8100000000004,15.079999999999998,65472.54000000001,82394.66,-57866.96,5350.82,26.25,131482.38,148594.61000000002,-117057.67,9732.31,46.93000000000001,198.9377289377289,4783.2,1643.65,-3139.55,1186684200.0,1105.0,1110.0,1086.0,1101.9,-0.08372965661678088,-0.047495682210708115,-0.05660377358490566,-0.029398623894200577,0.05238095238095238,0.006346328195829556,0.03428571428571429,0.014454060025777983,-0.04699602894308821,1.055493189642269,0.009117896522476675,0.95889317220952,5.4922535513497275,2.1582568807339446,0.17777777777777778,-2.3482309124767227,0.04645387804123981,0.008504008449214107,1.0042993851416948,0.9582708425231584,20.908565928777655,1.0042993851416948,0.9582708425231584,20.908565928777655,1.0042993851416948,0.9582708425231584,20.908565928777655,1.0042993851416948,0.9582708425231584,20.908565928777655,1.0042993851416948,0.9582708425231584,20.908565928777655,0,2,-0.005460535222708565,-0.037662219802159905,0.01286748279867759,0.02768722163552033,-0.020026466696074146,0.0,-0.004491992365442587,0.013843610817760164,0.01286748279867759,0.02768722163552033,-0.020026466696074146,0.0,-0.004491992365442587,0.013843610817760164,0.01286748279867759,0.02768722163552033,-0.020026466696074146,0.0,-0.004491992365442587,0.013843610817760164,-0.2511067196899065,-0.25451535609929526,-0.2357961686335456,-0.36009027147819545,-0.3599062133645955
2007-08-13,1105.0,1110.0,1086.0,1101.9,1100.3797449458327,46892.0,1937.0,51599007.0,12736.0,27.16,24.0,-3.1,4.74,-0.5460535222708618,5873.17,1.0003439380911416,0.0020056293102241386,221.4493148198566,238.63024567652562,216.24021768775228,0.0,13775.48,14090.86,-12130.75,1156.88,5.46,2007,33747.37,34624.770000000004,-29582.61,2984.8100000000004,15.079999999999998,65472.54000000001,82394.66,-57866.96,5350.82,26.25,131482.38,148594.61000000002,-117057.67,9732.31,46.93000000000001,201.81318681318683,4783.2,1643.65,-3139.55,1186943400.0,1105.0,1118.0,1095.05,1107.95,0.05238095238095238,0.006346328195829556,0.03428571428571429,0.014454060025777983,0.0,0.007207207207207207,0.008333333333333292,0.005490516380796764,0.012415052805713003,-0.7865868089057181,-0.5929817188484976,-0.7839372728688467,-0.9158095137364817,-0.605519244734931,-0.5471698113207547,-1.0856353591160222,-0.021762344838180955,0.0030984781177063863,1.014454060025778,0.972121746801941,23.295983086680785,1.018815588738385,0.972121746801941,21.210779595765143,1.018815588738385,0.972121746801941,21.210779595765143,1.018815588738385,0.972121746801941,21.210779595765143,1.018815588738385,0.972121746801941,21.210779595765143,0,1,0.04484156921916253,-0.04291709914707338,0.01286748279867759,0.02768722163552033,-0.020026466696074146,0.0,-0.004630355630766298,0.013843610817760164,0.01286748279867759,0.02768722163552033,-0.020026466696074146,0.0,-0.004630355630766298,0.013843610817760164,0.01286748279867759,0.02768722163552033,-0.020026466696074146,0.0,-0.004630355630766298,0.013843610817760164,-0.2511067196899065,-0.25451535609929526,-0.2357961686335456,-0.36009027147819545,-0.3599062133645955
2007-08-14,1105.0,1118.0,1095.05,1107.95,1107.825831114165,46564.0,2363.0,51584802.0,10497.0,22.54,22.95,2.95,4.64,4.484156921916259,5867.47,-0.09705150710774824,0.0020059122499136287,219.69402951396717,238.95921069898952,214.58400573883603,0.0,13775.48,14090.86,-12130.75,1156.88,5.46,2007,33747.37,34624.770000000004,-29582.61,2984.8100000000004,15.079999999999998,65472.54000000001,82394.66,-57866.96,5350.82,26.25,131482.38,148594.61000000002,-117057.67,9732.31,46.93000000000001,202.92124542124543,4783.2,1643.65,-3139.55,1187029800.0,1070.0,1084.95,1056.0,1060.4,0.0,0.007207207207207207,0.008333333333333292,0.005490516380796764,-0.03167420814479638,-0.029561717352414987,-0.035660472124560486,-0.04291709914707338,0.006766833179666467,-0.006994796553783161,0.219927723283428,-0.0002752959955217743,-0.17580087939698494,-0.1701030927835052,-0.04375000000000003,-1.9516129032258067,-0.007659130048175392,0.00014107277354186122,1.0200239366599153,0.9774591971768858,23.42389006342497,1.0244094124173642,0.9774591971768858,21.32723772858516,1.0244094124173642,0.9774591971768858,21.32723772858516,1.0244094124173642,0.9774591971768858,21.32723772858516,1.0244094124173642,0.9774591971768858,21.32723772858516,2,0,0.02493717378697099,-0.03361938890984542,0.04484156921916253,0.02768722163552033,-0.020026466696074146,0.0,0.0015536349754748059,0.013843610817760164,0.04484156921916253,0.02768722163552033,-0.020026466696074146,0.0,0.0015536349754748059,0.013843610817760164,0.04484156921916253,0.02768722163552033,-0.020026466696074146,0.0,0.0015536349754748059,0.013843610817760164,-0.2511067196899065,-0.25451535609929526,-0.2357961686335456,-0.36009027147819545,-0.3599062133645955
