Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unix Date
2021-04-23,4.07,4.07,4.07,4.07,4.069298245614036,1140,9,4639.0,1140,100.0,0.0,0.0,1619116200.0
2021-04-22,4.15,4.15,4.15,4.15,4.149944873208379,907,4,3764.0,907,100.0,0.0,0.0,1619029800.0
2021-04-20,4.2,4.2,4.2,4.2,4.0,1,1,4.0,1,100.0,0.0,0.0,1618857000.0
2021-04-19,4.2,4.2,4.2,4.2,4.2,10,1,42.0,10,100.0,0.0,0.0,1618770600.0
2021-04-16,4.2,4.2,4.2,4.2,4.166666666666666,12,3,50.0,12,100.0,0.0,0.0,1618511400.0
2021-04-13,4.25,4.25,4.25,4.25,4.25,72,5,306.0,72,100.0,0.0,0.0,1618252200.0
2021-04-12,4.36,4.49,4.33,4.33,4.348178137651821,741,6,3222.0,741,100.0,0.16,-0.03,1618165800.0
2021-04-09,4.41,4.41,4.35,4.41,4.402742073693231,2334,7,10276.0,2334,100.0,0.06,0.0,1617906600.0
2021-04-08,4.33,4.33,4.33,4.33,4.329529243937233,1402,3,6070.0,1402,100.0,0.0,0.0,1617820200.0
2021-04-07,4.5,4.5,4.41,4.41,4.413857677902621,534,6,2357.0,534,100.0,0.09,-0.09,1617733800.0
2021-04-06,4.5,4.5,4.5,4.5,4.497942386831276,243,6,1093.0,243,100.0,0.0,0.0,1617647400.0
2021-04-05,4.51,4.51,4.51,4.51,4.5048543689320395,103,3,464.0,103,100.0,0.0,0.0,1617561000.0
2021-04-01,4.51,4.51,4.51,4.51,4.509960159362549,251,5,1132.0,251,100.0,0.0,0.0,1617215400.0
2021-03-31,4.6,4.6,4.6,4.6,4.545454545454546,11,2,50.0,11,100.0,0.0,0.0,1617129000.0
2021-03-30,4.69,4.69,4.6,4.6,4.6,800,11,3680.0,800,100.0,0.09,-0.09,1617042600.0
2021-03-26,4.6,4.6,4.6,4.6,4.599455040871935,1101,3,5064.0,1101,100.0,0.0,0.0,1616697000.0
2021-03-25,4.51,4.51,4.51,4.51,4.509803921568627,102,3,460.0,102,100.0,0.0,0.0,1616610600.0
2021-03-24,4.68,4.68,4.6,4.6,4.620338983050848,590,3,2726.0,590,100.0,0.08,-0.08,1616524200.0
2021-03-23,4.69,4.69,4.69,4.69,4.689523809523809,1050,3,4924.0,1050,100.0,0.0,0.0,1616437800.0
2021-03-22,4.66,4.66,4.6,4.6,4.636363636363636,1001,4,4641.0,1001,100.0,0.06,-0.06,1616351400.0
2021-03-19,4.57,4.57,4.57,4.57,4.569791666666666,3840,14,17548.0,3840,100.0,0.0,0.0,1616092200.0
2021-03-18,4.66,4.66,4.66,4.66,4.5,2,1,9.0,2,100.0,0.0,0.0,1616005800.0
2021-03-17,4.74,4.74,4.74,4.74,4.739862935465448,3502,8,16599.0,3502,100.0,0.0,0.0,1615919400.0
2021-03-16,4.56,4.56,4.2,4.52,4.531122448979592,1960,13,8881.0,1960,100.0,0.36,-0.04,1615833000.0
2021-03-15,4.37,4.37,4.37,4.37,4.369350282485876,1416,7,6187.0,1416,100.0,0.0,0.0,1615746600.0
2021-03-12,4.18,4.18,4.17,4.17,4.163636363636364,110,2,458.0,110,100.0,0.01,-0.01,1615487400.0
2021-03-10,4.18,4.18,3.8,4.18,4.0729783037475356,1014,14,4130.0,1014,100.0,0.38,0.0,1615314600.0
2021-03-09,3.99,3.99,3.99,3.99,3.98961937716263,289,4,1153.0,289,100.0,0.0,0.0,1615228200.0
2021-03-05,3.8,3.8,3.8,3.8,3.7916666666666665,48,1,182.0,48,100.0,0.0,0.0,1614882600.0
2021-03-04,3.62,3.62,3.62,3.62,3.62,1850,6,6697.0,1850,100.0,0.0,0.0,1614796200.0
2021-03-03,3.45,3.45,3.45,3.45,3.447976878612717,346,7,1193.0,346,100.0,0.0,0.0,1614709800.0
2021-03-02,3.29,3.29,3.29,3.29,3.2896226415094336,1060,5,3487.0,1060,100.0,0.0,0.0,1614623400.0
