Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unix Date
2021-04-23,30.55,33.65,30.55,30.55,31.046511627906977,2021,6,62745.0,2021.0,100.0,3.1,0.0,1619116200.0
2021-04-20,31.5,32.05,31.5,32.05,31.675736961451246,441,7,13969.0,441.0,100.0,0.55,0.55,1618857000.0
2021-04-19,32.95,34.65,32.95,33.0,33.63471074380165,605,11,20349.0,605.0,100.0,1.7,0.05,1618770600.0
2021-04-16,36.15,36.15,33.0,33.0,36.089679940847155,9467,19,341661.0,9467.0,100.0,3.15,-3.15,1618511400.0
2021-04-15,34.45,34.45,34.45,34.45,34.44761904761905,210,4,7234.0,210.0,100.0,0.0,0.0,1618425000.0
2021-04-13,32.85,32.85,32.85,32.85,32.84885496183206,655,8,21516.0,655.0,100.0,0.0,0.0,1618252200.0
2021-04-12,28.95,31.95,28.95,31.3,30.998890122086568,901,9,27930.0,901.0,100.0,3.0,2.35,1618165800.0
2021-04-09,30.45,30.45,30.45,30.45,30.43636363636364,55,2,1674.0,55.0,100.0,0.0,0.0,1617906600.0
2021-04-08,28.75,31.7,28.75,29.0,30.313364055299537,434,13,13156.0,434.0,100.0,2.95,0.25,1617820200.0
2021-04-07,29.65,30.2,29.65,30.2,30.194649446494463,1084,9,32731.0,1084.0,100.0,0.55,0.55,1617733800.0
2021-04-05,30.25,30.25,29.65,29.65,29.92,375,9,11220.0,375.0,100.0,0.6,-0.6,1617561000.0
2021-04-01,30.25,30.25,30.25,30.25,30.222222222222225,27,2,816.0,27.0,100.0,0.0,0.0,1617215400.0
2021-03-31,30.8,30.8,30.8,30.8,30.8,25,1,770.0,25.0,100.0,0.0,0.0,1617129000.0
2021-03-30,31.4,31.4,31.4,31.4,31.4,10,2,314.0,10.0,100.0,0.0,0.0,1617042600.0
2021-03-26,32.0,32.0,31.4,31.4,31.996732026143793,306,3,9791.0,306.0,100.0,0.6,-0.6,1616697000.0
2021-03-25,32.0,32.0,32.0,32.0,32.0,25,1,800.0,25.0,100.0,0.0,0.0,1616610600.0
2021-03-24,32.0,32.65,32.0,32.65,32.584,500,2,16292.0,500.0,100.0,0.65,0.65,1616524200.0
2021-03-23,32.65,32.65,32.65,32.65,32.649742710120066,2915,8,95174.0,2915.0,100.0,0.0,0.0,1616437800.0
2021-03-22,33.3,33.3,33.3,33.3,33.3,110,3,3663.0,110.0,100.0,0.0,0.0,1616351400.0
2021-03-19,33.95,33.95,33.95,33.95,33.95,1000,3,33950.0,1000.0,100.0,0.0,0.0,1616092200.0
2021-03-17,34.6,34.6,34.6,34.6,34.6,10,2,346.0,10.0,100.0,0.0,0.0,1615919400.0
2021-03-16,36.0,36.7,35.3,35.3,36.16744042092232,3231,16,116857.0,3231.0,100.0,1.4,-0.7,1615833000.0
2021-03-15,37.25,37.25,36.0,36.0,36.52184273232724,1259,12,45981.0,1259.0,100.0,1.25,-1.25,1615746600.0
2021-03-12,36.55,36.55,35.85,36.55,36.52082512153462,7611,28,277960.0,7611.0,100.0,0.7,0.0,1615487400.0
2021-03-10,35.85,35.85,35.85,35.85,35.84995088408645,4072,15,145981.0,4072.0,100.0,0.0,0.0,1615314600.0
2021-03-09,35.15,35.15,35.15,35.15,35.14906832298137,644,7,22636.0,644.0,100.0,0.0,0.0,1615228200.0
2021-03-08,34.5,34.5,34.45,34.5,34.48982516480367,3489,17,120335.0,3489.0,100.0,0.05,0.0,1615141800.0
2021-03-05,33.8,33.85,32.6,33.85,33.731288076588335,4596,31,155029.0,4596.0,100.0,1.25,0.05,1614882600.0
2021-03-04,33.2,33.2,32.05,33.2,33.167134268537076,9980,31,331008.0,9980.0,100.0,1.15,0.0,1614796200.0
2021-03-03,32.0,32.6,29.55,32.55,31.9978563772776,7464,58,238832.0,7464.0,100.0,3.05,0.55,1614709800.0
2021-03-02,31.05,31.05,31.05,31.05,31.049927149101503,10295,29,319659.0,10295.0,100.0,0.0,0.0,1614623400.0
2021-03-01,29.6,29.6,29.45,29.6,29.552065154159397,3438,10,101600.0,3438.0,100.0,0.15,0.0,1614537000.0
