Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unix Date
2021-04-06,0.78,0.78,0.78,0.78,0.78,100,1,78.0,100,100.0,0.0,0.0,1617647400.0
2021-03-31,0.75,0.75,0.75,0.75,0.75,100,1,75.0,100,100.0,0.0,0.0,1617129000.0
2021-03-19,0.72,0.72,0.72,0.72,0.72,100,1,72.0,100,100.0,0.0,0.0,1616092200.0
2021-03-15,0.69,0.69,0.69,0.69,0.6842105263157894,95,1,65.0,95,100.0,0.0,0.0,1615746600.0
2021-03-02,0.66,0.66,0.66,0.66,0.66,100,1,66.0,100,100.0,0.0,0.0,1614623400.0
2021-03-01,0.63,0.63,0.63,0.63,0.63,100,1,63.0,100,100.0,0.0,0.0,1614537000.0
2021-02-26,0.6,0.6,0.6,0.6,0.6,200,1,120.0,200,100.0,0.0,0.0,1614277800.0
2021-02-16,0.58,0.58,0.58,0.58,0.58,300,2,174.0,300,100.0,0.0,0.0,1613413800.0
2021-02-12,0.56,0.56,0.56,0.56,0.56,300,1,168.0,300,100.0,0.0,0.0,1613068200.0
2021-01-29,0.54,0.54,0.54,0.54,0.54,600,1,324.0,600,100.0,0.0,0.0,1611858600.0
2021-01-21,0.54,0.54,0.54,0.54,0.54,100,1,54.0,100,100.0,0.0,0.0,1611167400.0
2021-01-13,0.52,0.52,0.52,0.52,0.52,100,1,52.0,100,100.0,0.0,0.0,1610476200.0
2021-01-12,0.5,0.5,0.5,0.5,0.5,400,3,200.0,400,100.0,0.0,0.0,1610389800.0
2021-01-06,0.48,0.48,0.48,0.48,0.48,100,1,48.0,100,100.0,0.0,0.0,1609871400.0
2021-01-04,0.46,0.46,0.46,0.46,0.0,1,1,0.0,1,100.0,0.0,0.0,1609698600.0
2021-01-01,0.44,0.44,0.44,0.44,0.44,100,1,44.0,100,100.0,0.0,0.0,1609439400.0
2020-12-31,0.42,0.42,0.42,0.42,0.42,100,1,42.0,100,100.0,0.0,0.0,1609353000.0
2020-12-11,0.4,0.4,0.4,0.4,0.4,100,1,40.0,100,100.0,0.0,0.0,1607625000.0
2020-12-02,0.39,0.39,0.39,0.39,0.3880597014925373,201,2,78.0,201,100.0,0.0,0.0,1606847400.0
2020-11-19,0.38,0.38,0.38,0.38,0.0,2,1,0.0,2,100.0,0.0,0.0,1605724200.0
2020-11-10,0.38,0.38,0.38,0.38,0.3692307692307692,65,1,24.0,65,100.0,0.0,0.0,1604946600.0
2020-11-03,0.38,0.38,0.38,0.38,0.0,1,1,0.0,1,100.0,0.0,0.0,1604341800.0
2020-10-21,0.38,0.38,0.38,0.38,0.38,100,1,38.0,100,100.0,0.0,0.0,1603218600.0
2020-10-14,0.37,0.37,0.37,0.37,0.37,500,1,185.0,500,100.0,0.0,0.0,1602613800.0
2020-10-12,0.37,0.37,0.37,0.37,0.37,100,1,37.0,100,100.0,0.0,0.0,1602441000.0
2020-09-18,0.36,0.36,0.36,0.36,0.0,1,1,0.0,1,100.0,0.0,0.0,1600367400.0
2020-09-15,0.35,0.35,0.35,0.35,0.35,200,1,70.0,200,100.0,0.0,0.0,1600108200.0
2020-09-11,0.34,0.34,0.34,0.34,0.3363636363636363,110,2,37.0,110,100.0,0.0,0.0,1599762600.0
2020-07-28,0.33,0.33,0.33,0.33,0.33,100,1,33.0,100,100.0,0.0,0.0,1595874600.0
2020-07-27,0.33,0.33,0.33,0.33,0.2666666666666666,15,1,4.0,15,100.0,0.0,0.0,1595788200.0
2020-07-20,0.34,0.34,0.34,0.34,0.3386727688787185,437,2,148.0,437,100.0,0.0,0.0,1595183400.0
2020-05-15,0.35,0.35,0.35,0.35,0.3333333333333333,15,1,5.0,15,100.0,0.0,0.0,1589481000.0
2020-02-18,0.35,0.35,0.35,0.35,0.3497555471981948,2659,4,930.0,2659,100.0,0.0,0.0,1581964200.0
2020-02-10,0.34,0.34,0.34,0.34,0.34,500,1,170.0,500,100.0,0.0,0.0,1581273000.0
2020-02-07,0.32,0.34,0.32,0.34,0.3337931034482758,725,4,242.0,725,100.0,0.02,0.02,1581013800.0
2020-02-05,0.33,0.33,0.33,0.33,0.33,100,3,33.0,100,100.0,0.0,0.0,1580841000.0
2020-01-23,0.34,0.34,0.34,0.34,0.3391304347826086,115,3,39.0,115,100.0,0.0,0.0,1579717800.0
2020-01-09,0.33,0.33,0.33,0.33,0.33,100,1,33.0,100,100.0,0.0,0.0,1578508200.0
2020-01-03,0.34,0.34,0.34,0.34,0.34,100,1,34.0,100,100.0,0.0,0.0,1577989800.0
2019-12-27,0.35,0.35,0.35,0.35,0.35,100,1,35.0,100,100.0,0.0,0.0,1577385000.0
2019-12-23,0.36,0.36,0.36,0.36,0.36,100,1,36.0,100,100.0,0.0,0.0,1577039400.0
2019-11-28,0.37,0.37,0.37,0.37,0.37,100,1,37.0,100,100.0,0.0,0.0,1574879400.0
2019-11-20,0.38,0.38,0.38,0.38,0.38,100,1,38.0,100,100.0,0.0,0.0,1574188200.0
2019-11-19,0.4,0.4,0.4,0.4,0.4,140,1,56.0,140,100.0,0.0,0.0,1574101800.0
2019-10-29,0.42,0.42,0.42,0.42,0.42,100,1,42.0,100,100.0,0.0,0.0,1572287400.0
2019-10-25,0.44,0.44,0.44,0.44,0.4333333333333333,60,1,26.0,60,100.0,0.0,0.0,1571941800.0
2019-10-24,0.46,0.46,0.46,0.46,0.4545454545454545,99,1,45.0,99,100.0,0.0,0.0,1571855400.0
2019-10-18,0.48,0.48,0.48,0.48,0.0,1,1,0.0,1,100.0,0.0,0.0,1571337000.0
2019-10-17,0.5,0.5,0.5,0.5,0.4949494949494949,99,1,49.0,99,100.0,0.0,0.0,1571250600.0
