Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unix Date
2021-04-23,483.75,508.0,474.5,497.15,495.6157180998705,37829,3006,18748647.0,15373.0,40.64,33.5,13.4,1619116200.0
2021-04-22,443.5,510.0,432.0,482.15,475.5895503351035,43121,2625,20507897.0,15603.0,36.18,78.0,38.65,1619029800.0
2021-04-20,458.6,467.45,442.0,443.5,451.4444152085252,7601,725,3431429.0,1892.0,24.89,25.45,-15.1,1618857000.0
2021-04-19,450.0,455.0,445.0,448.3,449.9112384679899,14308,993,6437330.0,6631.0,46.34,10.0,-1.7,1618770600.0
2021-04-16,467.85,473.0,457.05,462.95,466.85950140333495,6057,659,2827768.0,1971.0,32.54,15.95,-4.9,1618511400.0
2021-04-15,473.0,474.95,462.8,464.25,470.3666943521594,2408,337,1132643.0,788.0,32.72,12.15,-8.75,1618425000.0
2021-04-13,464.2,492.25,458.95,473.8,474.50999225406656,6455,651,3062962.0,2177.0,33.73,33.3,9.6,1618252200.0
2021-04-12,484.0,508.0,455.0,458.95,470.76509501537936,23733,1701,11172668.0,14246.0,60.03,53.0,-25.05,1618165800.0
2021-04-09,505.75,507.0,499.05,504.9,502.4368098159509,8965,866,4504346.0,4120.0,45.96,7.95,-0.85,1617906600.0
2021-04-08,524.7,524.7,502.7,506.15,508.10313771063335,3442,256,1748891.0,2744.0,79.72,22.0,-18.55,1617820200.0
2021-04-07,475.0,516.15,475.0,507.9,509.05326704545456,8448,685,4300482.0,4914.0,58.17,41.15,32.9,1617733800.0
2021-04-06,481.0,516.2,481.0,510.95,506.61875785435535,15119,949,7659569.0,8183.0,54.12,35.2,29.95,1617647400.0
2021-04-05,514.4,520.75,480.0,500.45,492.24044389642415,9732,717,4790484.0,5633.0,57.88,40.75,-13.95,1617561000.0
2021-04-01,528.65,537.15,498.8,507.8,518.041242428148,7759,722,4019482.0,4807.0,61.95,38.35,-20.85,1617215400.0
2021-03-31,529.0,532.1,492.15,521.45,514.3419456894279,3793,405,1950899.0,1795.0,47.32,39.95,-7.55,1617129000.0
2021-03-30,530.1,549.95,523.0,525.45,538.3781833264205,12055,632,6490149.0,7219.0,59.88,26.95,-4.65,1617042600.0
2021-03-26,474.45,536.95,467.05,521.1,519.8710650329876,21220,1594,11031664.0,10379.0,48.91,69.9,46.65,1616697000.0
2021-03-25,472.0,472.2,460.0,467.45,464.17675378266847,2908,265,1349826.0,1626.0,55.91,12.2,-4.55,1616610600.0
2021-03-24,487.3,487.3,466.15,470.05,474.9811943253052,3031,255,1439668.0,1938.0,63.94,21.15,-17.25,1616524200.0
2021-03-23,488.1,492.7,481.35,483.1,487.60559796437656,786,101,383258.0,462.0,58.78,11.35,-5.0,1616437800.0
2021-03-22,494.8,494.8,477.75,487.65,488.09537983693536,7727,724,3771513.0,5628.0,72.84,17.05,-7.15,1616351400.0
2021-03-19,473.9,480.0,453.0,475.75,466.4160655244965,13308,944,6207065.0,5593.0,42.03,27.0,1.85,1616092200.0
2021-03-18,484.0,494.25,463.05,479.4,482.16216216216213,7141,460,3443120.0,5040.0,70.58,31.2,-4.6,1616005800.0
2021-03-17,486.55,510.0,483.0,484.55,493.90002792516054,10743,744,5305968.0,6374.0,59.33,27.0,-2.0,1615919400.0
2021-03-16,495.9,495.9,484.15,487.7,487.99196787148594,3237,213,1579630.0,2041.0,63.05,11.75,-8.2,1615833000.0
2021-03-15,485.3,494.45,483.7,485.75,487.8662158898817,4141,326,2020254.0,2003.0,48.37,10.75,0.45,1615746600.0
2021-03-12,498.85,499.4,478.3,480.6,489.46682527094896,11349,807,5554959.0,6286.0,55.39,21.1,-18.25,1615487400.0
2021-03-10,489.9,514.1,481.3,494.1,500.0039134438306,17376,1237,8688068.0,6699.0,38.55,32.8,4.2,1615314600.0
2021-03-09,453.35,489.5,451.55,481.95,477.94639127407754,17236,1381,8237884.0,9305.0,53.99,37.95,28.6,1615228200.0
2021-03-08,471.5,487.0,448.0,452.55,455.384482545948,8107,618,3691802.0,4993.0,61.59,39.0,-18.95,1615141800.0
2021-03-05,465.2,478.7,463.55,464.6,468.3098823529412,4250,454,1990317.0,3104.0,73.04,15.15,-0.6,1614882600.0
2021-03-04,468.1,492.0,466.0,473.35,475.8294564847385,8813,485,4193485.0,5861.0,66.5,26.0,5.25,1614796200.0
2021-03-03,459.1,499.95,453.0,476.85,481.0153949129853,20916,1065,10060918.0,11142.0,53.27,46.95,17.75,1614709800.0
2021-03-02,452.6,465.0,436.05,450.85,452.17895639392447,8164,604,3691589.0,5287.0,64.76,28.95,-1.75,1614623400.0
2021-03-01,404.0,468.0,401.55,449.0,439.326279928078,52835,3138,23211804.0,33415.0,63.24,66.45,45.0,1614537000.0
2021-02-26,355.05,405.0,355.05,398.75,388.9026999916409,35889,1832,13957329.0,25383.0,70.73,49.95,43.7,1614277800.0
2021-02-25,383.65,386.55,365.4,371.15,370.38975817923193,2109,226,781152.0,1130.0,53.58,21.15,-12.5,1614191400.0
2021-02-24,373.0,379.95,365.0,373.8,373.6699272636067,7974,637,2979644.0,6911.0,86.67,14.95,0.8,1614105000.0
2021-02-23,384.0,384.0,367.15,371.9,374.6182305630026,3730,383,1397326.0,2324.0,62.31,16.85,-12.1,1614018600.0
2021-02-22,375.0,379.0,368.5,371.55,376.0100229693047,4789,178,1800712.0,4260.0,88.95,10.5,-3.45,1613932200.0
2021-02-19,381.5,402.0,367.0,370.5,380.14897773147544,38395,1766,14595820.0,29288.0,76.28,35.0,-11.0,1613673000.0
2021-02-18,374.0,384.0,373.0,383.55,381.2244818146265,5114,272,1949582.0,3746.0,73.25,11.0,9.55,1613586600.0
