Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unix Date,Dividend Value,% Return of Company,Close Price of SP500,% Return of SP500,Beta,Rate,% YTD of Company,% YTD of SP500,Alpha,Lower Band,Upper Band,Band Area,Revenue,Income,Expenditure,Net Profit,EPS,year,Revenue last 2 quarters,Income last 2 quarters,Expenditure  last 2 quarters,Net Profit  last 2 quarters,EPS last 2 quarters,Revenue last 4 quarters,Income last 4 quarters,Expenditure  last 4 quarters,Net Profit  last 4 quarters,EPS last 4 quarters,Revenue last 8 quarters,Income last 8 quarters,Expenditure  last 8 quarters,Net Profit  last 8 quarters,EPS last 8 quarters,p/e,Next Day Open Price,Next Day High Price,Next Day Low Price,Next Day Close Price
2021-03-12,336.9,339.68,334.0,335.77,336.8176510067114,29800,131,10037166.0,20200,67.79,5.68,-1.13,1615487400.0,0,,,,0.6358880180577129,0.04,-6.453822557107536,,,314.1,479.97,165.87,,,,,,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
2021-03-10,335.0,336.2,330.0,334.04,333.7295744680852,18800,85,6274116.0,9200,48.94,6.2,-0.96,1615314600.0,0,-0.515233642076407,,,0.6358880180577129,0.04,-5.969344988624115,,,314.1,479.97,165.87,,,,,,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,336.9,339.68,334.0,335.77
2021-03-09,329.99,336.4,329.99,334.61,332.36506849315066,14600,65,4852530.0,9400,64.38,6.41,4.62,1615228200.0,0,0.1706382469165435,,,0.6346671777523232,0.05,-6.1295239233734815,,,314.1,479.97,165.87,,,,,,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,335.0,336.2,330.0,334.04
2021-03-08,327.5,331.89,326.97,329.66,329.9915277777778,14400,65,4751878.0,8600,59.72,4.92,2.16,1615141800.0,0,-1.4793341502047141,,,0.6333576481348081,0.05,-4.720014560456232,,,314.1,479.97,165.87,,,,,,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,329.99,336.4,329.99,334.61
2021-03-05,326.8,329.23,322.15,325.21,324.76549295774646,14200,64,4611670.0,10400,73.24,7.08,-1.59,1614882600.0,0,-1.3498756294364034,,,0.6328395281062916,0.04,-3.416254112727146,,,314.1,479.97,165.87,,,,,,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,327.5,331.89,326.97,329.66
2021-03-04,325.0,330.98,323.0,329.53,325.5812213740458,26200,120,8530228.0,17400,66.41,7.98,4.53,1614796200.0,0,1.3283724362719518,,,0.6321892597580825,0.04,-4.682426486207614,,,314.1,479.97,165.87,,,,,,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,326.8,329.23,322.15,325.21
2021-03-03,328.4,331.0,323.0,326.33,327.6075714285715,28000,132,9173012.0,17800,63.57,8.0,-2.07,1614709800.0,0,-0.9710800230631422,,,0.631498113681642,0.05,-3.7477400177734044,,,314.1,479.97,165.87,,,,,,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,325.0,330.98,323.0,329.53
2021-03-02,329.0,335.6,329.0,330.14,331.82539267015704,38200,163,12675730.0,24000,62.83,6.6,1.14,1614623400.0,0,1.1675298011215585,,,0.6305228940405759,0.04,-4.858544859756453,,,314.1,479.97,165.87,,,,,,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,328.4,331.0,323.0,326.33
2021-03-01,322.0,329.59,319.0,328.24,323.95396551724133,34800,145,11273598.0,25000,71.84,10.59,6.24,1614537000.0,0,-0.5755134185497002,,,0.6296848775643877,0.05,-4.3078235437484675,,,314.1,479.97,165.87,,,,,,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,329.0,335.6,329.0,330.14
2021-02-26,321.0,326.79,318.51,321.41,321.0639100346021,57800,242,18557494.0,44800,77.51,8.28,0.41,1614277800.0,0,-2.0807945405800554,19371.25,-3.0984485246852933,0.6284827071373391,0.04,-2.274353629320802,0.0,-2.289214321035309,314.1,479.97,165.87,,,,,,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,322.0,329.59,319.0,328.24
