Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unix Date,Dividend Value,% Return of Company,Close Price of SP500,% Return of SP500,Beta,Rate,% YTD of Company,% YTD of SP500,Alpha,Lower Band,Upper Band,Band Area,Revenue,Income,Expenditure,Net Profit,EPS,year,Revenue last 2 quarters,Income last 2 quarters,Expenditure  last 2 quarters,Net Profit  last 2 quarters,EPS last 2 quarters,Revenue last 4 quarters,Income last 4 quarters,Expenditure  last 4 quarters,Net Profit  last 4 quarters,EPS last 4 quarters,Revenue last 8 quarters,Income last 8 quarters,Expenditure  last 8 quarters,Net Profit  last 8 quarters,EPS last 8 quarters,p/e,Next Day Open Price,Next Day High Price,Next Day Low Price,Next Day Close Price
2021-03-12,6799.0,6847.65,6613.85,6640.15,6703.317809088026,22073,3432,147962334.0,6757.0,30.61,233.8,-158.85,1615487400.0,0.0,,,,0.49114477071285756,0.04,-86.46039622598887,,,259.85,6810.25,6550.4,,,,,,2021,30976.4,31512.699999999997,-5375.4,5478.9,44.01,61516.700000000004,45816.9,-10426.099999999999,9504.4,76.35,132226.7,62814.79999999999,-22374.5,21246.0,170.67,,,,,
2021-03-10,6735.0,6786.5,6688.1,6767.15,6749.22514423722,14906,1948,100603950.0,2385.0,16.0,98.4,32.15,1615314600.0,0.0,1.912607395917254,,,0.49114477071285756,0.04,-86.71449576261794,,,259.85,6810.25,6550.4,,,,,,2021,30976.4,31512.699999999997,-5375.4,5478.9,44.01,61516.700000000004,45816.9,-10426.099999999999,9504.4,76.35,132226.7,62814.79999999999,-22374.5,21246.0,170.67,,6799.0,6847.65,6613.85,6640.15
2021-03-09,6779.7,6820.0,6660.0,6696.25,6743.186280063863,19417,2642,130932448.0,3482.0,17.93,160.0,-83.45,1615228200.0,0.0,-1.0477084149161708,,,0.4911435125430785,0.05,-86.57382863543029,,,259.85,6810.25,6550.4,,,,,,2021,30976.4,31512.699999999997,-5375.4,5478.9,44.01,61516.700000000004,45816.9,-10426.099999999999,9504.4,76.35,132226.7,62814.79999999999,-22374.5,21246.0,170.67,,6735.0,6786.5,6688.1,6767.15
2021-03-08,6809.0,6848.9,6636.0,6658.9,6702.053790231748,29299,3176,196363474.0,4917.0,16.78,212.9,-150.1,1615141800.0,0.0,-0.5577748739966415,,,0.49103616249265875,0.05,-86.49852077670485,,,259.85,6810.25,6550.4,,,,,,2021,30976.4,31512.699999999997,-5375.4,5478.9,44.01,61516.700000000004,45816.9,-10426.099999999999,9504.4,76.35,132226.7,62814.79999999999,-22374.5,21246.0,170.67,,6779.7,6820.0,6660.0,6696.25
2021-03-05,6700.0,6945.7,6686.6,6810.25,6874.638483335349,115754,10647,795766903.0,51106.0,44.15,259.1,110.25,1614882600.0,0.0,2.2728979260838944,,,0.4909005119211993,0.04,-86.79857567637018,,,259.85,6810.25,6550.4,,,,,,2021,30976.4,31512.699999999997,-5375.4,5478.9,44.01,61516.700000000004,45816.9,-10426.099999999999,9504.4,76.35,132226.7,62814.79999999999,-22374.5,21246.0,170.67,,6809.0,6848.9,6636.0,6658.9
2021-03-04,6405.1,6830.4,6397.55,6776.5,6559.17418532628,72974,5109,478649177.0,42293.0,57.96,432.85,371.4,1614796200.0,0.0,-0.49557652068573654,,,0.4909574577582602,0.04,-86.73282668043976,,,259.85,6776.5,6516.65,,,,,,2021,30976.4,31512.699999999997,-5375.4,5478.9,44.01,61516.700000000004,45816.9,-10426.099999999999,9504.4,76.35,132226.7,62814.79999999999,-22374.5,21246.0,170.67,,6700.0,6945.7,6686.6,6810.25
2021-03-03,6420.05,6536.25,6420.05,6499.5,6503.33048462741,19190,2165,124798912.0,3907.0,20.36,116.2,79.45,1614709800.0,0.0,-4.087655869549178,,,0.4908194354941725,0.05,-86.16739749211477,,,259.85,6499.5,6239.65,,,,,,2021,30976.4,31512.699999999997,-5375.4,5478.9,44.01,61516.700000000004,45816.9,-10426.099999999999,9504.4,76.35,132226.7,62814.79999999999,-22374.5,21246.0,170.67,,6405.1,6830.4,6397.55,6776.5
2021-03-02,6390.0,6473.2,5727.9,6420.05,6407.494918699187,12792,2033,81964675.0,1854.0,14.49,745.3,30.05,1614623400.0,0.0,-1.2224017232094764,,,0.4912948671317485,0.04,-85.99621498274935,,,259.85,6457.7,6197.849999999999,,,,,,2021,30976.4,31512.699999999997,-5375.4,5478.9,44.01,61516.700000000004,45816.9,-10426.099999999999,9504.4,76.35,132226.7,62814.79999999999,-22374.5,21246.0,170.67,,6420.05,6536.25,6420.05,6499.5
2021-03-01,6200.4,6388.0,6200.4,6362.45,6300.253623554367,19801,3560,124751322.0,2507.0,12.66,187.6,162.05,1614537000.0,0.0,-0.8971892742268395,,,0.49120195768893904,0.05,-85.86943708791425,,,259.85,6457.7,6197.849999999999,,,,,,2021,30976.4,31512.699999999997,-5375.4,5478.9,44.01,61516.700000000004,45816.9,-10426.099999999999,9504.4,76.35,132226.7,62814.79999999999,-22374.5,21246.0,170.67,,6390.0,6473.2,5727.9,6420.05
2021-02-26,6380.0,6487.4,6065.55,6114.6,6319.485004037374,34676,5859,219134462.0,6886.0,19.86,421.85,-265.4,1614277800.0,0.0,-3.8955119490133416,19371.25,-3.0984485246852933,0.49108385043258057,0.04,-85.29666699375265,0.0,-85.31702363973535,259.85,6457.7,6197.849999999999,,,,,,2021,30976.4,31512.699999999997,-5375.4,5478.9,44.01,61516.700000000004,45816.9,-10426.099999999999,9504.4,76.35,132226.7,62814.79999999999,-22374.5,21246.0,170.67,,6200.4,6388.0,6200.4,6362.45
2021-02-25,6440.0,6466.0,6301.0,6400.75,6418.24486882995,55348,2880,355237017.0,44571.0,80.53,165.0,-39.25,1614191400.0,0.0,4.679782814902023,19990.65,0.8979575767914971,0.4908842674195926,0.04,-85.95398976682421,-3.0984485246852933,-84.45337476194996,259.85,6457.7,6197.849999999999,,,,,,2021,30976.4,31512.699999999997,-5375.4,5478.9,44.01,61516.700000000004,45816.9,-10426.099999999999,9504.4,76.35,132226.7,62814.79999999999,-22374.5,21246.0,170.67,,6380.0,6487.4,6065.55,6114.6
2021-02-24,6302.0,6474.0,6128.8,6416.0,6278.902718906635,62047,6136,389587077.0,28011.0,45.14,345.2,114.0,1614105000.0,0.0,0.2382533296879208,19812.74,1.5785825466909875,0.4916751977877873,0.03,-85.9873753117207,-2.2283137011841925,-84.90701847602409,259.85,6457.7,6197.849999999999,,,,,,2021,30976.4,31512.699999999997,-5375.4,5478.9,44.01,61516.700000000004,45816.9,-10426.099999999999,9504.4,76.35,132226.7,62814.79999999999,-22374.5,21246.0,170.67,,6440.0,6466.0,6301.0,6400.75
2021-02-23,6227.7,6348.95,6133.55,6268.1,6247.209227780475,10295,1880,64315019.0,1639.0,15.92,215.4,40.4,1614018600.0,0.0,-2.305174563591017,19504.84,0.4426102624815353,0.4914959390615928,0.04,-85.65673808650149,-0.6849069256656293,-85.34044927633921,259.85,6457.7,6197.849999999999,,,,,,2021,30976.4,31512.699999999997,-5375.4,5478.9,44.01,61516.700000000004,45816.9,-10426.099999999999,9504.4,76.35,132226.7,62814.79999999999,-22374.5,21246.0,170.67,,6302.0,6474.0,6128.8,6416.0
2021-02-22,6220.0,6280.0,6109.35,6174.75,6199.045038319895,20094,3811,124563611.0,5398.0,26.86,170.65,-45.25,1613932200.0,0.0,-1.4892870247762535,19418.89,-1.8130731584980355,0.4916794693909238,0.03,-85.43989635207903,-0.2453281315255351,-85.33452316246216,259.85,6457.7,6197.849999999999,,,,,,2021,30976.4,31512.699999999997,-5375.4,5478.9,44.01,61516.700000000004,45816.9,-10426.099999999999,9504.4,76.35,132226.7,62814.79999999999,-22374.5,21246.0,170.67,,6227.7,6348.95,6133.55,6268.1
2021-02-19,6315.0,6316.05,6179.2,6207.4,6244.4567818028645,11870,2236,74121702.0,2805.0,23.63,136.85,-107.6,1613673000.0,0.0,0.5287663468156456,19777.47,-1.0404590148513249,0.49149180546639487,0.04,-85.5164803299288,-2.05395331152064,-84.52731943628719,259.85,6457.7,6197.849999999999,,,,,,2021,30976.4,31512.699999999997,-5375.4,5478.9,44.01,61516.700000000004,45816.9,-10426.099999999999,9504.4,76.35,132226.7,62814.79999999999,-22374.5,21246.0,170.67,,6220.0,6280.0,6109.35,6174.75
2021-02-18,6458.0,6479.0,6300.1,6325.2,6369.261703938714,12923,2373,82309969.0,3428.0,26.53,178.9,-132.8,1613586600.0,0.0,1.8977349614975658,19985.41,-0.2373588326437969,0.4914125062676483,0.03,-85.78622019857079,-3.073041783981412,-84.29134665845125,259.85,6457.7,6197.849999999999,,,,,,2021,30976.4,31512.699999999997,-5375.4,5478.9,44.01,61516.700000000004,45816.9,-10426.099999999999,9504.4,76.35,132226.7,62814.79999999999,-22374.5,21246.0,170.67,,6315.0,6316.05,6179.2,6207.4
2021-02-17,6470.0,6544.1,6395.0,6419.8,6455.050298979952,11372,2189,73406832.0,2162.0,19.01,149.1,-50.2,1613500200.0,0.0,1.495604882059065,20032.96,-0.3714011191765953,0.49154923980294374,0.04,-85.9956696470295,-3.3031064805201016,-84.39236819794955,259.85,6457.7,6197.849999999999,,,,,,2021,30976.4,31512.699999999997,-5375.4,5478.9,44.01,61516.700000000004,45816.9,-10426.099999999999,9504.4,76.35,132226.7,62814.79999999999,-22374.5,21246.0,170.67,,6458.0,6479.0,6300.1,6325.2
2021-02-16,6445.0,6549.95,6410.05,6457.7,6497.286706094112,27223,3718,176875636.0,7568.0,27.8,139.9,12.7,1613413800.0,0.0,0.5903610704383278,20107.64,0.1120231175884223,0.4916255579064299,0.04,-86.07786053858185,-3.662239825260449,-84.29774481898477,259.85,6457.7,6197.849999999999,,,,,,2021,30976.4,31512.699999999997,-5375.4,5478.9,44.01,61516.700000000004,45816.9,-10426.099999999999,9504.4,76.35,132226.7,62814.79999999999,-22374.5,21246.0,170.67,,6470.0,6544.1,6395.0,6419.8
2021-02-15,6465.0,6465.0,6385.0,6408.2,6420.722952370938,9511,1870,61067496.0,2894.0,30.43,80.0,-56.8,1613327400.0,0.0,-0.7665267819812027,20085.14,0.9895752936520896,0.4916403581646877,,-85.97031927842453,-3.5543192628978426,,259.85,6433.1,6173.25,,,,,,2021,30976.4,31512.699999999997,-5375.4,5478.9,44.01,61516.700000000004,45816.9,-10426.099999999999,9504.4,76.35,132226.7,62814.79999999999,-22374.5,21246.0,170.67,,6445.0,6549.95,6410.05,6457.7
2021-02-12,6465.0,6476.45,6367.3,6399.8,6422.363372272699,16179,2368,103907417.0,2952.0,18.25,109.15,-65.2,1613068200.0,0.0,-0.131082051121989,19888.33,-0.0337269992922828,0.4915914515359145,0.04,-85.95190474702335,-2.599916634528898,-84.69414429672148,259.85,6433.1,6173.25,,,,,,2021,30976.4,31512.699999999997,-5375.4,5478.9,44.01,61516.700000000004,45816.9,-10426.099999999999,9504.4,76.35,132226.7,62814.79999999999,-22374.5,21246.0,170.67,,6465.0,6465.0,6385.0,6408.2
2021-02-11,6395.05,6465.75,6371.0,6433.1,6426.667083776513,15983,2459,102717420.0,2501.0,15.65,94.75,38.05,1612981800.0,0.0,0.5203287602737694,19895.04,0.4775134352735577,0.49159127902105604,0.05,-86.02462265470768,-2.632766759956251,-84.75579791186561,259.85,6433.1,6173.25,,,,,,2021,30976.4,31512.699999999997,-5375.4,5478.9,44.01,61516.700000000004,45816.9,-10426.099999999999,9504.4,76.35,132226.7,62814.79999999999,-22374.5,21246.0,170.67,,6465.0,6476.45,6367.3,6399.8
2021-02-10,6423.3,6586.05,6324.8,6392.8,6456.832884239447,37854,4934,244416952.0,4022.0,10.62,261.25,-30.5,1612895400.0,0.0,-0.6264475913634215,19800.49,0.1806242312718753,0.4915887790036643,0.05,-85.93652233762982,-2.16782513968089,-84.89626438517047,259.85,6417.6,6157.75,,,,,,2021,30976.4,31512.699999999997,-5375.4,5478.9,44.01,61516.700000000004,45816.9,-10426.099999999999,9504.4,76.35,132226.7,62814.79999999999,-22374.5,21246.0,170.67,,6395.05,6465.75,6371.0,6433.1
