Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unix Date,Dividend Value,% Return of Company,Close Price of SP500,% Return of SP500,Beta,Rate,% YTD of Company,% YTD of SP500,Alpha,Lower Band,Upper Band,Band Area,Revenue,Income,Expenditure,Net Profit,EPS,year,Revenue last 2 quarters,Income last 2 quarters,Expenditure  last 2 quarters,Net Profit  last 2 quarters,EPS last 2 quarters,Revenue last 4 quarters,Income last 4 quarters,Expenditure  last 4 quarters,Net Profit  last 4 quarters,EPS last 4 quarters,Revenue last 8 quarters,Income last 8 quarters,Expenditure  last 8 quarters,Net Profit  last 8 quarters,EPS last 8 quarters,p/e,Next Day Open Price,Next Day High Price,Next Day Low Price,Next Day Close Price,Open Price GR,High Price GR,Low Price GR,Close Price GR,Next Day Open Price GR,Next Day High Price GR,Next Day Low Price GR,Next Day Close Price GR,WAP GR,No.of Shares GR,No. of Trades GR,Total Turnover (Rs.) GR,Deliverable Quantity GR,% Deli. Qty to Traded Qty GR,Spread High-Low GR,Spread Close-Open GR,Alpha GR,Beta GR,Sequential Increase,Sequential Decrease,Sequential Increase %,Sequential Decrease %,Max Inc % in 90 days,Max Dec % in 90 days,Min Inc % in 90 days,Min Dec % in 90 days,Avg Inc % in 90 days,Avg Dec % in 90 days,Max Inc % in 180 days,Max Dec % in 180 days,Min Inc % in 180 days,Min Dec % in 180 days,Avg Inc % in 180 days,Avg Dec % in 180 days,Max Inc % in 365 days,Max Dec % in 365 days,Min Inc % in 365 days,Min Dec % in 365 days,Avg Inc % in 365 days,Avg Dec % in 365 days,Revenue GR,Dividend Value GR,Income GR,Expenditure GR,Net Profit GR,EPS GR,CP % LV 7 days,CP % HV 7 days,CP % BA 7 days,CP % LV 30 days,CP % HV 30 days,CP % BA 30 days,CP % LV 90 days,CP % HV 90 days,CP % BA 90 days,CP % LV 180 days,CP % HV 180 days,CP % BA 180 days,CP % LV 365 days,CP % HV 365 days,CP % BA 365 days
2021-03-12,144.1,146.55,143.0,144.0,145.1711915535445,3978.0,134.0,577491.0,3306.0,83.11,3.55,-0.1,1615487400.0,1.0,,,,0.0064618914701775,0.04,9756.881944444443,,,51.25,15136.6,15085.35,,,,,,2021,365.65,235.05,-97.58,106.9,5.890000000000001,795.89,665.29,-153.28,310.27,17.11,1501.49,1370.89,-675.05,464.26,25.6,,,,,,,,,,,,,,,,,,,,,,,,1,0,0.02096659559346139,-0.020536025060912056,0.02096659559346139,-0.020536025060912056,0.02096659559346139,-0.020536025060912056,0.02096659559346139,-0.020536025060912056,0.02096659559346139,-0.020536025060912056,0.02096659559346139,-0.020536025060912056,0.02096659559346139,-0.020536025060912056,0.02096659559346139,-0.020536025060912056,0.02096659559346139,-0.020536025060912056,0.02096659559346139,-0.020536025060912056,0,0,0,0,0,0,1.0,1.0,inf,1.0,1.0,inf,1.0,1.0,inf,1.0,1.0,inf,1.0,1.0,inf
2021-03-10,135.0,144.05,135.0,143.65,142.12994950837094,3763.0,170.0,534835.0,2655.0,70.56,9.05,8.65,1615314600.0,1.0,-0.2430555555555491,,,0.0064618914701775,0.04,9780.898016011137,,,51.25,15136.6,15085.35,,,,,,2021,365.65,235.05,-97.58,106.9,5.890000000000001,795.89,665.29,-153.28,310.27,17.11,1501.49,1370.89,-675.05,464.26,25.6,,144.1,146.55,143.0,144.0,-0.06315058986814709,-0.017059024223814397,-0.055944055944055944,-0.002430555555555516,,,,,-0.020949349610124533,-0.05404725992961287,0.26865671641791045,-0.07386435459600237,-0.1969147005444646,-0.15100469257610394,1.5492957746478877,-87.5,,0.0,0,3,-0.02865032792544015,0.05756929637526669,0.02096659559346139,-0.020536025060912056,0.02096659559346139,-0.020536025060912056,0.02096659559346139,-0.020536025060912056,0.02096659559346139,-0.020536025060912056,0.02096659559346139,-0.020536025060912056,0.02096659559346139,-0.020536025060912056,0.02096659559346139,-0.020536025060912056,0.02096659559346139,-0.020536025060912056,0.02096659559346139,-0.020536025060912056,0,0,0,0,0,0,1.0,0.9975694444444445,410.4285714285781,1.0,0.9975694444444445,410.4285714285781,1.0,0.9975694444444445,410.4285714285781,1.0,0.9975694444444445,410.4285714285781,1.0,0.9975694444444445,410.4285714285781
2021-03-09,144.5,146.0,139.6,140.7,140.75959165357864,8914.0,472.0,1254731.0,6731.0,75.51,6.4,-3.8,1615228200.0,1.0,-2.053602506091201,,,0.00645939630209,0.05,9988.066808813075,,,51.25,15136.6,15085.35,,,,,,2021,365.65,235.05,-97.58,106.9,5.890000000000001,795.89,665.29,-153.28,310.27,17.11,1501.49,1370.89,-675.05,464.26,25.6,,135.0,144.05,135.0,143.65,0.07037037037037037,0.013536966331134943,0.034074074074074034,-0.020536025060912056,-0.06315058986814709,-0.017059024223814397,-0.055944055944055944,-0.002430555555555516,-0.009641584054116574,1.3688546372575072,1.776470588235294,1.3460151261604045,1.535216572504708,0.07015306122448983,-0.2928176795580111,-1.4393063583815027,,-0.00038613587043607593,0,2,-0.011600136472193906,0.027269589230238298,0.02096659559346139,-0.020536025060912056,0.02096659559346139,-0.020536025060912056,0.02096659559346139,-0.020536025060912056,0.02096659559346139,-0.020536025060912056,0.02096659559346139,-0.020536025060912056,0.02096659559346139,-0.020536025060912056,0.02096659559346139,-0.020536025060912056,0.02096659559346139,-0.020536025060912056,0.02096659559346139,-0.020536025060912056,0,0,0,0,0,0,1.0,0.9770833333333333,42.636363636363484,1.0,0.9770833333333333,42.636363636363484,1.0,0.9770833333333333,42.636363636363484,1.0,0.9770833333333333,42.636363636363484,1.0,0.9770833333333333,42.636363636363484
2021-03-08,148.0,149.1,144.5,144.85,145.8946657663741,1481.0,35.0,216070.0,1446.0,97.64,4.6,-3.15,1615141800.0,1.0,2.9495380241648883,,,0.0064569377905172,0.05,9699.040386606835,,,51.25,15136.6,15085.35,,,,,,2021,365.65,235.05,-97.58,106.9,5.890000000000001,795.89,665.29,-153.28,310.27,17.11,1501.49,1370.89,-675.05,464.26,25.6,,144.5,146.0,139.6,140.7,0.02422145328719723,0.02123287671232873,0.03510028653295133,0.029495380241648942,0.07037037037037037,0.013536966331134943,0.034074074074074034,-0.020536025060912056,0.03648116659384254,-0.8338568543863586,-0.9258474576271186,-0.8277957586128023,-0.7851730797801219,0.29307376506422983,-0.2812500000000001,-0.17105263157894735,,-0.000380610115531167,0,1,-0.015120967741935483,0.015353121801432957,0.02096659559346139,-0.020536025060912056,0.02096659559346139,-0.020536025060912056,0.02096659559346139,-0.020536025060912056,0.02096659559346139,-0.020536025060912056,0.02096659559346139,-0.020536025060912056,0.02096659559346139,-0.020536025060912056,0.02096659559346139,-0.020536025060912056,0.02096659559346139,-0.020536025060912056,0.02096659559346139,-0.020536025060912056,0,0,0,0,0,0,1.0294953802416489,1.0,34.903614457831274,1.0294953802416489,1.0,34.903614457831274,1.0294953802416489,1.0,34.903614457831274,1.0294953802416489,1.0,34.903614457831274,1.0294953802416489,1.0,34.903614457831274
2021-03-05,148.5,148.5,146.0,146.55,147.58200455580865,1756.0,89.0,259154.0,1530.0,87.13,2.5,-1.95,1614882600.0,1.0,1.173627890921658,,,0.0064544740572956,0.04,9585.370180825656,,,51.25,15136.6,15085.35,,,,,,2021,365.65,235.05,-97.58,106.9,5.890000000000001,795.89,665.29,-153.28,310.27,17.11,1501.49,1370.89,-675.05,464.26,25.6,,148.0,149.1,144.5,144.85,0.0033783783783783786,-0.004024144869215254,0.010380622837370242,0.011736278909216549,0.02422145328719723,0.02123287671232873,0.03510028653295133,0.029495380241648942,0.01156545909729526,0.18568534773801484,1.542857142857143,0.19939834312954136,0.058091286307053944,-0.10764031134780833,-0.45652173913043476,-0.38095238095238093,,-0.0003815637228561098,1,0,0.008813559322033976,-0.008736559139785022,0.02096659559346139,-0.008736559139785022,0.008813559322033976,-0.020536025060912056,0.014890077457747682,-0.014636292100348539,0.02096659559346139,-0.008736559139785022,0.008813559322033976,-0.020536025060912056,0.014890077457747682,-0.014636292100348539,0.02096659559346139,-0.008736559139785022,0.008813559322033976,-0.020536025060912056,0.014890077457747682,-0.014636292100348539,0,0,0,0,0,0,1.0415778251599148,1.0,25.051282051281955,1.0415778251599148,1.0,25.051282051281955,1.0415778251599148,1.0,25.051282051281955,1.0415778251599148,1.0,25.051282051281955,1.0415778251599148,1.0,25.051282051281955
2021-03-04,144.55,149.0,144.55,148.8,148.04768454837227,4362.0,226.0,645784.0,2602.0,59.65,4.45,4.25,1614796200.0,1.0,1.535312180143289,,,0.0064519776908251,0.04,9438.918010752686,,,51.25,15136.6,15085.35,,,,,,2021,365.65,235.05,-97.58,106.9,5.890000000000001,795.89,665.29,-153.28,310.27,17.11,1501.49,1370.89,-675.05,464.26,25.6,,148.5,148.5,146.0,146.55,-0.026599326599326522,0.003367003367003367,-0.009931506849314991,0.015353121801432957,0.0033783783783783786,-0.004024144869215254,0.010380622837370242,0.011736278909216549,0.003155398207018686,1.4840546697038723,1.5393258426966292,1.4918928513547929,0.7006535947712418,-0.3153907953632503,0.78,-3.1794871794871797,,-0.00038676528069368625,0,4,-0.015353805073431316,0.049491525423728894,0.02096659559346139,-0.008736559139785022,0.008813559322033976,-0.020536025060912056,0.014890077457747682,-0.014636292100348539,0.02096659559346139,-0.008736559139785022,0.008813559322033976,-0.020536025060912056,0.014890077457747682,-0.014636292100348539,0.02096659559346139,-0.008736559139785022,0.008813559322033976,-0.020536025060912056,0.014890077457747682,-0.014636292100348539,0,0,0,0,0,0,1.0575692963752668,1.0,18.37037037037032,1.0575692963752668,1.0,18.37037037037032,1.0575692963752668,1.0,18.37037037037032,1.0575692963752668,1.0,18.37037037037032,1.0575692963752668,1.0,18.37037037037032
2021-03-03,151.05,151.3,146.0,147.5,147.78540145985403,6165.0,295.0,911097.0,4818.0,78.15,5.3,-3.55,1614709800.0,1.0,-0.8736559139784994,,,0.0064494848941776,0.05,9522.989830508475,,,51.25,15136.6,15085.35,,,,,,2021,365.65,235.05,-97.58,106.9,5.890000000000001,795.89,665.29,-153.28,310.27,17.11,1501.49,1370.89,-675.05,464.26,25.6,,144.55,149.0,144.55,148.8,0.04496713939813213,0.015436241610738331,0.010031131096506319,-0.008736559139785022,-0.026599326599326522,0.003367003367003367,-0.009931506849314991,0.015353121801432957,-0.0017716122296566436,0.41334250343878953,0.3053097345132743,0.41083860857500343,0.851652574942352,0.3101424979044427,0.1910112359550561,-1.8352941176470587,,-0.0003863616346727773,0,3,-0.006301824212271898,0.03337783711615487,0.02096659559346139,-0.008736559139785022,0.008813559322033976,-0.020536025060912056,0.014890077457747682,-0.014636292100348539,0.02096659559346139,-0.008736559139785022,0.008813559322033976,-0.020536025060912056,0.014890077457747682,-0.014636292100348539,0.02096659559346139,-0.008736559139785022,0.008813559322033976,-0.020536025060912056,0.014890077457747682,-0.014636292100348539,0,0,0,0,0,0,1.0483297796730633,0.991263440860215,18.209876543209827,1.0483297796730633,0.991263440860215,18.209876543209827,1.0483297796730633,0.991263440860215,18.209876543209827,1.0483297796730633,0.991263440860215,18.209876543209827,1.0483297796730633,0.991263440860215,18.209876543209827
2021-03-02,150.95,152.3,148.1,149.8,150.18797121315964,5836.0,251.0,876497.0,4748.0,81.36,4.2,-1.15,1614623400.0,1.0,1.5593220338983027,,,0.0064469979549602,0.04,9375.240320427236,,,51.25,15136.6,15085.35,,,,,,2021,365.65,235.05,-97.58,106.9,5.890000000000001,795.89,665.29,-153.28,310.27,17.11,1501.49,1370.89,-675.05,464.26,25.6,,151.05,151.3,146.0,147.5,-0.0006620324395896904,0.006609385327164573,0.014383561643835578,0.015593220338983128,0.04496713939813213,0.015436241610738331,0.010031131096506319,-0.008736559139785022,0.016257152124448993,-0.05336577453365775,-0.14915254237288136,-0.03797619792404102,-0.014528850145288501,0.04107485604606518,-0.20754716981132068,-0.676056338028169,,-0.0003856027664543405,0,2,-0.016954678839256568,0.02686567164179112,0.02096659559346139,-0.008736559139785022,0.008813559322033976,-0.020536025060912056,0.014890077457747682,-0.014636292100348539,0.02096659559346139,-0.008736559139785022,0.008813559322033976,-0.020536025060912056,0.014890077457747682,-0.014636292100348539,0.02096659559346139,-0.008736559139785022,0.008813559322033976,-0.020536025060912056,0.014890077457747682,-0.014636292100348539,0,0,0,0,0,0,1.0646766169154231,1.0,16.46153846153842,1.0646766169154231,1.0,16.46153846153842,1.0646766169154231,1.0,16.46153846153842,1.0646766169154231,1.0,16.46153846153842,1.0646766169154231,1.0,16.46153846153842
2021-03-01,153.0,153.9,150.7,150.75,151.4905017048222,2053.0,51.0,311010.0,1637.0,79.74,3.2,-2.25,1614537000.0,1.0,0.6341789052069391,,,0.0064445054372116,0.05,9315.529021558872,,,51.25,15136.6,15085.35,,,,,,2021,365.65,235.05,-97.58,106.9,5.890000000000001,795.89,665.29,-153.28,310.27,17.11,1501.49,1370.89,-675.05,464.26,25.6,,150.95,152.3,148.1,149.8,0.013580655846306801,0.010505581089954,0.017555705604321365,0.006341789052069349,-0.0006620324395896904,0.006609385327164573,0.014383561643835578,0.015593220338983128,0.008672668530916519,-0.6482179575051406,-0.796812749003984,-0.6451670684554539,-0.655223251895535,-0.019911504424778816,-0.23809523809523808,0.9565217391304349,,-0.00038661680459851005,0,1,-0.009366925064599593,0.009455493968047063,0.02096659559346139,-0.008736559139785022,0.008813559322033976,-0.020536025060912056,0.014890077457747682,-0.014636292100348539,0.02096659559346139,-0.008736559139785022,0.008813559322033976,-0.020536025060912056,0.014890077457747682,-0.014636292100348539,0.02096659559346139,-0.008736559139785022,0.008813559322033976,-0.020536025060912056,0.014890077457747682,-0.014636292100348539,0,0,0,0,0,0,1.0714285714285716,1.0,14.999999999999982,1.0714285714285716,1.0,14.999999999999982,1.0714285714285716,1.0,14.999999999999982,1.0714285714285716,1.0,14.999999999999982,1.0714285714285716,1.0,14.999999999999982
2021-02-26,153.0,154.6,152.45,153.35,153.35332893869474,1517.0,105.0,232637.0,1096.0,72.25,2.15,0.35,1614277800.0,1.0,1.7247097844112824,19371.25,-3.0984485246852933,0.0064420066594575,0.04,9155.891750896642,0.0,9155.852008576909,51.25,15136.6,15085.35,,,,,,2021,365.65,235.05,-97.58,106.9,5.890000000000001,795.89,665.29,-153.28,310.27,17.11,1501.49,1370.89,-675.05,464.26,25.6,,153.0,153.9,150.7,150.75,0.0,0.004548408057179913,0.011612475116124753,0.01724709784411273,0.013580655846306801,0.010505581089954,0.017555705604321365,0.006341789052069349,0.012296660271825079,-0.2610813443740867,1.0588235294117647,-0.25199511269734093,-0.3304825901038485,-0.0939302733885126,-0.32812500000000006,-1.1555555555555557,,-0.00038773770593342687,2,0,0.02009884678747948,-0.011627906976744259,0.02096659559346139,-0.008736559139785022,0.008813559322033976,-0.020536025060912056,0.014890077457747682,-0.013633497059147112,0.02096659559346139,-0.008736559139785022,0.008813559322033976,-0.020536025060912056,0.014890077457747682,-0.013633497059147112,0.02096659559346139,-0.008736559139785022,0.008813559322033976,-0.020536025060912056,0.014890077457747682,-0.013633497059147112,0,0,0,0,0,0,1.089907604832978,1.0,12.122529644268768,1.089907604832978,1.0,12.122529644268768,1.089907604832978,1.0,12.122529644268768,1.089907604832978,1.0,12.122529644268768,1.089907604832978,1.0,12.122529644268768
