Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unix Date
2021-04-23,11.95,11.95,11.36,11.5,11.4304,1250,7,14288.0,1250.0,100.0,0.59,-0.45,1619116200.0
2021-04-22,11.93,12.9,11.93,11.95,12.085139318885448,1292,9,15614.0,1092.0,84.52,0.97,0.02,1619029800.0
2021-04-20,12.05,12.6,12.05,12.55,12.25893553925394,6407,12,78543.0,6407.0,100.0,0.55,0.5,1618857000.0
2021-04-19,12.0,12.0,11.9,12.0,11.9996696399075,3027,7,36323.0,3027.0,100.0,0.1,0.0,1618770600.0
2021-04-16,12.5,13.12,12.0,12.0,12.275,960,7,11784.0,960.0,100.0,1.12,-0.5,1618511400.0
2021-04-15,12.5,12.5,12.5,12.5,12.499668214996682,1507,4,18837.0,1507.0,100.0,0.0,0.0,1618425000.0
2021-04-12,12.5,12.5,12.5,12.5,12.498360655737704,305,6,3812.0,257.0,84.26,0.0,0.0,1618165800.0
2021-04-09,12.16,12.16,12.16,12.16,12.0,1,1,12.0,1.0,100.0,0.0,0.0,1617906600.0
2021-04-08,12.15,12.18,12.15,12.16,12.179674138086236,11109,7,135304.0,11109.0,100.0,0.03,0.01,1617820200.0
2021-04-07,12.2,12.2,12.18,12.18,12.182451253481894,718,8,8747.0,718.0,100.0,0.02,-0.02,1617733800.0
2021-04-06,12.0,12.82,11.6,12.82,11.633424657534245,1825,9,21231.0,1825.0,100.0,1.22,0.82,1617647400.0
2021-04-05,12.81,12.81,12.21,12.21,12.3,590,3,7257.0,590.0,100.0,0.6,-0.6,1617561000.0
2021-04-01,12.81,12.81,12.81,12.81,12.81,3000,1,38430.0,3000.0,100.0,0.0,0.0,1617215400.0
2021-03-31,12.2,12.2,12.2,12.2,12.2,7150,6,87230.0,7150.0,100.0,0.0,0.0,1617129000.0
