Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unix Date
2021-04-07,7.46,7.5,7.21,7.5,7.39,9000,3,66510.0,6000,66.67,0.29,0.04,1617733800.0
2021-04-06,5.46,8.0,5.46,8.0,6.73,6000,2,40380.0,3000,50.0,2.54,2.54,1617647400.0
2021-03-31,6.68,6.73,6.68,6.73,6.71,12000,4,80520.0,12000,100.0,0.05,0.05,1617129000.0
2021-03-25,5.82,5.82,5.64,5.65,5.66,30000,9,169800.0,27000,90.0,0.18,-0.17,1616610600.0
2021-03-22,5.66,7.05,5.05,7.05,5.565714285714286,21000,6,116880.0,18000,85.71,2.0,1.39,1616351400.0
2021-03-19,7.74,7.74,6.0,6.0,6.87,6000,2,41220.0,3000,50.0,1.74,-1.74,1616092200.0
2021-03-15,6.45,6.45,6.45,6.45,6.45,9000,2,58050.0,9000,100.0,0.0,0.0,1615746600.0
2021-03-12,7.5,7.5,7.5,7.5,7.5,3000,1,22500.0,3000,100.0,0.0,0.0,1615487400.0
2021-03-02,11.05,11.1,8.0,8.0,10.634285714285713,21000,7,223320.0,18000,85.71,3.1,-3.05,1614623400.0
2021-02-16,9.35,9.36,9.25,9.25,9.3025,12000,4,111630.0,6000,50.0,0.11,-0.1,1613413800.0
2021-02-15,9.0,9.0,6.6,7.8,7.8,6000,2,46800.0,0,0.0,2.4,-1.2,1613327400.0
2021-02-11,7.37,10.2,7.37,7.5,8.115,12000,4,97380.0,3000,25.0,2.83,0.13,1612981800.0
2021-02-10,9.21,9.21,9.21,9.21,9.21,3000,1,27630.0,3000,100.0,0.0,0.0,1612895400.0
2021-02-04,9.68,9.68,9.68,9.68,9.68,3000,1,29040.0,3000,100.0,0.0,0.0,1612377000.0
2021-02-02,8.11,8.11,8.11,8.11,8.11,3000,1,24330.0,3000,100.0,0.0,0.0,1612204200.0
2021-02-01,6.76,6.76,6.76,6.76,6.76,3000,1,20280.0,3000,100.0,0.0,0.0,1612117800.0
2021-01-29,6.76,6.76,6.76,6.76,6.76,6000,2,40560.0,6000,100.0,0.0,0.0,1611858600.0
2021-01-11,6.12,8.44,6.12,8.44,7.28,6000,2,43680.0,6000,100.0,2.32,2.32,1610303400.0
2021-01-05,7.05,7.05,7.05,7.05,7.05,3000,1,21150.0,3000,100.0,0.0,0.0,1609785000.0
2020-12-31,8.9,8.9,8.15,8.15,8.525,6000,2,51150.0,3000,50.0,0.75,-0.75,1609353000.0
2020-12-30,8.9,8.9,8.9,8.9,8.9,3000,1,26700.0,3000,100.0,0.0,0.0,1609266600.0
2020-12-22,8.1,8.1,8.1,8.1,8.1,3000,1,24300.0,3000,100.0,0.0,0.0,1608575400.0
2020-12-17,8.1,8.2,8.1,8.13,8.14,15000,5,122100.0,9000,60.0,0.1,0.03,1608143400.0
2020-12-16,8.1,9.4,8.08,9.4,8.508571428571427,21000,7,178680.0,12000,57.14,1.32,1.3,1608057000.0
