Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unix Date
2021-04-23,48.85,48.85,48.85,48.85,48.0,1,1,48.0,1.0,100.0,0.0,0.0,1619116200.0
2021-04-22,46.5,47.0,46.5,47.0,46.79,200,3,9358.0,200.0,100.0,0.5,0.5,1619029800.0
2021-04-20,45.25,48.0,45.2,45.2,45.24673202614379,612,12,27691.0,607.0,99.18,2.8,-0.05,1618857000.0
2021-04-15,49.9,49.9,47.5,47.55,49.54926108374384,406,9,20117.0,356.0,87.68,2.4,-2.35,1618425000.0
2021-04-13,45.9,49.9,45.9,49.9,46.035714285714285,28,3,1289.0,27.0,96.43,4.0,4.0,1618252200.0
2021-04-12,48.25,48.25,48.25,48.25,48.24,50,1,2412.0,50.0,100.0,0.0,0.0,1618165800.0
2021-04-09,48.5,48.5,48.25,48.25,48.2822966507177,209,4,10091.0,209.0,100.0,0.25,-0.25,1617906600.0
2021-04-08,48.35,48.35,48.2,48.2,48.227053140096615,414,4,19966.0,414.0,100.0,0.15,-0.15,1617820200.0
2021-04-07,50.7,50.7,50.65,50.7,50.69375,160,3,8111.0,159.0,99.38,0.05,0.0,1617733800.0
2021-04-06,47.45,55.0,47.45,49.9,49.020119720651806,6014,22,294807.0,5453.0,90.67,7.55,2.45,1617647400.0
2021-04-05,48.0,52.6,47.4,52.6,48.5,6,3,291.0,6.0,100.0,5.2,4.6,1617561000.0
2021-04-01,48.0,52.65,48.0,52.65,48.000799840031995,5001,29,240052.0,5000.0,99.98,4.65,4.65,1617215400.0
2021-03-30,49.0,49.0,48.05,48.05,48.06,50,3,2403.0,50.0,100.0,0.95,-0.95,1617042600.0
2021-03-26,52.55,52.6,52.55,52.6,52.56666666666666,30,2,1577.0,30.0,100.0,0.05,0.05,1616697000.0
2021-03-25,48.0,48.0,48.0,48.0,48.0,35,2,1680.0,35.0,100.0,0.0,0.0,1616610600.0
2021-03-24,47.0,51.0,47.0,51.0,50.70294117647058,340,6,17239.0,321.0,94.41,4.0,4.0,1616524200.0
2021-03-23,45.35,51.95,45.25,51.95,45.298804780876495,251,5,11370.0,250.0,99.6,6.7,6.6,1616437800.0
2021-03-22,48.05,50.0,48.05,50.0,49.02,100,2,4902.0,100.0,100.0,1.95,1.95,1616351400.0
2021-03-18,46.5,51.5,46.5,51.5,49.08981001727116,579,5,28423.0,395.0,68.22,5.0,5.0,1616005800.0
2021-03-17,53.0,53.0,48.55,49.0,49.62253193960511,1722,12,85450.0,1631.0,94.72,4.45,-4.0,1615919400.0
2021-03-16,55.85,55.85,48.5,49.5,55.5736040609137,394,9,21896.0,378.0,95.94,7.35,-6.35,1615833000.0
2021-03-15,53.5,53.5,53.5,53.5,53.4,5,1,267.0,5.0,100.0,0.0,0.0,1615746600.0
2021-03-12,49.2,49.2,49.2,49.2,49.0,4,1,196.0,4.0,100.0,0.0,0.0,1615487400.0
2021-03-10,51.15,52.0,49.0,51.7,51.5,1278,19,65817.0,1153.0,90.22,3.0,0.55,1615314600.0
2021-03-08,49.6,54.9,49.55,50.4,50.39325842696629,178,3,8970.0,178.0,100.0,5.35,0.8,1615141800.0
2021-03-05,49.65,55.0,49.5,55.0,50.54385964912281,228,9,11524.0,208.0,91.23,5.5,5.35,1614882600.0
2021-03-04,55.0,55.0,49.5,54.95,50.33333333333333,12,3,604.0,12.0,100.0,5.5,-0.05,1614796200.0
2021-03-03,47.1,55.8,47.1,53.4,51.47619047619048,252,9,12972.0,187.0,74.21,8.7,6.3,1614709800.0
2021-03-02,52.0,52.0,52.0,52.0,52.0,96,2,4992.0,96.0,100.0,0.0,0.0,1614623400.0
2021-03-01,50.0,52.25,50.0,52.25,51.32743362831857,339,4,17400.0,339.0,100.0,2.25,2.25,1614537000.0
2021-02-26,52.0,52.0,50.2,50.2,51.784140969163,454,6,23510.0,454.0,100.0,1.8,-1.8,1614277800.0
2021-02-25,50.2,50.2,50.2,50.2,50.18518518518519,27,1,1355.0,27.0,100.0,0.0,0.0,1614191400.0
2021-02-24,50.2,50.2,50.2,50.2,50.19402985074626,67,2,3363.0,67.0,100.0,0.0,0.0,1614105000.0
2021-02-22,61.2,61.2,50.5,50.55,50.5863309352518,834,10,42189.0,831.0,99.64,10.7,-10.65,1613932200.0
2021-02-18,55.9,55.9,47.05,55.7,47.7875,80,5,3823.0,80.0,100.0,8.85,-0.2,1613586600.0
2021-02-17,51.95,52.4,51.9,52.0,52.187327823691454,363,7,18944.0,353.0,97.25,0.5,0.05,1613500200.0
2021-02-16,53.45,53.45,48.3,48.3,48.45454545454545,33,4,1599.0,33.0,100.0,5.15,-5.15,1613413800.0
2021-02-15,54.5,54.65,53.65,53.65,53.69369369369369,111,4,5960.0,106.0,95.5,1.0,-0.85,1613327400.0
2021-02-12,50.0,54.0,50.0,54.0,50.666666666666664,6,2,304.0,6.0,100.0,4.0,4.0,1613068200.0
2021-02-11,49.5,53.45,49.5,53.45,52.133333333333326,300,3,15640.0,300.0,100.0,3.95,3.95,1612981800.0
2021-02-10,49.0,57.0,49.0,49.2,49.123711340206185,97,3,4765.0,96.0,98.97,8.0,0.2,1612895400.0
2021-02-09,50.0,53.9,48.55,53.9,50.72029442691903,951,13,48235.0,714.0,75.08,5.35,3.9,1612809000.0
2021-02-08,54.0,54.0,50.35,53.9,52.76772082878953,917,18,48388.0,700.0,76.34,3.65,-0.1,1612722600.0
2021-02-05,58.95,58.95,50.25,55.9,53.26624068157614,939,12,50017.0,816.0,86.9,8.7,-3.05,1612463400.0
2021-02-04,54.35,56.75,51.7,54.95,53.50480307396734,2082,23,111397.0,1564.0,75.12,5.05,0.6,1612377000.0
2021-02-02,54.4,54.4,54.4,54.4,54.0,1,1,54.0,1.0,100.0,0.0,0.0,1612204200.0
2021-01-29,51.95,53.95,51.95,53.95,53.91,100,2,5391.0,100.0,100.0,2.0,2.0,1611858600.0
2021-01-28,54.55,54.55,51.95,52.0,53.16025641025641,156,4,8293.0,156.0,100.0,2.6,-2.55,1611772200.0
2021-01-27,52.2,52.2,52.2,52.2,52.0,1,1,52.0,1.0,100.0,0.0,0.0,1611685800.0
2021-01-25,49.9,49.9,46.2,49.8,49.327044025157235,954,7,47058.0,953.0,99.9,3.7,-0.1,1611513000.0
2021-01-22,48.35,49.0,48.35,48.4,48.36304347826087,460,10,22247.0,460.0,100.0,0.65,0.05,1611253800.0
