Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unix Date
2021-04-06,2.01,2.01,2.01,2.01,2.0,10,1,20.0,10.0,100.0,0.0,0.0,1617647400.0
2021-04-05,2.01,2.01,2.01,2.01,2.01,100,1,201.0,100.0,100.0,0.0,0.0,1617561000.0
2021-03-17,2.05,2.05,2.05,2.05,2.05,100,2,205.0,100.0,100.0,0.0,0.0,1615919400.0
2021-03-16,2.05,2.05,2.05,2.05,2.0444444444444443,135,2,276.0,135.0,100.0,0.0,0.0,1615833000.0
2021-02-16,2.09,2.09,2.09,2.09,2.0,9,1,18.0,9.0,100.0,0.0,0.0,1613413800.0
2021-02-08,2.09,2.09,2.09,2.09,2.089763779527559,1270,3,2654.0,1270.0,100.0,0.0,0.0,1612722600.0
2021-02-05,2.13,2.13,2.13,2.13,2.0,1,1,2.0,1.0,100.0,0.0,0.0,1612463400.0
2021-02-04,2.09,2.09,2.09,2.09,2.0,1,1,2.0,1.0,100.0,0.0,0.0,1612377000.0
2021-02-03,2.05,2.05,2.05,2.05,2.0499001996007986,501,4,1027.0,501.0,100.0,0.0,0.0,1612290600.0
2021-02-01,2.01,2.01,2.01,2.01,2.01,100,2,201.0,100.0,100.0,0.0,0.0,1612117800.0
2021-01-29,1.98,1.98,1.98,1.98,1.0,1,1,1.0,1.0,100.0,0.0,0.0,1611858600.0
2021-01-28,1.89,1.89,1.89,1.89,1.889937106918239,954,3,1803.0,954.0,100.0,0.0,0.0,1611772200.0
2021-01-27,1.81,1.81,1.81,1.81,1.8099062918340023,1494,6,2704.0,1494.0,100.0,0.0,0.0,1611685800.0
2021-01-25,1.73,1.73,1.73,1.73,1.7296678121420388,1746,6,3020.0,1746.0,100.0,0.0,0.0,1611513000.0
2021-01-22,1.65,1.65,1.65,1.65,1.6447368421052633,76,1,125.0,76.0,100.0,0.0,0.0,1611253800.0
2021-01-21,1.58,1.58,1.58,1.58,1.0,1,1,1.0,1.0,100.0,0.0,0.0,1611167400.0
2021-01-20,1.51,1.51,1.51,1.51,1.48,25,1,37.0,25.0,100.0,0.0,0.0,1611081000.0
2021-01-19,1.44,1.44,1.44,1.44,1.4375,160,1,230.0,160.0,100.0,0.0,0.0,1610994600.0
2021-01-18,1.38,1.38,1.38,1.38,1.3791593695271451,1142,6,1575.0,1142.0,100.0,0.0,0.0,1610908200.0
2021-01-15,1.32,1.32,1.32,1.32,1.32,200,2,264.0,200.0,100.0,0.0,0.0,1610649000.0
2021-01-13,1.26,1.26,1.26,1.26,1.26,200,1,252.0,200.0,100.0,0.0,0.0,1610476200.0
2021-01-12,1.26,1.26,1.26,1.26,1.25984496124031,3225,7,4063.0,3225.0,100.0,0.0,0.0,1610389800.0
2021-01-11,1.2,1.2,1.2,1.2,1.2,25,1,30.0,25.0,100.0,0.0,0.0,1610303400.0
2021-01-08,1.05,1.15,1.05,1.15,1.0519227015420651,5123,3,5389.0,5123.0,100.0,0.1,0.1,1610044200.0
2021-01-07,1.1,1.1,1.1,1.1,1.1,10740,6,11814.0,10740.0,100.0,0.0,0.0,1609957800.0
2021-01-06,1.15,1.16,1.15,1.15,1.1500378644452858,10564,5,12149.0,10564.0,100.0,0.01,0.0,1609871400.0
2021-01-05,1.15,1.15,1.15,1.15,1.1493877551020408,1225,2,1408.0,1225.0,100.0,0.0,0.0,1609785000.0
2020-12-31,1.15,1.15,1.15,1.15,1.1469194312796207,211,2,242.0,211.0,100.0,0.0,0.0,1609353000.0
2020-12-30,1.15,1.15,1.15,1.15,1.1470588235294117,170,1,195.0,170.0,100.0,0.0,0.0,1609266600.0
2020-12-15,1.2,1.2,1.2,1.2,1.2,100,1,120.0,100.0,100.0,0.0,0.0,1607970600.0
2020-12-04,1.2,1.2,1.2,1.2,1.2,1000,2,1200.0,1000.0,100.0,0.0,0.0,1607020200.0
2020-11-24,1.25,1.25,1.25,1.25,1.25,500,1,625.0,500.0,100.0,0.0,0.0,1606156200.0
2020-10-23,1.2,1.2,1.2,1.2,1.2,300,2,360.0,300.0,100.0,0.0,0.0,1603391400.0
2020-10-21,1.15,1.15,1.15,1.15,1.15,500,1,575.0,500.0,100.0,0.0,0.0,1603218600.0
2020-10-20,1.1,1.1,1.1,1.1,1.1,100,1,110.0,100.0,100.0,0.0,0.0,1603132200.0
2020-10-16,1.05,1.05,1.05,1.05,1.05,140,1,147.0,140.0,100.0,0.0,0.0,1602786600.0
2020-10-09,1.05,1.05,1.05,1.05,1.0444444444444445,90,1,94.0,90.0,100.0,0.0,0.0,1602181800.0
2020-10-08,1.0,1.0,1.0,1.0,1.0,129,2,129.0,129.0,100.0,0.0,0.0,1602095400.0
2020-10-05,1.0,1.05,1.0,1.05,1.0428571428571427,280,2,292.0,280.0,100.0,0.05,0.05,1601836200.0
2020-09-08,1.05,1.05,1.05,1.05,1.049049049049049,999,1,1048.0,999.0,100.0,0.0,0.0,1599503400.0
2020-09-07,0.95,1.05,0.95,1.05,1.04,1050,5,1092.0,1050.0,100.0,0.1,0.1,1599417000.0
2020-09-04,1.0,1.0,1.0,1.0,1.0,250,2,250.0,250.0,100.0,0.0,0.0,1599157800.0
2020-09-03,0.96,0.96,0.96,0.96,0.96,200,1,192.0,200.0,100.0,0.0,0.0,1599071400.0
2020-09-02,0.96,0.96,0.96,0.96,0.9599499374217773,799,1,767.0,799.0,100.0,0.0,0.0,1598985000.0
2020-08-31,0.96,1.0,0.96,1.0,0.968,250,2,242.0,250.0,100.0,0.04,0.04,1598812200.0
2020-08-28,1.03,1.03,1.01,1.01,1.0298507462686568,201,3,207.0,201.0,100.0,0.02,-0.02,1598553000.0
2020-08-19,1.0,1.0,1.0,1.0,1.0,400,2,400.0,400.0,100.0,0.0,0.0,1597775400.0
2020-08-13,1.05,1.05,1.05,1.05,1.05,100,2,105.0,100.0,100.0,0.0,0.0,1597257000.0
2020-08-12,1.05,1.1,1.05,1.1,1.075242718446602,412,5,443.0,412.0,100.0,0.05,0.05,1597170600.0
2020-08-06,1.1,1.1,1.1,1.1,1.1,100,1,110.0,100.0,100.0,0.0,0.0,1596652200.0
2020-08-03,1.15,1.15,1.15,1.15,1.1473684210526316,190,1,218.0,190.0,100.0,0.0,0.0,1596393000.0
2020-07-31,1.14,1.14,1.14,1.14,1.14,100,1,114.0,100.0,100.0,0.0,0.0,1596133800.0
2020-07-22,1.14,1.2,1.14,1.2,1.1447963800904977,1105,4,1265.0,1105.0,100.0,0.06,0.06,1595356200.0
2020-07-20,1.2,1.2,1.2,1.2,1.2,100,1,120.0,100.0,100.0,0.0,0.0,1595183400.0
2020-07-17,1.1,1.2,1.1,1.2,1.1387755102040815,490,2,558.0,490.0,100.0,0.1,0.1,1594924200.0
2020-07-16,1.15,1.15,1.15,1.15,1.15,600,3,690.0,600.0,100.0,0.0,0.0,1594837800.0
2020-07-10,1.27,1.27,1.21,1.21,1.25889164598842,1209,4,1522.0,1209.0,100.0,0.06,-0.06,1594319400.0
2020-07-09,1.27,1.27,1.27,1.27,1.2666666666666666,60,1,76.0,60.0,100.0,0.0,0.0,1594233000.0
2020-07-08,1.33,1.33,1.33,1.33,1.3294243070362473,938,7,1247.0,938.0,100.0,0.0,0.0,1594146600.0
2020-07-07,1.4,1.4,1.4,1.4,1.4,355,2,497.0,355.0,100.0,0.0,0.0,1594060200.0
2020-07-06,1.36,1.36,1.36,1.36,1.36,100,1,136.0,100.0,100.0,0.0,0.0,1593973800.0
2020-07-02,1.43,1.43,1.43,1.43,1.4204545454545454,88,1,125.0,88.0,100.0,0.0,0.0,1593628200.0
2020-07-01,1.43,1.43,1.43,1.43,1.4266666666666665,225,2,321.0,225.0,100.0,0.0,0.0,1593541800.0
2020-06-17,1.32,1.44,1.32,1.43,1.4,305,4,427.0,305.0,100.0,0.12,0.11,1592332200.0
2020-06-16,1.38,1.38,1.38,1.38,1.0,2,1,2.0,2.0,100.0,0.0,0.0,1592245800.0
2020-06-11,1.38,1.38,1.38,1.38,1.38,100,1,138.0,100.0,100.0,0.0,0.0,1591813800.0
2020-06-10,1.45,1.45,1.45,1.45,1.45,100,1,145.0,100.0,100.0,0.0,0.0,1591727400.0
2020-06-08,1.52,1.52,1.52,1.52,1.52,4600,7,6992.0,4550.0,98.91,0.0,0.0,1591554600.0
2020-06-05,1.59,1.59,1.59,1.59,1.58,50,1,79.0,50.0,100.0,0.0,0.0,1591295400.0
2020-06-04,1.67,1.67,1.67,1.67,1.66,50,1,83.0,50.0,100.0,0.0,0.0,1591209000.0
2020-05-22,1.75,1.75,1.75,1.75,1.75,1000,1,1750.0,1000.0,100.0,0.0,0.0,1590085800.0
2020-05-19,1.75,1.75,1.75,1.75,1.74,50,1,87.0,50.0,100.0,0.0,0.0,1589826600.0
2020-05-11,1.84,1.84,1.84,1.84,1.84,50,1,92.0,50.0,100.0,0.0,0.0,1589135400.0
2020-05-04,1.93,1.93,1.93,1.93,1.93,1900,2,3667.0,1900.0,100.0,0.0,0.0,1588530600.0
2020-03-03,2.03,2.03,2.03,2.03,2.02,50,1,101.0,50.0,100.0,0.0,0.0,1583173800.0
2020-02-28,2.13,2.13,2.13,2.13,2.1166666666666663,60,1,127.0,60.0,100.0,0.0,0.0,1582828200.0
2020-02-25,2.24,2.24,2.24,2.24,2.225,40,1,89.0,40.0,100.0,0.0,0.0,1582569000.0
2020-02-24,2.35,2.35,2.35,2.35,2.34,50,1,117.0,50.0,100.0,0.0,0.0,1582482600.0
2020-02-17,2.47,2.47,2.47,2.47,2.46,50,1,123.0,50.0,100.0,0.0,0.0,1581877800.0
2020-02-13,2.6,2.6,2.6,2.6,2.6,50,1,130.0,50.0,100.0,0.0,0.0,1581532200.0
2020-02-11,2.73,2.73,2.73,2.73,2.7166666666666663,60,2,163.0,60.0,100.0,0.0,0.0,1581359400.0
2020-02-04,2.87,2.87,2.87,2.87,2.86,50,1,143.0,50.0,100.0,0.0,0.0,1580754600.0
2020-01-31,3.02,3.02,3.02,3.02,3.0,4,4,12.0,4.0,100.0,0.0,0.0,1580409000.0
2020-01-29,2.88,2.88,2.88,2.88,2.88,50,1,144.0,50.0,100.0,0.0,0.0,1580236200.0
2020-01-27,3.03,3.03,3.03,3.03,3.0,30,2,90.0,30.0,100.0,0.0,0.0,1580063400.0
2020-01-08,3.18,3.18,3.18,3.18,3.1,10,1,31.0,10.0,100.0,0.0,0.0,1578421800.0
2019-12-27,3.34,3.34,3.34,3.34,3.2,5,1,16.0,5.0,100.0,0.0,0.0,1577385000.0
2019-12-24,3.52,3.52,3.51,3.51,3.4,5,3,17.0,5.0,100.0,0.01,-0.01,1577125800.0
2019-12-23,3.69,3.69,3.69,3.69,3.5,2,1,7.0,2.0,100.0,0.0,0.0,1577039400.0
2019-11-11,3.88,3.88,3.88,3.88,3.88,200,2,776.0,200.0,100.0,0.0,0.0,1573410600.0
2019-11-05,3.88,3.88,3.88,3.88,3.85,20,1,77.0,20.0,100.0,0.0,0.0,1572892200.0
2019-10-30,4.08,4.08,4.08,4.08,4.0,5,1,20.0,5.0,100.0,0.0,0.0,1572373800.0
2019-10-24,4.29,4.29,4.29,4.29,4.28,25,1,107.0,25.0,100.0,0.0,0.0,1571855400.0
2019-10-23,4.51,4.51,4.51,4.51,4.506666666666667,150,2,676.0,150.0,100.0,0.0,0.0,1571769000.0
2019-10-17,4.74,4.74,4.74,4.74,4.5,4,2,18.0,4.0,100.0,0.0,0.0,1571250600.0
2019-10-09,4.74,4.74,4.74,4.74,4.0,1,1,4.0,1.0,100.0,0.0,0.0,1570559400.0
2019-08-06,4.98,4.98,4.98,4.98,4.0,1,1,4.0,1.0,100.0,0.0,0.0,1565029800.0
2019-07-26,4.98,4.98,4.98,4.98,4.98,100,1,498.0,100.0,100.0,0.0,0.0,1564079400.0
2019-04-30,4.98,4.98,4.98,4.98,4.98,100,2,498.0,100.0,100.0,0.0,0.0,1556562600.0
2019-04-26,4.98,4.98,4.98,4.98,4.95,20,1,99.0,20.0,100.0,0.0,0.0,1556217000.0
2019-04-23,4.75,4.75,4.75,4.75,4.666666666666666,3,2,14.0,3.0,100.0,0.0,0.0,1555957800.0
2019-04-16,5.0,5.0,5.0,5.0,5.0,10,1,50.0,10.0,100.0,0.0,0.0,1555353000.0
2019-04-03,5.0,5.0,5.0,5.0,5.0,10,2,50.0,10.0,100.0,0.0,0.0,1554229800.0
2019-04-02,5.09,5.09,5.09,5.09,5.072727272727273,55,2,279.0,55.0,100.0,0.0,0.0,1554143400.0
2019-03-26,4.85,4.85,4.85,4.85,4.666666666666666,3,1,14.0,3.0,100.0,0.0,0.0,1553538600.0
2019-03-15,5.0,5.0,5.0,5.0,5.0,10,1,50.0,10.0,100.0,0.0,0.0,1552588200.0
2019-03-07,4.85,4.85,4.85,4.85,4.85,1000,1,4850.0,1000.0,100.0,0.0,0.0,1551897000.0
2019-03-05,4.62,4.62,4.62,4.62,4.60377358490566,53,1,244.0,53.0,100.0,0.0,0.0,1551724200.0
2019-02-21,4.4,4.4,4.4,4.4,4.3949044585987265,157,2,690.0,157.0,100.0,0.0,0.0,1550687400.0
2019-02-11,4.4,4.4,4.4,4.4,4.0,1,1,4.0,1.0,100.0,0.0,0.0,1549823400.0
2019-02-08,4.4,4.4,4.4,4.4,4.0,1,1,4.0,1.0,100.0,0.0,0.0,1549564200.0
2019-02-07,4.4,4.4,4.4,4.4,4.0,1,1,4.0,1.0,100.0,0.0,0.0,1549477800.0
2018-12-20,4.4,4.4,4.4,4.4,4.4,1000,2,4400.0,1000.0,100.0,0.0,0.0,1545244200.0
2018-11-27,4.4,4.4,4.4,4.4,4.4,75,1,330.0,75.0,100.0,0.0,0.0,1543257000.0
2018-11-22,4.2,4.2,4.2,4.2,4.2,600,3,2520.0,600.0,100.0,0.0,0.0,1542825000.0
2018-05-25,4.2,4.2,4.2,4.2,4.2,125,3,525.0,125.0,100.0,0.0,0.0,1527186600.0
2018-05-24,4.0,4.0,4.0,4.0,4.0,1,1,4.0,1.0,100.0,0.0,0.0,1527100200.0
2018-05-15,4.38,4.38,4.17,4.17,4.2727272727272725,11,2,47.0,11.0,100.0,0.21,-0.21,1526322600.0
2018-05-11,4.18,4.38,4.18,4.38,4.378109452736318,201,2,880.0,201.0,100.0,0.2,0.2,1525977000.0
2018-05-07,4.15,4.18,4.15,4.18,4.161818181818181,2200,5,9156.0,2200.0,100.0,0.03,0.03,1525631400.0
2018-05-04,3.99,3.99,3.99,3.99,3.99,200,6,798.0,200.0,100.0,0.0,0.0,1525372200.0
2018-05-02,4.2,4.2,3.8,3.8,3.803960396039604,1010,3,3842.0,1010.0,100.0,0.4,-0.4,1525199400.0
2018-04-30,4.0,4.0,4.0,4.0,4.0,3830,3,15320.0,3830.0,100.0,0.0,0.0,1525026600.0
2018-04-23,3.99,3.99,3.99,3.99,3.99,1500,1,5985.0,1500.0,100.0,0.0,0.0,1524421800.0
2018-04-19,3.99,3.99,3.99,3.99,3.9896988906497617,1262,3,5035.0,1262.0,100.0,0.0,0.0,1524076200.0
2018-04-13,3.8,3.8,3.8,3.8,3.8,100,1,380.0,100.0,100.0,0.0,0.0,1523557800.0
2018-04-10,3.62,3.62,3.62,3.62,3.62,1000,2,3620.0,1000.0,100.0,0.0,0.0,1523298600.0
2018-04-09,3.45,3.45,3.45,3.45,3.45,1200,2,4140.0,1200.0,100.0,0.0,0.0,1523212200.0
2018-04-04,3.63,3.63,3.63,3.63,3.63,2000,2,7260.0,2000.0,100.0,0.0,0.0,1522780200.0
2018-04-03,3.46,3.46,3.46,3.46,3.46,1000,1,3460.0,1000.0,100.0,0.0,0.0,1522693800.0
2018-03-27,3.3,3.3,3.3,3.3,3.2999971385240507,314523,1,1037925.0,314523.0,100.0,0.0,0.0,1522089000.0
2018-03-26,3.38,3.38,3.38,3.38,3.38,500,1,1690.0,500.0,100.0,0.0,0.0,1522002600.0
2018-03-23,3.22,3.22,3.22,3.22,3.2,30,1,96.0,30.0,100.0,0.0,0.0,1521743400.0
2018-03-08,3.38,3.38,3.38,3.38,3.372727272727273,110,2,371.0,110.0,100.0,0.0,0.0,1520447400.0
2018-03-07,3.22,3.22,3.22,3.22,3.219672131147541,610,3,1964.0,610.0,100.0,0.0,0.0,1520361000.0
2018-02-26,3.07,3.07,3.07,3.07,3.0698529411764706,544,1,1670.0,544.0,100.0,0.0,0.0,1519583400.0
2018-02-23,3.23,3.23,3.23,3.23,3.23,1000,3,3230.0,1000.0,100.0,0.0,0.0,1519324200.0
2018-02-22,3.23,3.23,3.23,3.23,3.228,250,2,807.0,250.0,100.0,0.0,0.0,1519237800.0
2018-02-15,3.39,3.39,3.39,3.39,3.3897435897435897,390,1,1322.0,390.0,100.0,0.0,0.0,1518633000.0
2018-02-07,3.39,3.39,3.39,3.39,3.3897435897435897,195,2,661.0,195.0,100.0,0.0,0.0,1517941800.0
2018-02-05,3.56,3.56,3.56,3.56,3.56,100,1,356.0,100.0,100.0,0.0,0.0,1517769000.0
2018-01-31,3.74,3.74,3.74,3.74,3.74,100,1,374.0,100.0,100.0,0.0,0.0,1517337000.0
2018-01-04,3.93,3.93,3.93,3.93,3.9299987600270887,314523,1,1236075.0,314523.0,100.0,0.0,0.0,1515004200.0
2017-10-27,3.93,3.93,3.93,3.93,3.93,800,1,3144.0,800.0,100.0,0.0,0.0,1509042600.0
2017-09-27,3.75,3.75,3.75,3.75,3.75,600,2,2250.0,600.0,100.0,0.0,0.0,1506450600.0
2017-09-22,3.75,3.75,3.75,3.75,3.75,428,1,1605.0,428.0,100.0,0.0,0.0,1506018600.0
2017-09-15,3.72,3.72,3.72,3.72,3.72,3000,2,11160.0,3000.0,100.0,0.0,0.0,1505413800.0
2017-09-13,3.9,3.9,3.9,3.9,3.9,1000,1,3900.0,1000.0,100.0,0.0,0.0,1505241000.0
