Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
12-March-2021,7.49,7.49,7.05,7.13,7.163630854179993939,29701,131,212767.00,29701,100.00,0.44,-0.36
10-March-2021,7.40,7.40,6.90,7.19,7.169911099676985964,34983,121,250825.00,34983,100.00,0.50,-0.21
9-March-2021,7.50,7.50,7.00,7.16,7.199290212936119164,20006,86,144029.00,20006,100.00,0.50,-0.34
8-March-2021,7.30,7.65,7.20,7.31,7.400255621955853397,28949,101,214230.00,28949,100.00,0.45,0.01
5-March-2021,7.80,7.87,7.22,7.30,7.414875949876704745,39742,147,294682.00,39742,100.00,0.65,-0.50
4-March-2021,7.40,7.72,7.01,7.56,7.564107870935695510,48317,194,365475.00,48317,100.00,0.71,0.16
3-March-2021,7.50,7.77,7.20,7.36,7.404637390452993289,41877,153,310084.00,41877,100.00,0.57,-0.14
2-March-2021,7.83,7.90,7.28,7.49,7.630041186389142272,36177,173,276032.00,36177,100.00,0.62,-0.34
1-March-2021,7.50,8.03,7.30,7.53,7.626084267491302667,64675,223,493217.00,64675,100.00,0.73,0.03
26-February-2021,7.50,7.66,7.11,7.66,7.622982960621687777,84158,205,641535.00,84158,100.00,0.55,0.16
25-February-2021,6.70,7.30,6.62,7.30,6.963381967137662815,108635,341,756467.00,108635,100.00,0.68,0.60
24-February-2021,7.05,7.10,6.85,6.96,6.951207867850663611,31419,5844,218400.00,25893,82.41,0.25,-0.09
23-February-2021,7.35,7.50,7.10,7.10,7.206555063506739987,41098,980,296175.00,32297,78.59,0.40,-0.25
22-February-2021,8.00,8.00,7.44,7.45,7.537150009721952167,82288,198,620217.00,75508,91.76,0.56,-0.55
19-February-2021,8.23,8.23,7.70,7.83,8.055236532677057697,223077,2639,1796938.00,163606,73.34,0.53,-0.40
18-February-2021,7.86,7.86,7.86,7.86,7.859997056081644669,101905,100,800973.00,86895,85.27,0.00,0.00
17-February-2021,7.49,7.49,7.49,7.49,7.489976798143851508,21550,65,161409.00,21550,100.00,0.00,0.00
16-February-2021,7.14,7.14,7.14,7.14,7.139986337242400091,35132,69,250842.00,35132,100.00,0.00,0.00
15-February-2021,6.45,6.90,6.38,6.80,6.608012946682412631,22863,1996,151079.00,17165,75.08,0.52,0.35
12-February-2021,6.95,6.95,6.65,6.71,6.769075328368820865,26723,3333,180890.00,23294,87.17,0.30,-0.24
11-February-2021,6.55,7.11,6.55,6.90,6.853915453915453915,28860,5917,197804.00,19221,66.60,0.56,0.35
10-February-2021,6.87,6.87,6.33,6.79,6.705260925333037075,99013,1227,663908.00,61412,62.02,0.54,-0.08
9-February-2021,6.50,6.55,6.01,6.55,6.534435458861136954,41919,120,273917.00,38244,91.23,0.54,0.05
8-February-2021,6.18,6.24,5.95,6.24,6.217231897341888175,8728,50,54264.00,8626,98.83,0.29,0.06
5-February-2021,6.55,6.55,5.95,5.95,6.012825978824699779,28146,101,169237.00,28146,100.00,0.60,-0.60
4-February-2021,6.20,6.55,6.15,6.26,6.233621317789112105,48035,60,299432.00,48035,100.00,0.40,0.06
3-February-2021,6.30,6.85,6.30,6.40,6.475975693791893754,15963,68,103376.00,15963,100.00,0.55,0.10
2-February-2021,6.44,6.76,6.16,6.55,6.504221184992475833,39207,122,255011.00,39207,100.00,0.60,0.11
1-February-2021,5.85,6.44,5.85,6.44,6.275960084668884185,16535,60,103773.00,16535,100.00,0.59,0.59
29-January-2021,6.12,6.14,6.00,6.14,6.126252849830085602,23247,37,142417.00,23247,100.00,0.14,0.02
28-January-2021,6.13,6.37,5.82,5.85,6.064824991545485289,47312,105,286939.00,47312,100.00,0.55,-0.28
27-January-2021,5.60,6.12,5.54,6.12,5.694424687558968255,68893,104,392306.00,68893,100.00,0.58,0.52
25-January-2021,5.90,5.90,5.83,5.83,5.831362561397125704,32982,70,192330.00,32982,100.00,0.07,-0.07
22-January-2021,6.13,6.77,6.13,6.13,6.180159352681335920,24223,53,149702.00,24223,100.00,0.64,0.00
21-January-2021,6.45,6.45,6.45,6.45,6.449949080452884442,16693,37,107669.00,16693,100.00,0.00,0.00
20-January-2021,6.95,6.95,6.78,6.78,6.798679867986798679,49086,54,333720.00,49086,100.00,0.17,-0.17
19-January-2021,7.15,7.20,7.13,7.13,7.145963183070010146,20697,73,147900.00,20697,100.00,0.07,-0.02
18-January-2021,7.50,7.50,7.50,7.50,7.500000000000000000,18200,52,136500.00,18200,100.00,0.00,0.00
15-January-2021,7.42,8.19,7.41,7.89,7.728575660218287875,87774,141,678368.00,87774,100.00,0.78,0.47
14-January-2021,7.73,7.98,7.73,7.80,7.744240535297835705,91762,151,710627.00,91762,100.00,0.25,0.07
13-January-2021,8.13,8.13,8.13,8.13,8.129997639839509086,21185,30,172234.00,21185,100.00,0.00,0.00
12-January-2021,8.55,8.55,8.55,8.55,8.549982149232416993,22408,49,191588.00,22408,100.00,0.00,0.00
11-January-2021,9.46,9.46,8.99,8.99,9.039575854379833314,126466,190,1143199.00,121981,96.45,0.47,-0.47
8-January-2021,9.50,10.00,9.14,9.46,9.570272578739513054,336013,931,3215736.00,199069,59.24,0.86,-0.04
7-January-2021,8.05,9.24,7.84,9.04,8.665845199722550899,367635,938,3185868.00,202887,55.19,1.40,0.99
6-January-2021,7.59,8.15,7.50,7.82,7.893037895549406641,183953,611,1451948.00,112572,61.20,0.65,0.23
5-January-2021,7.44,7.50,7.39,7.44,7.458203047694438947,50530,144,376863.00,48046,95.08,0.11,0.00
4-January-2021,7.75,7.95,6.12,7.54,7.447442128052565441,132102,235,983822.00,73558,55.68,1.83,-0.21
1-January-2021,7.71,7.71,7.55,7.64,7.612648317447967321,41128,120,313093.00,33717,81.98,0.16,-0.07
31-December-2020,7.64,7.87,7.37,7.60,7.559636711281070745,52300,139,395369.00,43182,82.57,0.50,-0.04
30-December-2020,7.74,7.76,7.50,7.68,7.652645233021402761,32379,87,247785.00,23675,73.12,0.26,-0.06
29-December-2020,7.67,8.05,7.45,7.54,7.661290829145728643,63680,161,487871.00,44225,69.45,0.60,-0.13
28-December-2020,8.00,8.00,7.69,7.85,7.828264032682298953,71476,142,559533.00,53043,74.21,0.31,-0.15
24-December-2020,7.80,7.86,7.56,7.78,7.710894930533763158,70106,206,540580.00,47782,68.16,0.30,-0.02
23-December-2020,7.50,7.90,7.50,7.70,7.732829264171665117,142044,355,1098402.00,89083,62.72,0.40,0.20
22-December-2020,7.26,7.66,6.94,7.54,7.370280378284380285,125937,348,928191.00,89358,70.95,0.72,0.28
21-December-2020,7.26,8.50,6.99,7.42,7.703816984150419977,738253,1433,5687366.00,336813,45.62,1.51,0.16
18-December-2020,7.50,7.50,6.50,7.25,6.915931812355806203,78020,208,539581.00,64755,83.00,1.00,-0.25
17-December-2020,7.46,7.76,7.03,7.12,7.372662843616586589,141946,357,1046520.00,72852,51.32,0.73,-0.34
16-December-2020,7.09,7.75,7.09,7.41,7.491244695036517101,147739,394,1106749.00,97027,65.67,0.66,0.32
15-December-2020,6.86,7.26,6.59,7.09,6.884167736764188675,122263,286,841679.00,80847,66.13,0.67,0.23
14-December-2020,6.84,7.05,6.54,6.86,6.775739703568402636,90881,235,615786.00,66667,73.36,0.51,0.02
11-December-2020,6.03,7.00,6.03,6.60,6.434338502776182270,104460,203,672131.00,63428,60.72,0.97,0.57
10-December-2020,6.16,6.25,5.94,6.03,6.029502499911350661,28201,54,170038.00,21435,76.01,0.31,-0.13
9-December-2020,6.50,6.50,6.15,6.24,6.268958958466558446,60987,113,382325.00,50999,83.62,0.35,-0.26
8-December-2020,6.40,6.50,6.20,6.40,6.324673060156931124,45880,93,290176.00,36165,78.83,0.30,0.00
7-December-2020,6.40,6.60,6.34,6.45,6.443898655635987590,73492,149,473575.00,41851,56.95,0.26,0.05
4-December-2020,6.24,6.30,5.99,6.26,6.190293449016622520,95894,125,593612.00,67282,70.16,0.31,0.02
3-December-2020,5.85,6.24,5.61,6.14,5.950943614012812373,69308,136,412448.00,49241,71.05,0.63,0.29
2-December-2020,5.69,5.75,5.46,5.68,5.580180541624874623,24925,92,139086.00,19039,76.39,0.29,-0.01
1-December-2020,5.50,5.77,5.44,5.69,5.620823689119373394,102393,142,575533.00,89557,87.46,0.33,0.19
27-November-2020,5.49,5.56,5.39,5.50,5.428385295486272684,10745,40,58328.00,9222,85.83,0.17,0.01
26-November-2020,5.64,5.65,5.20,5.38,5.397453474324342667,73669,173,397625.00,58696,79.68,0.45,-0.26
25-November-2020,5.95,5.96,5.57,5.70,5.813438433380493610,222645,297,1294333.00,162619,73.04,0.39,-0.25
24-November-2020,5.01,5.57,5.01,5.57,5.487340467510439181,339586,274,1863424.00,260987,76.85,0.56,0.56
23-November-2020,5.06,5.20,5.01,5.07,5.079103597405150383,50870,62,258374.00,31554,62.03,0.19,0.01
20-November-2020,4.99,5.05,4.96,5.02,5.007809002735637901,40210,120,201364.00,23574,58.63,0.09,0.03
19-November-2020,5.06,5.06,4.99,5.02,5.005857769251849821,29192,43,146131.00,28013,95.96,0.07,-0.04
18-November-2020,5.03,5.03,4.95,4.96,4.988755174326804079,46866,79,233803.00,40591,86.61,0.08,-0.07
17-November-2020,5.05,5.15,4.95,4.98,5.044245687688235830,54785,128,276349.00,40668,74.23,0.20,-0.07
14-November-2020,5.19,5.19,4.91,5.00,4.966886902448503692,12865,62,63899.00,9862,76.66,0.28,-0.19
13-November-2020,5.06,5.06,4.90,4.99,4.968330437529616174,12662,70,62909.00,10662,84.20,0.16,-0.07
12-November-2020,4.99,5.06,4.94,5.00,4.966972835645886261,10234,163,50832.00,9631,94.11,0.12,0.01
11-November-2020,5.01,5.06,4.94,5.00,4.979844084501353152,24757,63,123286.00,20104,81.21,0.12,-0.01
10-November-2020,5.01,5.08,4.89,4.95,4.987627043747238179,42997,109,214453.00,39297,91.39,0.19,-0.06
9-November-2020,5.00,5.01,4.90,4.95,4.969131689984454807,9006,40,44752.00,6437,71.47,0.11,-0.05
6-November-2020,4.94,5.00,4.90,4.94,4.980309423347398030,3555,21,17705.00,3449,97.02,0.10,0.00
5-November-2020,4.91,4.96,4.80,4.94,4.869158878504672897,10593,28,51579.00,9846,92.95,0.16,0.03
4-November-2020,4.95,5.00,4.83,4.86,4.901201047722481313,31306,41,153437.00,19959,63.75,0.17,-0.09
3-November-2020,5.16,5.16,4.85,4.99,4.928378762067007382,28176,81,138862.00,22327,79.24,0.31,-0.17
2-November-2020,4.99,5.00,4.90,4.92,4.960374577299921963,23066,76,114416.00,18747,81.28,0.10,-0.07
30-October-2020,5.00,5.11,4.94,5.04,5.068192130679976664,15427,31,78187.00,14563,94.40,0.17,0.04
29-October-2020,4.90,5.01,4.90,4.96,4.962409369771332961,8965,49,44488.00,7368,82.19,0.11,0.06
28-October-2020,5.00,5.20,4.94,5.00,4.998824477732249613,29774,76,148835.00,24982,83.91,0.26,0.00
27-October-2020,5.11,5.11,5.00,5.01,5.027958062905641537,4006,29,20142.00,3315,82.75,0.11,-0.10
26-October-2020,5.20,5.20,4.95,5.09,5.084134351814626658,27361,102,139107.00,18627,68.08,0.25,-0.11
23-October-2020,5.10,5.10,4.99,5.07,5.072927708289166843,9434,30,47858.00,8471,89.79,0.11,-0.03
22-October-2020,5.05,5.05,4.95,4.96,4.995709570957095709,12120,35,60548.00,11620,95.87,0.10,-0.09
21-October-2020,5.00,5.11,4.99,5.03,5.065413596091744638,36231,99,183525.00,32807,90.55,0.12,0.03
20-October-2020,5.01,5.05,4.80,5.00,4.916773327506009427,32033,126,157499.00,26264,81.99,0.25,-0.01
19-October-2020,5.00,5.03,4.95,5.01,4.997244131901548987,10523,24,52586.00,9812,93.24,0.08,0.01
16-October-2020,5.44,5.44,4.86,4.99,5.023956975228161668,12272,31,61654.00,8219,66.97,0.58,-0.45
15-October-2020,5.04,5.11,4.90,4.99,5.052401746724890829,20610,95,104130.00,18228,88.44,0.21,-0.05
14-October-2020,5.15,5.15,4.60,5.04,4.936527090623868710,16574,41,81818.00,11353,68.50,0.55,-0.11
13-October-2020,5.00,5.10,4.89,5.01,4.971595945581377423,25947,159,128998.00,17574,67.73,0.21,0.01
12-October-2020,5.00,5.15,4.90,4.95,5.018694471865745310,16208,116,81343.00,10757,66.37,0.25,-0.05
9-October-2020,5.20,5.20,4.95,5.00,5.019733636511287964,12314,40,61813.00,8821,71.63,0.25,-0.20
8-October-2020,4.95,5.31,4.95,5.05,5.069004667591774946,31708,51,160728.00,29333,92.51,0.36,0.10
