Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unix Date
2021-04-23,7.6,7.8,7.27,7.65,7.49183417085427,4776,27,35781.0,2574,53.89,0.53,0.05,1619116200.0
2021-04-22,7.35,7.95,7.35,7.92,7.885019270513322,35806,75,282331.0,32586,91.01,0.6,0.57,1619029800.0
2021-04-20,6.98,7.28,6.98,7.23,7.132255139056832,13232,30,94374.0,13182,99.62,0.3,0.25,1618857000.0
2021-04-19,6.8,7.23,6.5,6.62,6.731543624161073,2235,25,15045.0,2128,95.21,0.73,-0.18,1618770600.0
2021-04-16,6.6,6.98,6.46,6.64,6.661862527716186,902,21,6009.0,625,69.29,0.52,0.04,1618511400.0
2021-04-15,7.48,7.48,6.65,6.76,6.891465019742837,9877,42,68067.0,5902,59.75,0.83,-0.72,1618425000.0
2021-04-13,7.2,7.2,6.61,7.15,7.104815409309791,6230,27,44263.0,4761,76.42,0.59,-0.05,1618252200.0
2021-04-12,6.7,7.36,6.16,6.56,6.896578451998671,9031,49,62283.0,6681,73.98,1.2,-0.14,1618165800.0
2021-04-09,6.68,6.89,6.0,6.7,6.502800327229249,15891,86,103336.0,10960,68.97,0.89,0.02,1617906600.0
2021-04-08,6.95,6.99,6.16,6.4,6.479788504178748,5863,48,37991.0,4366,74.47,0.83,-0.55,1617820200.0
2021-04-07,6.85,7.24,6.64,6.68,6.752736028016927,13706,63,92553.0,10413,75.97,0.6,-0.17,1617733800.0
2021-04-06,7.15,7.45,6.9,6.94,6.959314302530901,13592,57,94591.0,10150,74.68,0.55,-0.21,1617647400.0
2021-04-05,7.12,7.46,6.8,7.26,7.106825525040388,9904,57,70386.0,4686,47.31,0.66,0.14,1617561000.0
2021-04-01,7.49,7.49,6.8,7.12,6.972059102102671,10558,44,73611.0,8173,77.41,0.69,-0.37,1617215400.0
2021-03-31,7.05,7.5,6.82,7.15,6.984823721690404,8566,39,59832.0,7063,82.45,0.68,0.1,1617129000.0
2021-03-30,7.59,7.59,7.02,7.17,7.203105460608587,9596,36,69121.0,5575,58.1,0.57,-0.42,1617042600.0
2021-03-26,7.99,7.99,7.31,7.31,7.432857730021725,17031,73,126589.0,11377,66.8,0.68,-0.68,1616697000.0
2021-03-25,8.1,8.1,7.44,7.69,7.6501436781609184,1392,18,10649.0,1387,99.64,0.66,-0.41,1616610600.0
2021-03-24,8.02,8.48,7.76,7.83,7.838751385297377,21656,47,169756.0,21091,97.39,0.72,-0.19,1616524200.0
2021-03-23,8.34,8.34,8.0,8.16,8.100950987564008,4101,19,33222.0,3801,92.68,0.34,-0.18,1616437800.0
2021-03-22,8.02,8.42,8.02,8.34,8.087651397869047,21962,17,177621.0,21936,99.88,0.4,0.32,1616351400.0
2021-03-19,8.09,8.37,8.02,8.03,8.03174603174603,3087,17,24794.0,3058,99.06,0.35,-0.06,1616092200.0
2021-03-18,8.1,8.59,8.08,8.38,8.163486454652531,4245,19,34654.0,3681,86.71,0.51,0.28,1616005800.0
2021-03-17,8.45,8.8,8.13,8.38,8.317676143386898,1618,18,13458.0,1617,99.94,0.67,-0.07,1615919400.0
2021-03-16,8.24,8.44,8.0,8.44,8.306679409578422,9417,30,78224.0,9281,98.56,0.44,0.2,1615833000.0
2021-03-15,8.3,8.45,7.95,8.04,8.154687272197114,6859,41,55933.0,6801,99.15,0.5,-0.26,1615746600.0
2021-03-12,8.3,8.5,8.01,8.25,8.269826852114676,17615,61,145673.0,10429,59.21,0.49,-0.05,1615487400.0
2021-03-10,8.65,8.65,8.04,8.24,8.23275,8000,43,65862.0,6628,82.85,0.61,-0.41,1615314600.0
2021-03-09,8.44,8.44,8.04,8.27,8.278508771929824,1824,16,15100.0,1824,100.0,0.4,-0.17,1615228200.0
2021-03-08,8.27,8.67,8.02,8.07,8.181948939230493,8343,34,68262.0,7510,90.02,0.65,-0.2,1615141800.0
2021-03-05,8.26,8.94,8.26,8.27,8.576916429003543,23142,52,198487.0,22630,97.79,0.68,0.01,1614882600.0
2021-03-04,8.55,8.98,8.22,8.59,8.600975518244066,10661,49,91695.0,6661,62.48,0.76,0.04,1614796200.0
2021-03-03,8.66,8.69,8.12,8.6,8.496036169949212,16146,52,137177.0,8118,50.28,0.57,-0.06,1614709800.0
2021-03-02,8.5,8.97,8.22,8.31,8.420610326172593,19039,86,160320.0,15295,80.34,0.75,-0.19,1614623400.0
2021-03-01,8.85,9.05,8.48,8.6,8.798803733403442,15214,43,133865.0,12149,79.85,0.57,-0.25,1614537000.0
2021-02-26,9.05,9.05,8.45,8.87,8.698980747451868,13245,65,115218.0,11496,86.8,0.6,-0.18,1614277800.0
2021-02-25,9.0,9.0,8.43,8.7,8.651967435549524,11792,50,102024.0,9552,81.0,0.57,-0.3,1614191400.0
2021-02-24,8.25,8.83,8.25,8.8,8.78876112759644,5392,35,47389.0,5391,99.98,0.58,0.55,1614105000.0
2021-02-23,8.59,8.7,8.2,8.41,8.571524739145069,2971,20,25466.0,2770,93.23,0.5,-0.18,1614018600.0
2021-02-22,8.5,8.5,7.94,8.3,8.054545454545455,12100,37,97460.0,9009,74.45,0.56,-0.2,1613932200.0
2021-02-19,8.5,8.95,8.15,8.35,8.567457627118642,5900,35,50548.0,5900,100.0,0.8,-0.15,1613673000.0
2021-02-18,8.37,9.16,8.37,8.53,8.997084345713294,14405,53,129603.0,14405,100.0,0.79,0.16,1613586600.0
2021-02-17,8.0,8.73,8.0,8.73,8.634439359267734,5244,24,45279.0,5244,100.0,0.73,0.73,1613500200.0
2021-02-16,8.2,8.7,7.96,8.32,8.257682265515163,4979,29,41115.0,4979,100.0,0.74,0.12,1613413800.0
2021-02-15,8.75,9.05,8.32,8.36,8.487597735238609,7418,39,62961.0,7418,100.0,0.73,-0.39,1613327400.0
2021-02-12,8.73,9.15,8.5,8.75,8.737759153065724,9068,39,79234.0,9068,100.0,0.65,0.02,1613068200.0
2021-02-11,8.38,9.25,8.38,8.74,8.848733043255695,11721,62,103716.0,11721,100.0,0.87,0.36,1612981800.0
2021-02-10,9.01,9.06,8.56,8.82,8.844861732560698,13633,44,120582.0,13633,100.0,0.5,-0.19,1612895400.0
2021-02-09,8.22,9.08,8.22,9.01,8.799843436567345,20439,73,179860.0,20439,100.0,0.86,0.79,1612809000.0
2021-02-08,8.7,8.84,8.09,8.65,8.411467889908256,2180,21,18337.0,2180,100.0,0.75,-0.05,1612722600.0
2021-02-05,8.1,8.61,8.0,8.49,8.235768344850278,12156,44,100114.0,12156,100.0,0.61,0.39,1612463400.0
2021-02-04,8.4,8.6,8.21,8.22,8.402829486224869,5372,32,45140.0,5372,100.0,0.39,-0.18,1612377000.0
2021-02-03,9.23,9.23,8.45,8.57,8.637380627557983,7330,45,63312.0,7330,100.0,0.78,-0.66,1612290600.0
2021-02-02,8.99,9.01,8.19,8.89,8.863037249283668,13960,43,123728.0,13960,100.0,0.82,-0.1,1612204200.0
2021-02-01,8.02,8.71,8.02,8.59,8.128263337116913,6167,34,50127.0,6167,100.0,0.69,0.57,1612117800.0
2021-01-29,8.4,8.4,8.01,8.3,8.29827089337176,694,13,5759.0,694,100.0,0.39,-0.1,1611858600.0
2021-01-28,8.0,8.55,7.99,8.04,8.317652329749103,2232,17,18565.0,2232,100.0,0.56,0.04,1611772200.0
2021-01-27,7.9,8.46,7.9,8.38,8.087971274685817,557,20,4505.0,557,100.0,0.56,0.48,1611685800.0
2021-01-25,8.44,8.62,8.02,8.06,8.484975541579315,7155,35,60710.0,7155,100.0,0.6,-0.38,1611513000.0
2021-01-22,8.05,8.44,8.0,8.21,8.23913989727518,11487,38,94643.0,11487,100.0,0.44,0.16,1611253800.0
2021-01-21,8.68,8.68,8.0,8.04,8.175619232637201,10295,53,84168.0,10295,100.0,0.68,-0.64,1611167400.0
2021-01-20,8.6,8.81,8.13,8.27,8.395334434351774,9688,44,81334.0,9688,100.0,0.68,-0.33,1611081000.0
2021-01-19,8.57,8.57,8.13,8.4,8.199853587115665,1366,18,11201.0,1366,100.0,0.44,-0.17,1610994600.0
2021-01-18,8.75,8.93,8.12,8.17,8.319174275506153,7557,37,62868.0,7557,100.0,0.81,-0.58,1610908200.0
2021-01-15,8.55,8.97,8.53,8.54,8.59781911481719,4677,32,40212.0,4677,100.0,0.44,-0.01,1610649000.0
2021-01-14,8.75,9.14,8.56,8.97,8.626568512631755,5977,34,51561.0,5977,100.0,0.58,0.22,1610562600.0
2021-01-13,9.6,9.6,8.75,9.01,9.101167315175095,5654,34,51458.0,5654,100.0,0.85,-0.59,1610476200.0
2021-01-12,8.7,9.34,8.59,9.15,9.11498279252704,16272,72,148319.0,16272,100.0,0.75,0.45,1610389800.0
2021-01-11,8.7,8.91,8.09,8.91,8.671828442437922,44300,88,384162.0,44300,100.0,0.82,0.21,1610303400.0
2021-01-08,8.8,8.8,8.1,8.49,8.43183492999263,5428,42,45768.0,5428,100.0,0.7,-0.31,1610044200.0
