Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unix Date
2021-04-23,2715.65,2746.2,2677.0,2711.85,2718.6575614816093,23137,2593,62901580.0,7616,32.92,69.2,-3.8,1619116200.0
2021-04-22,2785.0,2791.45,2678.3,2715.65,2720.15436798257,80781,8123,219736790.0,26073,32.28,113.15,-69.35,1619029800.0
2021-04-20,2880.0,2889.2,2756.55,2778.3,2818.8205021418366,33616,5079,94757470.0,11700,34.8,132.65,-101.7,1618857000.0
2021-04-19,2872.3,2872.3,2817.0,2852.7,2844.738288903402,16843,1622,47913927.0,4690,27.85,55.3,-19.6,1618770600.0
2021-04-16,2938.0,2981.95,2893.7,2919.4,2946.545160668793,46711,4614,137636071.0,17588,37.65,88.25,-18.6,1618511400.0
2021-04-15,2803.0,2950.0,2803.0,2932.75,2882.4170955725535,35167,4445,101365962.0,15929,45.3,147.0,129.75,1618425000.0
2021-04-13,2822.2,2884.25,2812.05,2834.55,2851.8572247523807,31399,3884,89545465.0,10153,32.34,72.2,12.35,1618252200.0
2021-04-12,2923.0,2923.0,2790.0,2816.25,2836.737675749224,28663,3837,81309412.0,9835,34.31,133.0,-106.75,1618165800.0
2021-04-09,2939.0,2972.0,2920.0,2947.55,2934.4903703703703,14850,1649,43577182.0,3308,22.28,52.0,8.55,1617906600.0
2021-04-08,2899.9,2955.65,2897.6,2935.35,2931.037148767454,23204,1954,68011786.0,5075,21.87,58.05,35.45,1617820200.0
2021-04-07,2850.0,2898.45,2836.05,2889.2,2871.11867317911,37262,4139,106983624.0,14023,37.63,62.4,39.2,1617733800.0
2021-04-06,2879.0,2879.0,2824.4,2844.85,2856.778146782964,54802,5023,156557156.0,9392,17.14,54.6,-34.15,1617647400.0
2021-04-05,2909.95,2909.95,2795.0,2848.4,2836.855755243771,21311,2966,60456233.0,7482,35.11,114.95,-61.55,1617561000.0
2021-04-01,2890.0,2925.0,2860.0,2911.4,2891.4265197060786,14970,1507,43284655.0,5433,36.29,65.0,21.4,1617215400.0
2021-03-31,2890.0,2890.0,2830.0,2854.05,2862.4531360112755,17028,1832,48741852.0,5472,32.14,60.0,-35.95,1617129000.0
2021-03-30,2897.0,2916.35,2808.85,2834.35,2881.267581158027,27046,2221,77926763.0,14912,55.14,107.5,-62.65,1617042600.0
2021-03-26,2827.0,2897.0,2807.2,2854.8,2862.0311764957446,23383,2546,66922875.0,4835,20.68,89.8,27.8,1616697000.0
2021-03-25,2872.0,2890.6,2775.0,2795.25,2811.2924295412463,48610,7440,136656925.0,16080,33.08,115.6,-76.75,1616610600.0
2021-03-24,2967.0,2967.0,2841.75,2855.75,2879.794593336695,25783,2892,74249744.0,8128,31.52,125.25,-111.25,1616524200.0
2021-03-23,2904.3,3004.8,2904.3,2932.4,2952.877287980476,26224,2704,77436254.0,6347,24.2,100.5,28.1,1616437800.0
2021-03-22,2982.55,2988.0,2862.0,2879.8,2916.431627617268,41742,6711,121737689.0,18585,44.52,126.0,-102.75,1616351400.0
2021-03-19,3005.0,3015.75,2928.15,2961.95,2968.5519119608716,62972,9859,186935651.0,28204,44.79,87.6,-43.05,1616092200.0
2021-03-18,3030.3,3074.95,2978.0,3034.95,3036.7187964529194,19509,2001,59243347.0,4366,22.38,96.95,4.65,1616005800.0
2021-03-17,3080.0,3096.1,2992.0,3014.65,3038.6386971438014,24193,3464,73513786.0,9327,38.55,104.1,-65.35,1615919400.0
2021-03-16,3108.0,3199.95,3055.0,3072.05,3103.777620290936,13405,1663,41606139.0,5351,39.92,144.95,-35.95,1615833000.0
2021-03-15,3121.0,3166.0,3095.2,3108.5,3126.5587987177323,17781,2606,55593342.0,6951,39.09,70.8,-12.5,1615746600.0
