Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unix Date
2021-04-23,122.1,122.1,110.9,121.0,111.74590163934425,122,5,13633.0,121.0,99.18,11.2,-1.1,1619116200.0
2021-04-22,112.5,122.0,112.5,122.0,116.00657894736842,152,5,17633.0,151.0,99.34,9.5,9.5,1619029800.0
2021-04-19,120.0,128.0,118.1,124.7,120.30729166666666,192,9,23099.0,151.0,78.65,9.9,4.7,1618770600.0
2021-04-16,116.2,131.5,116.2,118.1,129.96363636363637,110,5,14296.0,105.0,95.45,15.3,1.9,1618511400.0
2021-04-15,132.0,132.0,116.15,128.9,129.28571428571428,28,5,3620.0,27.0,96.43,15.85,-3.1,1618425000.0
2021-04-13,119.95,125.9,119.95,125.45,120.0374149659864,294,7,35291.0,293.0,99.66,5.95,5.5,1618252200.0
2021-04-12,115.4,128.2,115.4,118.2,116.8695652173913,23,5,2688.0,10.0,43.48,12.8,2.8,1618165800.0
2021-04-09,127.0,127.0,127.0,127.0,127.0,100,4,12700.0,100.0,100.0,0.0,0.0,1617906600.0
2021-04-08,129.95,134.9,126.05,134.9,129.99019607843135,102,5,13259.0,102.0,100.0,8.85,4.95,1617820200.0
2021-04-07,126.7,138.5,126.7,130.0,132.125,32,10,4228.0,27.0,84.38,11.8,3.3,1617733800.0
2021-04-06,130.55,137.85,126.1,136.45,130.8575624082232,681,7,89114.0,480.0,70.48,11.75,5.9,1617647400.0
2021-04-05,118.0,142.8,118.0,138.5,136.39012096774192,992,12,135299.0,592.0,59.68,24.8,20.5,1617561000.0
2021-04-01,110.5,130.7,110.5,129.95,125.993399339934,303,8,38176.0,134.0,44.22,20.2,19.45,1617215400.0
2021-03-31,126.35,126.35,119.6,119.6,122.9,10,2,1229.0,5.0,50.0,6.75,-6.75,1617129000.0
2021-03-30,121.3,147.0,121.3,126.35,131.12025316455697,316,12,41434.0,259.0,81.96,25.7,5.05,1617042600.0
2021-03-26,132.0,154.0,127.5,134.7,134.14233576642337,1370,33,183775.0,865.0,63.14,26.5,2.7,1616697000.0
2021-03-25,143.0,143.7,118.25,141.6,136.23961661341852,1252,20,170572.0,796.0,63.58,25.45,-1.4,1616610600.0
2021-03-24,141.6,141.6,130.65,130.65,141.13661202185793,183,9,25828.0,181.0,98.91,10.95,-10.95,1616524200.0
2021-03-23,129.0,129.0,128.7,128.75,128.76,50,4,6438.0,40.0,80.0,0.3,-0.25,1616437800.0
2021-03-18,123.0,143.0,123.0,143.0,128.55555555555557,108,3,13884.0,83.0,76.85,20.0,20.0,1616005800.0
2021-03-17,137.0,149.0,125.25,134.7,134.57480314960628,127,15,17091.0,120.0,94.49,23.75,-2.3,1615919400.0
2021-03-16,140.0,142.0,132.0,137.5,137.5,8,6,1100.0,4.0,50.0,10.0,-2.5,1615833000.0
2021-03-15,155.0,155.0,133.05,143.95,141.51724137931035,29,6,4104.0,18.0,62.07,21.95,-11.05,1615746600.0
2021-03-12,159.0,159.0,134.1,146.0,150.42222222222222,765,25,115073.0,399.0,52.16,24.9,-13.0,1615487400.0
2021-03-10,129.85,149.25,124.3,145.05,132.6595744680851,235,16,31175.0,125.0,53.19,24.95,15.2,1615314600.0
2021-03-09,138.5,139.5,124.55,135.85,135.13888888888889,180,13,24325.0,127.0,70.56,14.95,-2.65,1615228200.0
2021-03-08,130.0,144.5,126.05,137.05,138.72301425661914,491,11,68113.0,251.0,51.12,18.45,7.05,1615141800.0
2021-03-05,152.9,152.9,125.5,132.6,128.05257510729612,932,27,119345.0,675.0,72.42,27.4,-20.3,1614882600.0
2021-03-04,130.0,139.95,127.35,139.0,131.25906735751295,193,3,25333.0,191.0,98.96,12.6,9.0,1614796200.0
2021-03-03,127.3,127.3,127.3,127.3,127.27777777777776,36,2,4582.0,36.0,100.0,0.0,0.0,1614709800.0
2021-03-02,126.55,127.25,126.55,127.25,126.94117647058825,17,2,2158.0,17.0,100.0,0.7,0.7,1614623400.0
2021-03-01,134.1,144.55,121.0,126.5,143.00765027322404,915,20,130852.0,765.0,83.61,23.55,-7.6,1614537000.0
2021-02-26,131.45,131.45,120.05,131.45,130.8993288590604,149,7,19504.0,142.0,95.3,11.4,0.0,1614277800.0
2021-02-25,125.6,138.1,114.0,119.5,128.86046511627907,43,6,5541.0,43.0,100.0,24.1,-6.1,1614191400.0
