accuracy,precision,recall,f1_score,confusion matrix,epochs,batch_size,optimizer,activation,dropout_rate,neurons,layers,rate_of_growth
0.517379679144385,0.5203252032520326,0.5106382978723404,0.5154362416107382,"[[195 177]
 [184 192]]",50,32,adam,sigmoid,0.2,32,3,0.001
0.516042780748663,0.4903047091412742,0.49859154929577465,0.49441340782122906,"[[209 184]
 [178 177]]",25,50,adam,sigmoid,0.2,32,3,0.002
0.5307486631016043,0.4792332268370607,0.4437869822485207,0.46082949308755755,"[[247 163]
 [188 150]]",50,25,adam,sigmoid,0.2,32,3,0.003
0.5467914438502673,0.46122448979591835,0.353125,0.39999999999999997,"[[296 132]
 [207 113]]",50,32,adam,sigmoid,0.2,64,3,0.004
0.5106951871657754,0.40202702702702703,0.38636363636363635,0.3940397350993377,"[[263 177]
 [189 119]]",25,32,adam,sigmoid,0.1,32,3,0.005
