root_mean_squared_error,mean_absolute_error,mean_squared_error,accuracy,precision,recall,f1_score,confusion matrix,batch_size,epochs,threshold
0.5024965481151396,0.2525027808676307,0.2525027808676307,0.7474972191323693,0.0,0.0,0.0,"[[672 227]
 [  0   0]]",64,75,0.01
0.3198998731006136,0.10233592880978866,0.10233592880978866,0.8976640711902113,0.0,0.0,0.0,"[[807  91]
 [  1   0]]",100,25,0.02
0.22373112736634126,0.05005561735261402,0.05005561735261402,0.949944382647386,0.022222222222222223,0.5,0.0425531914893617,"[[853  44]
 [  1   1]]",48,100,0.03
0.1667593364912675,0.027808676307007785,0.027808676307007785,0.9721913236929922,0.0,0.0,0.0,"[[874  24]
 [  1   0]]",100,75,0.04
0.11553425737574002,0.013348164627363738,0.013348164627363738,0.9866518353726362,0.15384615384615385,0.6666666666666666,0.25,"[[885  11]
 [  1   2]]",64,100,0.05
0.05776712868787001,0.0033370411568409346,0.0033370411568409346,0.996662958843159,0.0,0.0,0.0,"[[896   3]
 [  0   0]]",100,75,0.1
