root_mean_squared_error,mean_absolute_error,mean_squared_error,accuracy,precision,recall,f1_score,confusion matrix,batch_size,epochs,threshold
0.5571294808453114,0.3103932584269663,0.3103932584269663,0.6896067415730337,0.05116279069767442,0.39285714285714285,0.0905349794238683,"[[480 204]
 [ 17  11]]",64,50,0.01
0.3912670285629105,0.15308988764044945,0.15308988764044945,0.8469101123595506,0.009523809523809525,0.16666666666666666,0.018018018018018018,"[[602 104]
 [  5   1]]",25,25,0.02
0.2878631072911669,0.08286516853932584,0.08286516853932584,0.9171348314606742,0.0,0.0,0.0,"[[653  56]
 [  3   0]]",48,75,0.03
0.23996722622666902,0.05758426966292135,0.05758426966292135,0.9424157303370787,0.08333333333333333,0.09523809523809523,0.08888888888888889,"[[669  22]
 [ 19   2]]",48,25,0.04
0.158999682000954,0.025280898876404494,0.025280898876404494,0.9747191011235955,0.0,0.0,0.0,"[[694  14]
 [  4   0]]",25,50,0.05
0.03747658444979307,0.0014044943820224719,0.0014044943820224719,0.9985955056179775,0.0,0.0,0.0,"[[711   1]
 [  0   0]]",48,75,0.1
