features,threshold,pvalue,fvalue,root_mean_squared_error,mean_absolute_error,mean_squared_error,confidence,accuracy,precision,recall,f1_score,f-value,confusion matrix
"['Open Price GR', 'High Price GR', 'WAP GR', 'Beta GR']",0.010000,0.050000,9.042272,0.517838,0.268156,0.268156,0.731844,0.731844,0.750000,0.012397,0.024390,4.549414,"[[652   1]
 [239   3]]"
"['Open Price GR', 'High Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', 'Deliverable Quantity GR', 'Beta GR', 'Income GR']",0.010000,0.100000,9.042272,0.517838,0.268156,0.268156,0.731844,0.731844,0.750000,0.012397,0.024390,4.993117,"[[652   1]
 [239   3]]"
"['Open Price GR', 'High Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', 'Deliverable Quantity GR', 'Beta GR', 'Income GR']",0.010000,0.150000,9.042272,0.517838,0.268156,0.268156,0.731844,0.731844,0.750000,0.012397,0.024390,4.993117,"[[652   1]
 [239   3]]"
"['Open Price GR', 'High Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', 'Deliverable Quantity GR', 'Beta GR', 'Income GR']",0.010000,0.200000,9.042272,0.517838,0.268156,0.268156,0.731844,0.731844,0.750000,0.012397,0.024390,4.993117,"[[652   1]
 [239   3]]"
"['Open Price GR', 'High Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', 'Deliverable Quantity GR', 'Beta GR', 'Income GR']",0.010000,0.250000,9.042272,0.517838,0.268156,0.268156,0.731844,0.731844,0.750000,0.012397,0.024390,4.993117,"[[652   1]
 [239   3]]"
"['Open Price GR', 'High Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', 'No. of Trades GR', 'Deliverable Quantity GR', 'Spread Close-Open GR', 'Alpha GR', 'Beta GR', 'Revenue GR', 'Dividend Value GR', 'Income GR', 'Expenditure GR', 'Net Profit GR']",0.010000,0.703409,0.100000,0.519991,0.270391,0.270391,0.729609,0.729609,0.000000,0.000000,0.000000,7.731565,"[[653   0]
 [242   0]]"
"['Open Price GR', 'High Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', 'Deliverable Quantity GR', 'Beta GR', 'Revenue GR', 'Income GR', 'Net Profit GR']",0.010000,0.444079,0.500000,0.517838,0.268156,0.268156,0.731844,0.731844,0.750000,0.012397,0.024390,7.848150,"[[652   1]
 [239   3]]"
"['Open Price GR', 'High Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', 'Deliverable Quantity GR', 'Beta GR', 'Income GR']",0.010000,0.083271,1.000000,0.517838,0.268156,0.268156,0.731844,0.731844,0.750000,0.012397,0.024390,4.993117,"[[652   1]
 [239   3]]"
"['Open Price GR', 'High Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', 'Deliverable Quantity GR', 'Beta GR', 'Income GR']",0.010000,0.083271,2.000000,0.517838,0.268156,0.268156,0.731844,0.731844,0.750000,0.012397,0.024390,4.993117,"[[652   1]
 [239   3]]"
"['Open Price GR', 'Beta GR']",0.010000,0.007002,5.000000,0.517838,0.268156,0.268156,0.731844,0.731844,0.750000,0.012397,0.024390,9.013456,"[[652   1]
 [239   3]]"
