accuracy,confusion matrix,f1_score,mean_absolute_error,mean_squared_error,metric,n_neighbors,precision,recall,root_mean_squared_error,rsquared_adj,security id,threshold,weights
0.6488888888888888,"[[584   0]
 [316   0]]",0.0,0.3511111111111111,0.3511111111111111,euclidean,96.0,0.0,0.0,0.5925462944877059,-0.5410958904109591,500182,0.005,uniform
0.7544444444444445,"[[679   0]
 [221   0]]",0.0,0.24555555555555555,0.24555555555555555,euclidean,36.0,0.0,0.0,0.49553562491061687,-0.3254786450662739,500182,0.01,uniform
0.8955555555555555,"[[806   0]
 [ 94   0]]",0.0,0.10444444444444445,0.10444444444444445,euclidean,11.0,0.0,0.0,0.3231786571610886,-0.11662531017369737,500182,0.02,uniform
0.9577777777777777,"[[862   0]
 [ 38   0]]",0.0,0.042222222222222223,0.042222222222222223,euclidean,6.0,0.0,0.0,0.20548046676563256,-0.044083526682134444,500182,0.03,uniform
0.9777777777777777,"[[880   0]
 [ 20   0]]",0.0,0.022222222222222223,0.022222222222222223,euclidean,4.0,0.0,0.0,0.14907119849998599,-0.022727272727272707,500182,0.04,uniform
0.9866666666666667,"[[888   0]
 [ 12   0]]",0.0,0.013333333333333334,0.013333333333333334,euclidean,2.0,0.0,0.0,0.11547005383792516,-0.013513513513513153,500182,0.05,uniform
0.6696329254727474,"[[602   0]
 [297   0]]",0.0,0.3303670745272525,0.3303670745272525,euclidean,91.0,0.0,0.0,0.5747756732215208,-0.4933554817275747,500209,0.005,uniform
0.7953281423804227,"[[715   0]
 [184   0]]",0.0,0.20467185761957732,0.20467185761957732,euclidean,41.0,0.0,0.0,0.45240673914031976,-0.25734265734265716,500209,0.01,uniform
0.9121245828698554,"[[820   0]
 [ 79   0]]",0.0,0.0878754171301446,0.0878754171301446,euclidean,11.0,0.0,0.0,0.29643788072738714,-0.09634146341463401,500209,0.02,uniform
0.9555061179087876,"[[859   0]
 [ 40   0]]",0.0,0.04449388209121246,0.04449388209121246,euclidean,6.0,0.0,0.0,0.21093572976433475,-0.046565774155995054,500209,0.03,uniform
0.9799777530589544,"[[881   0]
 [ 18   0]]",0.0,0.020022246941045607,0.020022246941045607,euclidean,4.0,0.0,0.0,0.14149998919097345,-0.020431328036322416,500209,0.04,uniform
0.9877641824249166,"[[888   0]
 [ 11   0]]",0.0,0.012235817575083427,0.012235817575083427,euclidean,4.0,0.0,0.0,0.11061562988603114,-0.012387387387387871,500209,0.05,uniform
0.6511363636363636,"[[573   0]
 [307   0]]",0.0,0.3488636363636364,0.3488636363636364,euclidean,96.0,0.0,0.0,0.5906467949321628,-0.5357766143106459,500680,0.005,uniform
0.7818181818181819,"[[687   1]
 [191   1]]",0.010309278350515462,0.21818181818181817,0.21818181818181817,manhattan,22.0,0.5,0.005208333333333333,0.46709936649691375,-0.2790697674418603,500680,0.01,distance
0.9181818181818182,"[[808   0]
 [ 72   0]]",0.0,0.08181818181818182,0.08181818181818182,manhattan,6.0,0.0,0.0,0.28603877677367767,-0.08910891089108919,500680,0.02,uniform
