accuracy,precision,recall,f1_score,confusion matrix,root_mean_squared_error,mean_absolute_error,mean_squared_error,rsquared_adj,threshold,batch_size,epochs,units
0.7474972191323693,0.0,0.0,0.0,"[[672   0]
 [227   0]]",0.5024965481151396,0.2525027808676307,0.2525027808676307,-0.3377976190476195,0.01,25,25,25
0.8987764182424917,0.0,0.0,0.0,"[[808   0]
 [ 91   0]]",0.3181565365625989,0.10122358175750834,0.10122358175750834,-0.11262376237623783,0.02,25,25,25
0.949944382647386,0.0,0.0,0.0,"[[854   0]
 [ 45   0]]",0.22373112736634126,0.05005561735261402,0.05005561735261402,-0.052693208430913074,0.03,25,25,25
0.9733036707452726,0.0,0.0,0.0,"[[875   0]
 [ 24   0]]",0.16339011369947534,0.026696329254727477,0.026696329254727477,-0.027428571428570914,0.04,25,25,25
0.7441601779755284,0.3333333333333333,0.013215859030837005,0.02542372881355932,"[[666   6]
 [224   3]]",0.5058061110983848,0.25583982202447164,0.25583982202447164,-0.3554777637927422,0.01,25,50,25
0.8987764182424917,0.0,0.0,0.0,"[[808   0]
 [ 91   0]]",0.3181565365625989,0.10122358175750834,0.10122358175750834,-0.11262376237623783,0.02,25,50,25
0.9510567296996663,1.0,0.022222222222222223,0.04347826086956522,"[[854   0]
 [ 44   1]]",0.2212312597720623,0.048943270300333706,0.048943270300333706,-0.02930002602133741,0.03,25,50,25
0.9733036707452726,0.0,0.0,0.0,"[[875   0]
 [ 24   0]]",0.16339011369947534,0.026696329254727477,0.026696329254727477,-0.027428571428570914,0.04,25,50,25
0.7441601779755284,0.38461538461538464,0.022026431718061675,0.04166666666666667,"[[664   8]
 [222   5]]",0.5058061110983848,0.25583982202447164,0.25583982202447164,-0.3554777637927422,0.01,25,75,25
0.8976640711902113,0.3333333333333333,0.01098901098901099,0.02127659574468085,"[[806   2]
 [ 90   1]]",0.3198998731006136,0.10233592880978866,0.10233592880978866,-0.12485039712762491,0.02,25,75,25
0.9521690767519466,0.75,0.06666666666666667,0.12244897959183675,"[[853   1]
 [ 42   3]]",0.2187028194789756,0.047830923248053395,0.047830923248053395,-0.005906843611761525,0.03,25,75,25
0.9744160177975528,1.0,0.041666666666666664,0.07999999999999999,"[[875   0]
 [ 23   1]]",0.1599499365503068,0.025583982202447165,0.025583982202447165,0.015380952380952828,0.04,25,75,25
0.7352614015572859,0.3103448275862069,0.039647577092511016,0.0703125,"[[652  20]
 [218   9]]",0.5145275487694649,0.26473859844271413,0.26473859844271413,-0.4026248164464028,0.01,25,100,25
0.8987764182424917,0.5,0.03296703296703297,0.061855670103092786,"[[805   3]
 [ 88   3]]",0.3181565365625989,0.10122358175750834,0.10122358175750834,-0.11262376237623783,0.02,25,100,25
0.9488320355951056,0.4,0.044444444444444446,0.07999999999999999,"[[851   3]
 [ 43   2]]",0.22620336957015988,0.05116796440489433,0.05116796440489433,-0.07608639084048896,0.03,25,100,25
0.9733036707452726,0.5,0.041666666666666664,0.07692307692307693,"[[874   1]
 [ 23   1]]",0.16339011369947534,0.026696329254727477,0.026696329254727477,-0.027428571428570914,0.04,25,100,25
0.7474972191323693,0.0,0.0,0.0,"[[672   0]
 [227   0]]",0.5024965481151396,0.2525027808676307,0.2525027808676307,-0.3377976190476195,0.01,32,25,25
0.8987764182424917,0.0,0.0,0.0,"[[808   0]
 [ 91   0]]",0.3181565365625989,0.10122358175750834,0.10122358175750834,-0.11262376237623783,0.02,32,25,25
0.949944382647386,0.0,0.0,0.0,"[[854   0]
 [ 45   0]]",0.22373112736634126,0.05005561735261402,0.05005561735261402,-0.052693208430913074,0.03,32,25,25
0.9733036707452726,0.0,0.0,0.0,"[[875   0]
 [ 24   0]]",0.16339011369947534,0.026696329254727477,0.026696329254727477,-0.027428571428570914,0.04,32,25,25
0.7486095661846496,1.0,0.004405286343612335,0.008771929824561405,"[[672   0]
 [226   1]]",0.5013885058668082,0.25139043381535037,0.25139043381535037,-0.331904237465912,0.01,32,50,25
