features,threshold,pvalue,fvalue,root_mean_squared_error,mean_absolute_error,mean_squared_error,confidence,accuracy,precision,recall,f1_score,f-value,confusion matrix
"['Open Price GR', 'Low Price GR', 'Close Price GR', 'No. of Trades GR', 'Spread Close-Open GR']",0.010000,0.050000,8.186703,0.468314,0.219318,0.219318,0.780682,0.780682,0.000000,0.000000,0.000000,6.727722,"[[687   1]
 [192   0]]"
"['Open Price GR', 'Low Price GR', 'Close Price GR', 'No. of Trades GR', 'Spread Close-Open GR', 'Beta GR', 'Dividend Value GR', 'Income GR', 'Expenditure GR']",0.010000,0.100000,8.186703,0.468314,0.219318,0.219318,0.780682,0.780682,0.000000,0.000000,0.000000,5.022878,"[[687   1]
 [192   0]]"
"['Open Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', 'No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Spread Close-Open GR', 'Beta GR', 'Dividend Value GR', 'Income GR', 'Expenditure GR']",0.010000,0.150000,8.186703,0.468314,0.219318,0.219318,0.780682,0.780682,0.000000,0.000000,0.000000,7.541244,"[[687   1]
 [192   0]]"
"['Open Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', 'No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Spread Close-Open GR', 'Beta GR', 'Dividend Value GR', 'Income GR', 'Expenditure GR']",0.010000,0.200000,8.186703,0.468314,0.219318,0.219318,0.780682,0.780682,0.000000,0.000000,0.000000,7.541244,"[[687   1]
 [192   0]]"
"['Open Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', 'No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Deliverable Quantity GR', 'Spread High-Low GR', 'Spread Close-Open GR', 'Beta GR', 'Dividend Value GR', 'Income GR', 'Expenditure GR']",0.010000,0.250000,8.186703,0.468314,0.219318,0.219318,0.780682,0.780682,0.000000,0.000000,0.000000,7.447053,"[[687   1]
 [192   0]]"
"['Open Price GR', 'High Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', 'No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Deliverable Quantity GR', '% Deli. Qty to Traded Qty GR', 'Spread High-Low GR', 'Spread Close-Open GR', 'Alpha GR', 'Beta GR', 'Revenue GR', 'Dividend Value GR', 'Income GR', 'Expenditure GR', 'Net Profit GR']",0.010000,0.593765,0.100000,0.468314,0.219318,0.219318,0.780682,0.780682,0.000000,0.000000,0.000000,8.405530,"[[687   1]
 [192   0]]"
"['Open Price GR', 'High Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', 'No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Deliverable Quantity GR', '% Deli. Qty to Traded Qty GR', 'Spread High-Low GR', 'Spread Close-Open GR', 'Beta GR', 'Dividend Value GR', 'Income GR', 'Expenditure GR']",0.010000,0.324717,0.500000,0.468314,0.219318,0.219318,0.780682,0.780682,0.000000,0.000000,0.000000,7.615876,"[[687   1]
 [192   0]]"
"['Open Price GR', 'High Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', 'No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Deliverable Quantity GR', 'Spread High-Low GR', 'Spread Close-Open GR', 'Beta GR', 'Dividend Value GR', 'Income GR', 'Expenditure GR']",0.010000,0.265840,1.000000,0.468314,0.219318,0.219318,0.780682,0.780682,0.000000,0.000000,0.000000,8.115654,"[[687   1]
 [192   0]]"
"['Open Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', 'No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Spread Close-Open GR', 'Beta GR', 'Dividend Value GR', 'Income GR', 'Expenditure GR']",0.010000,0.130657,2.000000,0.468314,0.219318,0.219318,0.780682,0.780682,0.000000,0.000000,0.000000,7.541244,"[[687   1]
 [192   0]]"
"['Low Price GR', 'Close Price GR', 'No. of Trades GR', 'Spread Close-Open GR']",0.010000,0.023411,5.000000,0.468314,0.219318,0.219318,0.780682,0.780682,0.000000,0.000000,0.000000,8.374713,"[[687   1]
 [192   0]]"
