root_mean_squared_error,mean_absolute_error,mean_squared_error,rsquared_adj,std,best-std,direction
0.02810060196081586,0.009628315298462526,0.0007896438305602081,0.0017557730735869859,0.0,0.8429999999999993,1.0
0.028111790040643576,0.009629148757682449,0.0007902727392892275,0.000960725377764704,0.1,0.9399999999999992,1.0
0.027820058125680412,0.009603222766916048,0.0007739556341162367,0.021588324060494046,0.2,0.5999999999999995,1.0
0.028115104031052454,0.009629358781049492,0.000790459074676902,0.0007251657269202738,0.30000000000000004,0.9909999999999992,1.0
0.028103565531100695,0.00962854728091512,0.000789810395560871,0.0015452065575390916,0.4,0.8619999999999993,1.0
0.028112461175535425,0.009629193457596238,0.0007903104733459866,0.0009130231063601002,0.5,0.9489999999999992,1.0
0.028113425290549103,0.00962925591340302,0.000790364681567286,0.0008444946864956115,0.6000000000000001,0.9629999999999992,1.0
0.02810283431823316,0.0096284905666643,0.0007897692967180634,0.0015971624913136973,0.7000000000000001,0.8569999999999993,1.0
0.02811493828314746,0.009629349003349877,0.0007904497546651906,0.0007369478083166792,0.8,0.9879999999999992,1.0
0.028115426345893674,0.00962937752991791,0.0007904771986113722,0.0007022539884201651,0.9,0.9969999999999992,1.0
0.028113091501357233,0.009629234540627597,0.0007903459137636843,0.0008682203851870796,1.0,0.9579999999999992,1.0
