features,threshold,pvalue,fvalue,root_mean_squared_error,mean_absolute_error,mean_squared_error,confidence,accuracy,precision,recall,f1_score,f-value,confusion matrix
"['No. of Trades GR', 'Spread High-Low GR', 'Beta GR', 'Dividend Value GR', 'Income GR', 'Expenditure GR']",0.030000,0.200000,16.600723,0.210936,0.044494,0.044494,0.955506,0.955506,0.000000,0.000000,0.000000,8.891467,"[[859   0]
 [ 40   0]]"
"['No. of Trades GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR', 'Dividend Value GR', 'Income GR', 'Expenditure GR']",0.030000,0.250000,16.600723,0.210936,0.044494,0.044494,0.955506,0.955506,0.000000,0.000000,0.000000,7.684014,"[[859   0]
 [ 40   0]]"
"['Open Price GR', 'High Price GR', 'Low Price GR', 'Close Price GR', 'No. of Trades GR', 'Deliverable Quantity GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR', 'Revenue GR', 'Dividend Value GR', 'Income GR', 'Expenditure GR', 'Net Profit GR']",0.030000,0.679392,0.100000,0.210936,0.044494,0.044494,0.955506,0.955506,0.000000,0.000000,0.000000,7.629936,"[[859   0]
 [ 40   0]]"
"['High Price GR', 'Low Price GR', 'No. of Trades GR', 'Deliverable Quantity GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR', 'Dividend Value GR', 'Income GR', 'Expenditure GR', 'Net Profit GR']",0.030000,0.464902,0.500000,0.210936,0.044494,0.044494,0.955506,0.955506,0.000000,0.000000,0.000000,8.206823,"[[859   0]
 [ 40   0]]"
"['No. of Trades GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR', 'Dividend Value GR', 'Income GR', 'Expenditure GR']",0.030000,0.211206,1.000000,0.210936,0.044494,0.044494,0.955506,0.955506,0.000000,0.000000,0.000000,7.684014,"[[859   0]
 [ 40   0]]"
"['No. of Trades GR', 'Spread High-Low GR', 'Beta GR', 'Dividend Value GR', 'Income GR', 'Expenditure GR']",0.030000,0.145973,2.000000,0.210936,0.044494,0.044494,0.955506,0.955506,0.000000,0.000000,0.000000,8.891467,"[[859   0]
 [ 40   0]]"
"['No. of Trades GR', 'Beta GR']",0.030000,0.009963,5.000000,0.210936,0.044494,0.044494,0.955506,0.955506,0.000000,0.000000,0.000000,19.016098,"[[859   0]
 [ 40   0]]"
['Beta GR'],0.030000,0.000047,10.000000,0.210936,0.044494,0.044494,0.955506,0.955506,0.000000,0.000000,0.000000,19.288451,"[[859   0]
 [ 40   0]]"
[],0.030000,,100.000000,,,,,,,,,,
"['No. of Trades GR', 'Spread High-Low GR', 'Beta GR']",0.040000,0.050000,38.367789,0.141500,0.020022,0.020022,0.979978,0.979978,0.000000,0.000000,0.000000,25.023623,"[[881   0]
 [ 18   0]]"
"['No. of Trades GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR']",0.040000,0.100000,38.367789,0.141500,0.020022,0.020022,0.979978,0.979978,0.000000,0.000000,0.000000,19.019257,"[[881   0]
 [ 18   0]]"
"['No. of Trades GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR']",0.040000,0.150000,38.367789,0.141500,0.020022,0.020022,0.979978,0.979978,0.000000,0.000000,0.000000,19.019257,"[[881   0]
 [ 18   0]]"
"['No. of Trades GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR']",0.040000,0.200000,38.367789,0.141500,0.020022,0.020022,0.979978,0.979978,0.000000,0.000000,0.000000,19.019257,"[[881   0]
 [ 18   0]]"
"['No. of Trades GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR']",0.040000,0.250000,38.367789,0.141500,0.020022,0.020022,0.979978,0.979978,0.000000,0.000000,0.000000,19.019257,"[[881   0]
 [ 18   0]]"
"['High Price GR', 'Low Price GR', 'No. of Trades GR', 'Deliverable Quantity GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR', 'Revenue GR', 'Dividend Value GR', 'Income GR', 'Expenditure GR', 'Net Profit GR']",0.040000,0.691198,0.100000,0.141500,0.020022,0.020022,0.979978,0.979978,0.000000,0.000000,0.000000,11.983936,"[[881   0]
 [ 18   0]]"
"['High Price GR', 'Low Price GR', 'No. of Trades GR', 'Deliverable Quantity GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR', 'Income GR', 'Net Profit GR']",0.040000,0.420405,0.500000,0.141500,0.020022,0.020022,0.979978,0.979978,0.000000,0.000000,0.000000,15.426855,"[[881   0]
 [ 18   0]]"
"['Low Price GR', 'No. of Trades GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR', 'Income GR']",0.040000,0.286043,1.000000,0.141500,0.020022,0.020022,0.979978,0.979978,0.000000,0.000000,0.000000,15.410841,"[[881   0]
 [ 18   0]]"
"['No. of Trades GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR']",0.040000,0.062579,2.000000,0.141500,0.020022,0.020022,0.979978,0.979978,0.000000,0.000000,0.000000,19.019257,"[[881   0]
 [ 18   0]]"
"['No. of Trades GR', 'Beta GR']",0.040000,0.000044,5.000000,0.141500,0.020022,0.020022,0.979978,0.979978,0.000000,0.000000,0.000000,35.014476,"[[881   0]
 [ 18   0]]"
"['No. of Trades GR', 'Beta GR']",0.040000,0.000044,10.000000,0.141500,0.020022,0.020022,0.979978,0.979978,0.000000,0.000000,0.000000,35.014476,"[[881   0]
 [ 18   0]]"
[],0.040000,,100.000000,,,,,,,,,,
"['No. of Trades GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR']",0.050000,0.050000,54.722305,0.110616,0.012236,0.012236,0.987764,0.987764,0.000000,0.000000,0.000000,28.350875,"[[888   0]
 [ 11   0]]"
"['Low Price GR', 'No. of Trades GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR']",0.050000,0.100000,54.722305,0.110616,0.012236,0.012236,0.987764,0.987764,0.000000,0.000000,0.000000,28.605445,"[[888   0]
 [ 11   0]]"
"['Low Price GR', 'No. of Trades GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR']",0.050000,0.150000,54.722305,0.110616,0.012236,0.012236,0.987764,0.987764,0.000000,0.000000,0.000000,28.605445,"[[888   0]
 [ 11   0]]"
"['Low Price GR', 'No. of Trades GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR']",0.050000,0.200000,54.722305,0.110616,0.012236,0.012236,0.987764,0.987764,0.000000,0.000000,0.000000,28.605445,"[[888   0]
 [ 11   0]]"
"['High Price GR', 'Low Price GR', 'No. of Trades GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR', 'Net Profit GR']",0.050000,0.250000,54.722305,0.110616,0.012236,0.012236,0.987764,0.987764,0.000000,0.000000,0.000000,30.138801,"[[888   0]
 [ 11   0]]"
"['Open Price GR', 'High Price GR', 'Low Price GR', 'No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Deliverable Quantity GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR', 'Revenue GR', 'Dividend Value GR', 'Income GR', 'Expenditure GR', 'Net Profit GR']",0.050000,0.743602,0.100000,0.110616,0.012236,0.012236,0.987764,0.987764,0.000000,0.000000,0.000000,14.394525,"[[888   0]
 [ 11   0]]"
"['High Price GR', 'Low Price GR', 'No.of Shares GR', 'No. of Trades GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR', 'Net Profit GR']",0.050000,0.453948,0.500000,0.110616,0.012236,0.012236,0.987764,0.987764,0.000000,0.000000,0.000000,26.395729,"[[888   0]
 [ 11   0]]"
"['High Price GR', 'Low Price GR', 'No. of Trades GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR', 'Net Profit GR']",0.050000,0.247117,1.000000,0.110616,0.012236,0.012236,0.987764,0.987764,0.000000,0.000000,0.000000,30.138801,"[[888   0]
 [ 11   0]]"
"['Low Price GR', 'No. of Trades GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR']",0.050000,0.082956,2.000000,0.110616,0.012236,0.012236,0.987764,0.987764,0.000000,0.000000,0.000000,28.605445,"[[888   0]
 [ 11   0]]"
"['No. of Trades GR', 'Spread High-Low GR', 'Beta GR']",0.050000,0.013710,5.000000,0.110616,0.012236,0.012236,0.987764,0.987764,0.000000,0.000000,0.000000,37.248045,"[[888   0]
 [ 11   0]]"
"['No. of Trades GR', 'Beta GR']",0.050000,0.000000,10.000000,0.110616,0.012236,0.012236,0.987764,0.987764,0.000000,0.000000,0.000000,50.603844,"[[888   0]
 [ 11   0]]"
[],0.050000,,100.000000,,,,,,,,,,
"['High Price GR', 'No. of Trades GR', 'Alpha GR', 'Beta GR']",0.060000,0.050000,93.501504,0.088241,0.007786,0.007786,0.992214,0.992214,0.000000,0.000000,0.000000,47.323830,"[[892   0]
 [  7   0]]"
"['High Price GR', 'No.of Shares GR', 'No. of Trades GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR']",0.060000,0.100000,93.501504,0.088241,0.007786,0.007786,0.992214,0.992214,0.000000,0.000000,0.000000,33.607400,"[[892   0]
 [  7   0]]"
"['High Price GR', 'No.of Shares GR', 'No. of Trades GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR']",0.060000,0.150000,93.501504,0.088241,0.007786,0.007786,0.992214,0.992214,0.000000,0.000000,0.000000,33.607400,"[[892   0]
 [  7   0]]"
"['High Price GR', 'No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR', 'Net Profit GR']",0.060000,0.200000,93.501504,0.088241,0.007786,0.007786,0.992214,0.992214,0.000000,0.000000,0.000000,26.664740,"[[892   0]
 [  7   0]]"
"['High Price GR', 'Close Price GR', 'WAP GR', 'No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR', 'Net Profit GR']",0.060000,0.250000,93.501504,0.088241,0.007786,0.007786,0.992214,0.992214,0.000000,0.000000,0.000000,23.543082,"[[892   0]
 [  7   0]]"
"['Open Price GR', 'High Price GR', 'Close Price GR', 'WAP GR', 'No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Deliverable Quantity GR', '% Deli. Qty to Traded Qty GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR', 'Revenue GR', 'Dividend Value GR', 'Income GR', 'Expenditure GR', 'Net Profit GR']",0.060000,0.734041,0.100000,0.088241,0.007786,0.007786,0.992214,0.992214,0.000000,0.000000,0.000000,15.014450,"[[892   0]
 [  7   0]]"
"['Open Price GR', 'High Price GR', 'Close Price GR', 'WAP GR', 'No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR', 'Net Profit GR']",0.060000,0.316668,0.500000,0.088241,0.007786,0.007786,0.992214,0.992214,0.000000,0.000000,0.000000,22.717545,"[[892   0]
 [  7   0]]"
"['Open Price GR', 'High Price GR', 'Close Price GR', 'WAP GR', 'No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR', 'Net Profit GR']",0.060000,0.316668,1.000000,0.088241,0.007786,0.007786,0.992214,0.992214,0.000000,0.000000,0.000000,22.717545,"[[892   0]
 [  7   0]]"
"['High Price GR', 'No.of Shares GR', 'No. of Trades GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR', 'Net Profit GR']",0.060000,0.152589,2.000000,0.088241,0.007786,0.007786,0.992214,0.992214,0.000000,0.000000,0.000000,29.838929,"[[892   0]
 [  7   0]]"
"['No. of Trades GR', 'Alpha GR', 'Beta GR']",0.060000,0.006274,5.000000,0.088241,0.007786,0.007786,0.992214,0.992214,0.000000,0.000000,0.000000,63.125267,"[[892   0]
 [  7   0]]"
"['No. of Trades GR', 'Beta GR']",0.060000,0.000000,10.000000,0.088241,0.007786,0.007786,0.992214,0.992214,0.000000,0.000000,0.000000,91.856022,"[[892   0]
 [  7   0]]"
[],0.060000,,100.000000,,,,,,,,,,
"['High Price GR', 'No. of Trades GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR']",0.070000,0.050000,115.403206,0.057767,0.003337,0.003337,0.996663,0.996663,0.000000,0.000000,0.000000,50.967160,"[[896   0]
 [  3   0]]"
