features,threshold,pvalue,fvalue,root_mean_squared_error,mean_absolute_error,mean_squared_error,confidence,accuracy,precision,recall,f1_score,f-value,confusion matrix
['Net Profit GR'],0.010000,0.050000,6.230825,0.484123,0.234375,0.234375,0.765625,0.765625,0.000000,0.000000,0.000000,58.721393,"[[637   0]
 [195   0]]"
"['Spread High-Low GR', 'Expenditure GR', 'Net Profit GR']",0.010000,0.100000,6.230825,0.484123,0.234375,0.234375,0.765625,0.765625,0.000000,0.000000,0.000000,24.892535,"[[637   0]
 [195   0]]"
"['Spread High-Low GR', 'Expenditure GR', 'Net Profit GR']",0.010000,0.150000,6.230825,0.484123,0.234375,0.234375,0.765625,0.765625,0.000000,0.000000,0.000000,24.892535,"[[637   0]
 [195   0]]"
"['No. of Trades GR', 'Spread High-Low GR', 'Expenditure GR', 'Net Profit GR']",0.010000,0.200000,6.230825,0.484123,0.234375,0.234375,0.765625,0.765625,0.000000,0.000000,0.000000,20.416265,"[[637   0]
 [195   0]]"
"['No. of Trades GR', 'Deliverable Quantity GR', 'Spread High-Low GR', 'Expenditure GR', 'Net Profit GR']",0.010000,0.250000,6.230825,0.484123,0.234375,0.234375,0.765625,0.765625,0.000000,0.000000,0.000000,16.902308,"[[637   0]
 [195   0]]"
"['No. of Trades GR', 'Deliverable Quantity GR', '% Deli. Qty to Traded Qty GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR', 'Revenue GR', 'Dividend Value GR', 'Expenditure GR', 'Net Profit GR']",0.010000,0.653139,0.100000,0.484123,0.234375,0.234375,0.765625,0.765625,0.000000,0.000000,0.000000,19.473505,"[[637   0]
 [195   0]]"
"['No. of Trades GR', 'Deliverable Quantity GR', '% Deli. Qty to Traded Qty GR', 'Spread High-Low GR', 'Revenue GR', 'Dividend Value GR', 'Expenditure GR', 'Net Profit GR']",0.010000,0.374304,0.500000,0.484123,0.234375,0.234375,0.765625,0.765625,0.000000,0.000000,0.000000,24.356971,"[[637   0]
 [195   0]]"
"['No. of Trades GR', 'Deliverable Quantity GR', '% Deli. Qty to Traded Qty GR', 'Spread High-Low GR', 'Expenditure GR', 'Net Profit GR']",0.010000,0.292366,1.000000,0.484123,0.234375,0.234375,0.765625,0.765625,0.000000,0.000000,0.000000,14.821428,"[[637   0]
 [195   0]]"
"['Spread High-Low GR', 'Expenditure GR', 'Net Profit GR']",0.010000,0.065994,2.000000,0.484123,0.234375,0.234375,0.765625,0.765625,0.000000,0.000000,0.000000,24.892535,"[[637   0]
 [195   0]]"
['Net Profit GR'],0.010000,0.012612,5.000000,0.484123,0.234375,0.234375,0.765625,0.765625,0.000000,0.000000,0.000000,58.721393,"[[637   0]
 [195   0]]"
[],0.010000,,10.000000,,,,,,,,,,
[],0.010000,,100.000000,,,,,,,,,,
[],0.020000,0.050000,,,,,,,,,,,
"['No. of Trades GR', 'Dividend Value GR', 'Expenditure GR']",0.020000,0.100000,3.842688,0.336126,0.112981,0.112981,0.887019,0.887019,0.000000,0.000000,0.000000,10.935515,"[[738   0]
 [ 94   0]]"
"['Close Price GR', 'No. of Trades GR', 'Spread High-Low GR', 'Dividend Value GR', 'Expenditure GR']",0.020000,0.150000,3.842688,0.336126,0.112981,0.112981,0.887019,0.887019,0.000000,0.000000,0.000000,7.003183,"[[738   0]
 [ 94   0]]"
