features,threshold,pvalue,fvalue,root_mean_squared_error,mean_absolute_error,mean_squared_error,confidence,accuracy,precision,recall,f1_score,f-value,confusion matrix
"['Open Price GR', 'High Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', 'Alpha GR', 'Revenue GR', 'Expenditure GR']",0.010000,0.050000,7.711890,0.538082,0.289532,0.289532,0.710468,0.710468,1.000000,0.007634,0.015152,8.126947,"[[636   0]
 [260   2]]"
"['Open Price GR', 'High Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', 'Alpha GR', 'Beta GR', 'Revenue GR', 'Expenditure GR']",0.010000,0.100000,7.711890,0.538082,0.289532,0.289532,0.710468,0.710468,1.000000,0.007634,0.015152,7.584976,"[[636   0]
 [260   2]]"
"['Open Price GR', 'High Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', 'Alpha GR', 'Beta GR', 'Revenue GR', 'Dividend Value GR', 'Expenditure GR']",0.010000,0.150000,7.711890,0.538082,0.289532,0.289532,0.710468,0.710468,1.000000,0.007634,0.015152,32.223228,"[[636   0]
 [260   2]]"
"['Open Price GR', 'High Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', 'Alpha GR', 'Beta GR', 'Revenue GR', 'Dividend Value GR', 'Expenditure GR']",0.010000,0.200000,7.711890,0.538082,0.289532,0.289532,0.710468,0.710468,1.000000,0.007634,0.015152,32.223228,"[[636   0]
 [260   2]]"
"['Open Price GR', 'High Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', 'Alpha GR', 'Beta GR', 'Revenue GR', 'Dividend Value GR', 'Expenditure GR']",0.010000,0.250000,7.711890,0.538082,0.289532,0.289532,0.710468,0.710468,1.000000,0.007634,0.015152,32.223228,"[[636   0]
 [260   2]]"
"['Open Price GR', 'High Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', 'No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Deliverable Quantity GR', '% Deli. Qty to Traded Qty GR', 'Spread High-Low GR', 'Spread Close-Open GR', 'Alpha GR', 'Beta GR', 'Revenue GR', 'Dividend Value GR', 'Income GR', 'Expenditure GR', 'Net Profit GR']",0.010000,0.674989,0.100000,0.538082,0.289532,0.289532,0.710468,0.710468,1.000000,0.007634,0.015152,19.608201,"[[636   0]
 [260   2]]"
"['Open Price GR', 'High Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', 'No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Alpha GR', 'Beta GR', 'Revenue GR', 'Dividend Value GR', 'Income GR', 'Expenditure GR', 'Net Profit GR']",0.010000,0.425713,0.500000,0.538082,0.289532,0.289532,0.710468,0.710468,1.000000,0.007634,0.015152,23.150177,"[[636   0]
 [260   2]]"
"['Open Price GR', 'High Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', 'Alpha GR', 'Beta GR', 'Revenue GR', 'Dividend Value GR', 'Income GR', 'Expenditure GR']",0.010000,0.301410,1.000000,0.538082,0.289532,0.289532,0.710468,0.710468,1.000000,0.007634,0.015152,29.594430,"[[636   0]
 [260   2]]"
"['Open Price GR', 'High Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', 'Alpha GR', 'Beta GR', 'Revenue GR', 'Dividend Value GR', 'Expenditure GR']",0.010000,0.142492,2.000000,0.538082,0.289532,0.289532,0.710468,0.710468,1.000000,0.007634,0.015152,32.223228,"[[636   0]
 [260   2]]"
"['High Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', 'Alpha GR', 'Revenue GR', 'Expenditure GR']",0.010000,0.020875,5.000000,0.538082,0.289532,0.289532,0.710468,0.710468,1.000000,0.007634,0.015152,9.285174,"[[636   0]
 [260   2]]"
[],0.010000,,10.000000,,,,,,,,,,
[],0.010000,,100.000000,,,,,,,,,,
