security id,threshold,batch_size,epochs,units,accuracy,precision,recall,f1_score
500112,0.01,25,75,100,0.678173719376392,0.4,0.21455938697318008,0.2793017456359102
500112,0.02,25,100,100,0.8240534521158129,0.28846153846153844,0.11029411764705882,0.1595744680851064
500112,0.03,32,100,100,0.9031180400890868,0.27586206896551724,0.10810810810810813,0.15533980582524273
500112,0.04,48,100,25,0.9576837416481068,1.0,0.07317073170731707,0.13636363636363635
500180,0.01,32,100,100,0.750278706800446,0.2183908045977012,0.10857142857142857,0.1450381679389313
500180,0.02,25,100,100,0.8862876254180602,0.1276595744680851,0.08955223880597014,0.10526315789473682
500180,0.03,25,75,50,0.9565217391304348,0.3333333333333333,0.11428571428571427,0.1702127659574468
500180,0.04,25,75,50,0.9777034559643256,0.4,0.10526315789473684,0.16666666666666666
500182,0.01,25,100,100,0.7122222222222222,0.27380952380952384,0.10407239819004524,0.15081967213114753
500182,0.02,32,100,100,0.8833333333333333,0.2380952380952381,0.05319148936170213,0.08695652173913042
500182,0.03,25,75,75,0.9533333333333334,0.16666666666666666,0.02631578947368421,0.045454545454545456
500182,0.04,25,25,25,0.9777777777777776,0.0,0.0,0.0
500209,0.01,25,100,100,0.7474972191323693,0.2207792207792208,0.09239130434782608,0.13026819923371644
500209,0.02,25,100,100,0.8932146829810901,0.20689655172413796,0.0759493670886076,0.11111111111111112
500209,0.03,25,100,75,0.9466073414905449,0.16666666666666666,0.05,0.07692307692307691
500209,0.04,25,100,100,0.9733036707452726,0.125,0.05555555555555555,0.07692307692307691
500325,0.01,25,100,100,0.6829810901001112,0.2661290322580645,0.14537444933920704,0.188034188034188
500325,0.02,48,100,100,0.8876529477196885,0.3076923076923077,0.08791208791208792,0.13675213675213674
500325,0.03,25,100,100,0.9410456062291436,0.3,0.13333333333333333,0.18461538461538465
500325,0.04,32,100,75,0.971078976640712,0.375,0.125,0.1875
500680,0.01,25,100,100,0.7579545454545454,0.2765957446808511,0.06770833333333333,0.1087866108786611
500680,0.02,25,100,100,0.8988636363636363,0.13043478260869565,0.04166666666666666,0.06315789473684211
500680,0.03,25,25,25,0.9738636363636364,0.0,0.0,0.0
500680,0.04,25,25,25,0.9897727272727272,0.0,0.0,0.0
507685,0.01,32,100,100,0.7299107142857143,0.31297709923664124,0.21243523316062174,0.2530864197530864
507685,0.02,32,100,75,0.8839285714285714,0.34375,0.11702127659574467,0.1746031746031746
507685,0.03,25,100,100,0.9330357142857144,0.32142857142857145,0.18,0.23076923076923075
507685,0.04,32,100,75,0.9654017857142856,0.2857142857142857,0.16,0.20512820512820512
530965,0.01,48,100,100,0.7083798882681565,0.3882352941176471,0.13636363636363635,0.20183486238532108
530965,0.02,48,75,100,0.8681564245810056,0.5263157894736842,0.08403361344537816,0.14492753623188406
530965,0.03,48,100,50,0.9318435754189944,0.5384615384615384,0.1129032258064516,0.18666666666666668
530965,0.04,25,75,100,0.9664804469273744,0.625,0.15625,0.25
532174,0.01,32,100,100,0.6525612472160356,0.3310810810810811,0.1870229007633588,0.2390243902439025
532174,0.02,25,100,75,0.8184855233853007,0.30952380952380953,0.08843537414965986,0.13756613756613756
532174,0.03,25,100,100,0.9075723830734966,0.5,0.060240963855421686,0.10752688172043012
532174,0.04,25,100,100,0.9420935412026726,0.3888888888888889,0.14583333333333334,0.21212121212121213
532210,0.01,25,100,100,0.7235023041474654,0.3365384615384616,0.16990291262135926,0.2258064516129032
532210,0.02,48,100,50,0.8744239631336406,0.39130434782608703,0.08653846153846154,0.14173228346456693
532210,0.03,48,100,75,0.9377880184331796,0.3333333333333333,0.125,0.18181818181818185
532210,0.04,25,75,75,0.9700460829493088,0.5,0.07692307692307693,0.13333333333333336
532540,0.01,32,100,100,0.7331730769230769,0.2786885245901639,0.08717948717948718,0.13281249999999994
532540,0.02,25,100,100,0.8834134615384616,0.42857142857142855,0.09574468085106384,0.15652173913043474
532540,0.03,32,75,100,0.9435096153846154,0.3333333333333333,0.06818181818181818,0.11320754716981132
532540,0.04,25,100,50,0.9771634615384616,0.6666666666666666,0.1,0.1739130434782609
