features,threshold,pvalue,fvalue,root_mean_squared_error,mean_absolute_error,mean_squared_error,confidence,accuracy,precision,recall,f1_score,f-value,confusion matrix
[],0.010000,0.050000,,,,,,,,,,,
[],0.010000,0.100000,,,,,,,,,,,
['Deliverable Quantity GR'],0.010000,0.150000,2.109418,0.487162,0.237327,0.237327,0.762673,0.762673,0.000000,0.000000,0.000000,2.146109,"[[662   0]
 [206   0]]"
"['No.of Shares GR', 'Total Turnover (Rs.) GR', 'Deliverable Quantity GR']",0.010000,0.200000,2.109418,0.487162,0.237327,0.237327,0.762673,0.762673,0.000000,0.000000,0.000000,1.933994,"[[662   0]
 [206   0]]"
"['No.of Shares GR', 'Total Turnover (Rs.) GR', 'Deliverable Quantity GR', 'Revenue GR']",0.010000,0.250000,2.109418,0.487162,0.237327,0.237327,0.762673,0.762673,0.000000,0.000000,0.000000,34.383433,"[[662   0]
 [206   0]]"
"['Open Price GR', 'High Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', 'No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Deliverable Quantity GR', 'Spread High-Low GR', 'Beta GR', 'Revenue GR', 'Dividend Value GR', 'Income GR', 'Expenditure GR', 'Net Profit GR']",0.010000,0.707222,0.100000,0.487162,0.237327,0.237327,0.762673,0.762673,0.500000,0.009709,0.019048,16.418429,"[[660   2]
 [204   2]]"
"['Open Price GR', 'No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Deliverable Quantity GR', 'Revenue GR', 'Net Profit GR']",0.010000,0.479395,0.500000,0.487162,0.237327,0.237327,0.762673,0.762673,0.000000,0.000000,0.000000,25.194418,"[[662   0]
 [206   0]]"
"['No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Deliverable Quantity GR', 'Revenue GR']",0.010000,0.284292,1.000000,0.487162,0.237327,0.237327,0.762673,0.762673,0.000000,0.000000,0.000000,32.938193,"[[662   0]
 [206   0]]"
"['No.of Shares GR', 'Total Turnover (Rs.) GR', 'Deliverable Quantity GR']",0.010000,0.156995,2.000000,0.487162,0.237327,0.237327,0.762673,0.762673,0.000000,0.000000,0.000000,1.933994,"[[662   0]
 [206   0]]"
[],0.010000,,5.000000,,,,,,,,,,
[],0.010000,,10.000000,,,,,,,,,,
[],0.010000,,100.000000,,,,,,,,,,
"['No. of Trades GR', 'Net Profit GR']",0.020000,0.050000,6.548143,0.346144,0.119816,0.119816,0.880184,0.880184,0.000000,0.000000,0.000000,13.392894,"[[764   0]
 [104   0]]"
"['No. of Trades GR', 'Expenditure GR', 'Net Profit GR']",0.020000,0.100000,6.548143,0.346144,0.119816,0.119816,0.880184,0.880184,0.000000,0.000000,0.000000,19.328273,"[[764   0]
 [104   0]]"
"['No. of Trades GR', 'Revenue GR', 'Dividend Value GR', 'Expenditure GR', 'Net Profit GR']",0.020000,0.150000,6.548143,0.346144,0.119816,0.119816,0.880184,0.880184,0.000000,0.000000,0.000000,19.968993,"[[764   0]
 [104   0]]"
