company,root_mean_squared_error,mean_absolute_error,mean_squared_error,rsquared_adj,aic,bic,fvalue
gr500112.csv,0.28979609513229604,0.026026729194290263,0.08398177675392678,0.988419795310432,-10162.95252183275,-9592.670795865704,1786.6111072476808
gr500180.csv,0.04616830691378658,0.014646633373581177,0.002131512563285594,0.9251976169752373,-9393.639961650353,-8823.503107809509,259.37917773574844
gr500182.csv,0.01668140041121984,0.012150584762310276,0.0002782691196794454,0.3021497893530184,-11309.288799124015,-10750.110759064724,10.260304862306091
gr500209.csv,0.020525269737584385,0.014182975606288551,0.0004212866978005973,0.48138607648358345,-8747.606875042016,-8177.228682974036,20.43685656030628
gr500325.csv,0.02091584234048498,0.014819338117654714,0.0004374724608120242,0.3738155973314794,-8424.807571357549,-7854.381180768015,13.506598265176166
gr500680.csv,0.014809816565610265,0.010516398395726713,0.00021933066670702425,0.3153036029235501,-11349.874904623486,-10792.844454200711,10.544936701278447
gr507685.csv,0.14139787262279888,0.017914870093547256,0.019993358382253253,0.34807335058906597,-9884.733144501075,-9314.692987651819,12.14280392335189
gr530965.csv,0.03940583835817718,0.01723754408252222,0.0015528200967107881,0.37260918865909365,-8927.509661621309,-8357.51788800651,13.27203208348406
gr532174.csv,0.13679109905522596,0.023507043624373013,0.018711804780736644,0.9266275121003609,-9487.679759084203,-8917.349788549725,265.32678492228086
gr532210.csv,0.07458999778572667,0.01695783010219831,0.005563667769674709,0.24773535942041114,-9950.79782886423,-9383.852005930625,7.602691456141495
gr532540.csv,0.051523151351548294,0.015132189311720947,0.0026546351251945524,0.5678548098255025,-10410.521927144604,-9847.959233965095,26.466038879142623
