features,threshold,pvalue,fvalue,root_mean_squared_error,mean_absolute_error,mean_squared_error,confidence,accuracy,precision,recall,f1_score,f-value,confusion matrix
"['Alpha GR', 'Net Profit GR']",0.010000,0.050000,5.630280,0.539116,0.290646,0.290646,0.709354,0.709354,0.500000,0.007663,0.015094,14.621086,"[[635   2]
 [259   2]]"
"['Alpha GR', 'Beta GR', 'Net Profit GR']",0.010000,0.100000,5.630280,0.541177,0.292873,0.292873,0.707127,0.707127,0.400000,0.015326,0.029520,10.164726,"[[631   6]
 [257   4]]"
"['Alpha GR', 'Beta GR', 'Income GR', 'Net Profit GR']",0.010000,0.150000,5.630280,0.541177,0.292873,0.292873,0.707127,0.707127,0.400000,0.015326,0.029520,32.473585,"[[631   6]
 [257   4]]"
"['Deliverable Quantity GR', 'Alpha GR', 'Beta GR', 'Income GR', 'Net Profit GR']",0.010000,0.200000,5.630280,0.540148,0.291759,0.291759,0.708241,0.708241,0.454545,0.019157,0.036765,32.431373,"[[631   6]
 [256   5]]"
"['Deliverable Quantity GR', '% Deli. Qty to Traded Qty GR', 'Alpha GR', 'Beta GR', 'Income GR', 'Net Profit GR']",0.010000,0.250000,5.630280,0.540148,0.291759,0.291759,0.708241,0.708241,0.454545,0.019157,0.036765,27.808410,"[[631   6]
 [256   5]]"
"['Open Price GR', 'High Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', 'No. of Trades GR', 'Deliverable Quantity GR', '% Deli. Qty to Traded Qty GR', 'Spread High-Low GR', 'Spread Close-Open GR', 'Alpha GR', 'Beta GR', 'Revenue GR', 'Dividend Value GR', 'Income GR', 'Expenditure GR', 'Net Profit GR']",0.010000,0.601673,0.100000,0.537046,0.288419,0.288419,0.711581,0.711581,1.000000,0.007663,0.015209,21.414530,"[[637   0]
 [259   2]]"
"['High Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', 'No. of Trades GR', 'Deliverable Quantity GR', '% Deli. Qty to Traded Qty GR', 'Spread High-Low GR', 'Spread Close-Open GR', 'Alpha GR', 'Beta GR', 'Revenue GR', 'Income GR', 'Expenditure GR', 'Net Profit GR']",0.010000,0.454154,0.500000,0.539116,0.290646,0.290646,0.709354,0.709354,0.000000,0.000000,0.000000,19.505207,"[[637   0]
 [261   0]]"
"['Deliverable Quantity GR', '% Deli. Qty to Traded Qty GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR', 'Revenue GR', 'Income GR', 'Expenditure GR', 'Net Profit GR']",0.010000,0.314319,1.000000,0.540148,0.291759,0.291759,0.708241,0.708241,0.444444,0.015326,0.029630,29.397008,"[[632   5]
 [257   4]]"
"['Alpha GR', 'Beta GR', 'Income GR', 'Net Profit GR']",0.010000,0.110576,2.000000,0.541177,0.292873,0.292873,0.707127,0.707127,0.400000,0.015326,0.029520,32.473585,"[[631   6]
 [257   4]]"
['Alpha GR'],0.010000,0.017716,5.000000,0.539116,0.290646,0.290646,0.709354,0.709354,0.500000,0.007663,0.015094,6.755703,"[[635   2]
 [259   2]]"
[],0.010000,,10.000000,,,,,,,,,,
[],0.010000,,100.000000,,,,,,,,,,
"['% Deli. Qty to Traded Qty GR', 'Alpha GR', 'Beta GR']",0.020000,0.050000,7.677912,0.389163,0.151448,0.151448,0.848552,0.848552,0.500000,0.029412,0.055556,15.432869,"[[758   4]
 [132   4]]"
"['% Deli. Qty to Traded Qty GR', 'Alpha GR', 'Beta GR']",0.020000,0.100000,7.677912,0.389163,0.151448,0.151448,0.848552,0.848552,0.500000,0.029412,0.055556,15.432869,"[[758   4]
 [132   4]]"
"['High Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', '% Deli. Qty to Traded Qty GR', 'Alpha GR', 'Beta GR']",0.020000,0.150000,7.677912,0.392014,0.153675,0.153675,0.846325,0.846325,0.416667,0.036765,0.067568,7.136378,"[[755   7]
 [131   5]]"
"['Open Price GR', 'High Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', '% Deli. Qty to Traded Qty GR', 'Alpha GR', 'Beta GR']",0.020000,0.200000,7.677912,0.392014,0.153675,0.153675,0.846325,0.846325,0.416667,0.036765,0.067568,6.328678,"[[755   7]
 [131   5]]"
"['Open Price GR', 'High Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', 'No.of Shares GR', 'Total Turnover (Rs.) GR', '% Deli. Qty to Traded Qty GR', 'Spread Close-Open GR', 'Alpha GR', 'Beta GR']",0.020000,0.250000,7.677912,0.389163,0.151448,0.151448,0.848552,0.848552,0.500000,0.036765,0.068493,4.766346,"[[757   5]
 [131   5]]"
"['Open Price GR', 'High Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', 'No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Deliverable Quantity GR', '% Deli. Qty to Traded Qty GR', 'Spread High-Low GR', 'Spread Close-Open GR', 'Alpha GR', 'Beta GR', 'Income GR', 'Net Profit GR']",0.020000,0.697546,0.100000,0.389163,0.151448,0.151448,0.848552,0.848552,0.500000,0.014706,0.028571,8.192951,"[[760   2]
 [134   2]]"
"['Open Price GR', 'High Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', 'No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', '% Deli. Qty to Traded Qty GR', 'Spread Close-Open GR', 'Alpha GR', 'Beta GR', 'Net Profit GR']",0.020000,0.331061,0.500000,0.387729,0.150334,0.150334,0.849666,0.849666,0.571429,0.029412,0.055944,4.998462,"[[759   3]
 [132   4]]"
"['Open Price GR', 'High Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', 'No.of Shares GR', 'Total Turnover (Rs.) GR', '% Deli. Qty to Traded Qty GR', 'Spread Close-Open GR', 'Alpha GR', 'Beta GR', 'Net Profit GR']",0.020000,0.289783,1.000000,0.386291,0.149220,0.149220,0.850780,0.850780,0.666667,0.029412,0.056338,5.046478,"[[760   2]
 [132   4]]"
"['Open Price GR', 'High Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', '% Deli. Qty to Traded Qty GR', 'Alpha GR', 'Beta GR']",0.020000,0.152216,2.000000,0.392014,0.153675,0.153675,0.846325,0.846325,0.416667,0.036765,0.067568,6.328678,"[[755   7]
 [131   5]]"
"['% Deli. Qty to Traded Qty GR', 'Alpha GR', 'Beta GR']",0.020000,0.013395,5.000000,0.389163,0.151448,0.151448,0.848552,0.848552,0.500000,0.029412,0.055556,15.432869,"[[758   4]
 [132   4]]"
[],0.020000,,10.000000,,,,,,,,,,
[],0.020000,,100.000000,,,,,,,,,,
"['Open Price GR', 'High Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', 'Alpha GR', 'Beta GR']",0.030000,0.050000,14.673776,0.292824,0.085746,0.085746,0.914254,0.914254,0.400000,0.081081,0.134831,5.386430,"[[815   9]
 [ 68   6]]"
"['Open Price GR', 'High Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', '% Deli. Qty to Traded Qty GR', 'Alpha GR', 'Beta GR']",0.030000,0.100000,14.673776,0.292824,0.085746,0.085746,0.914254,0.914254,0.400000,0.081081,0.134831,7.346931,"[[815   9]
 [ 68   6]]"
"['Open Price GR', 'High Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', '% Deli. Qty to Traded Qty GR', 'Alpha GR', 'Beta GR']",0.030000,0.150000,14.673776,0.292824,0.085746,0.085746,0.914254,0.914254,0.400000,0.081081,0.134831,7.346931,"[[815   9]
 [ 68   6]]"
"['Open Price GR', 'High Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', '% Deli. Qty to Traded Qty GR', 'Alpha GR', 'Beta GR']",0.030000,0.200000,14.673776,0.292824,0.085746,0.085746,0.914254,0.914254,0.400000,0.081081,0.134831,7.346931,"[[815   9]
 [ 68   6]]"
"['Open Price GR', 'High Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', '% Deli. Qty to Traded Qty GR', 'Alpha GR', 'Beta GR', 'Dividend Value GR']",0.030000,0.250000,14.673776,0.292824,0.085746,0.085746,0.914254,0.914254,0.400000,0.081081,0.134831,10.640378,"[[815   9]
 [ 68   6]]"
