company,root_mean_squared_error,mean_absolute_error,mean_squared_error,rsquared_adj,aic,bic,fvalue
gr500112.csv,0.294302796297736,0.026753831228169885,0.08661413590866666,0.9876411036592103,-10071.672862654215,-9766.769761642132,3098.383175347702
gr500180.csv,0.04205272869441644,0.013910380856367716,0.001768431990646196,0.9181353980010686,-9278.66765099463,-9137.54466737066,938.5983929402262
gr500182.csv,0.016318537904628876,0.011831221079971942,0.0002662946793448094,0.010958548812179725,-10665.00612352809,-10608.52349321907,3.323469540284922
gr500209.csv,0.01907227860937334,0.012804835943319347,0.00036375181135355996,0.41250748956385663,-8566.528445803633,-8459.229577988865,78.42120562656075
gr500325.csv,0.019686925195110713,0.013915366356859056,0.00038757502363788497,0.363252717914201,-8456.798505825038,-8276.069352370929,38.36655607769701
gr500680.csv,0.014500025362896367,0.010304652459550277,0.00021025073552463793,0.00939611393770634,-10677.552555271419,-10615.660283002222,2.7694280934408715
gr507685.csv,0.1587455341981677,0.018465872061102704,0.025200144627861628,0.16455883981508834,-9435.527840657043,-9260.565020237966,14.26704338046224
gr530965.csv,0.03797129542598767,0.016507776079523806,0.001441819276327632,0.2410261343542205,-8609.710924855208,-8502.48474962074,35.88238425493348
gr532174.csv,0.123427493517233,0.02136549989810551,0.015234346155946597,0.92521546997522,-9499.927830179742,-9234.52675478251,552.2009233603127
gr532210.csv,0.07824801729828697,0.017436722025805755,0.0061227522111130155,0.2015351348693476,-9900.691786448107,-9743.518687020969,19.254164331578703
gr532540.csv,0.050995249937909014,0.015007760392347925,0.0026005155162298096,0.3913722227936064,-9803.664719241795,-9592.007468342574,33.8119802930431
