features,threshold,pvalue,fvalue,root_mean_squared_error,mean_absolute_error,mean_squared_error,confidence,accuracy,precision,recall,f1_score,f-value,confusion matrix
"['Beta GR', 'Revenue GR', 'Income GR']",0.010000,0.050000,8.235576,0.464114,0.215402,0.215402,0.784598,0.784598,0.000000,0.000000,0.000000,32.039755,"[[703   0]
 [193   0]]"
"['Beta GR', 'Revenue GR', 'Dividend Value GR', 'Income GR']",0.010000,0.100000,8.235576,0.464114,0.215402,0.215402,0.784598,0.784598,0.000000,0.000000,0.000000,28.105542,"[[703   0]
 [193   0]]"
"['Beta GR', 'Revenue GR', 'Dividend Value GR', 'Income GR', 'Expenditure GR']",0.010000,0.150000,8.235576,0.464114,0.215402,0.215402,0.784598,0.784598,0.000000,0.000000,0.000000,24.514513,"[[703   0]
 [193   0]]"
"['Beta GR', 'Revenue GR', 'Dividend Value GR', 'Income GR', 'Expenditure GR']",0.010000,0.200000,8.235576,0.464114,0.215402,0.215402,0.784598,0.784598,0.000000,0.000000,0.000000,24.514513,"[[703   0]
 [193   0]]"
"['No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Deliverable Quantity GR', '% Deli. Qty to Traded Qty GR', 'Beta GR', 'Revenue GR', 'Dividend Value GR', 'Income GR', 'Expenditure GR']",0.010000,0.250000,8.235576,0.464114,0.215402,0.215402,0.784598,0.784598,0.000000,0.000000,0.000000,13.790907,"[[703   0]
 [193   0]]"
"['Open Price GR', 'No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Deliverable Quantity GR', '% Deli. Qty to Traded Qty GR', 'Spread High-Low GR', 'Spread Close-Open GR', 'Alpha GR', 'Beta GR', 'Revenue GR', 'Dividend Value GR', 'Income GR', 'Expenditure GR']",0.010000,0.709554,0.100000,0.464114,0.215402,0.215402,0.784598,0.784598,0.000000,0.000000,0.000000,10.092494,"[[703   0]
 [193   0]]"
"['No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Deliverable Quantity GR', '% Deli. Qty to Traded Qty GR', 'Spread High-Low GR', 'Beta GR', 'Revenue GR', 'Dividend Value GR', 'Income GR', 'Expenditure GR']",0.010000,0.286228,0.500000,0.464114,0.215402,0.215402,0.784598,0.784598,0.000000,0.000000,0.000000,12.573233,"[[703   0]
 [193   0]]"
"['No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Deliverable Quantity GR', '% Deli. Qty to Traded Qty GR', 'Spread High-Low GR', 'Beta GR', 'Revenue GR', 'Dividend Value GR', 'Income GR', 'Expenditure GR']",0.010000,0.286228,1.000000,0.464114,0.215402,0.215402,0.784598,0.784598,0.000000,0.000000,0.000000,12.573233,"[[703   0]
 [193   0]]"
"['Beta GR', 'Revenue GR', 'Dividend Value GR', 'Income GR', 'Expenditure GR']",0.010000,0.140817,2.000000,0.464114,0.215402,0.215402,0.784598,0.784598,0.000000,0.000000,0.000000,24.514513,"[[703   0]
 [193   0]]"
"['Beta GR', 'Revenue GR', 'Income GR']",0.010000,0.006522,5.000000,0.464114,0.215402,0.215402,0.784598,0.784598,0.000000,0.000000,0.000000,32.039755,"[[703   0]
 [193   0]]"
[],0.010000,,10.000000,,,,,,,,,,
[],0.010000,,100.000000,,,,,,,,,,
"['No. of Trades GR', 'Beta GR', 'Revenue GR', 'Income GR']",0.020000,0.050000,20.700860,0.323899,0.104911,0.104911,0.895089,0.895089,0.000000,0.000000,0.000000,16.381629,"[[802   0]
 [ 94   0]]"
"['No. of Trades GR', 'Beta GR', 'Revenue GR', 'Income GR']",0.020000,0.100000,20.700860,0.323899,0.104911,0.104911,0.895089,0.895089,0.000000,0.000000,0.000000,16.381629,"[[802   0]
 [ 94   0]]"
"['No. of Trades GR', 'Beta GR', 'Revenue GR', 'Income GR']",0.020000,0.150000,20.700860,0.323899,0.104911,0.104911,0.895089,0.895089,0.000000,0.000000,0.000000,16.381629,"[[802   0]
 [ 94   0]]"
"['No. of Trades GR', 'Beta GR', 'Revenue GR', 'Income GR']",0.020000,0.200000,20.700860,0.323899,0.104911,0.104911,0.895089,0.895089,0.000000,0.000000,0.000000,16.381629,"[[802   0]
 [ 94   0]]"
"['No. of Trades GR', 'Beta GR', 'Revenue GR', 'Income GR', 'Net Profit GR']",0.020000,0.250000,20.700860,0.323899,0.104911,0.104911,0.895089,0.895089,0.000000,0.000000,0.000000,13.900576,"[[802   0]
 [ 94   0]]"
