features,threshold,pvalue,fvalue,root_mean_squared_error,mean_absolute_error,mean_squared_error,confidence,accuracy,precision,recall,f1_score,f-value,confusion matrix
[],0.010000,0.050000,,,,,,,,,,,
"['No. of Trades GR', '% Deli. Qty to Traded Qty GR']",0.010000,0.100000,3.387081,0.496655,0.246667,0.246667,0.753333,0.753333,0.000000,0.000000,0.000000,34.587872,"[[678   1]
 [221   0]]"
"['No. of Trades GR', '% Deli. Qty to Traded Qty GR']",0.010000,0.150000,3.387081,0.496655,0.246667,0.246667,0.753333,0.753333,0.000000,0.000000,0.000000,34.587872,"[[678   1]
 [221   0]]"
"['No. of Trades GR', '% Deli. Qty to Traded Qty GR', 'Income GR']",0.010000,0.200000,3.387081,0.496655,0.246667,0.246667,0.753333,0.753333,0.000000,0.000000,0.000000,25.500556,"[[678   1]
 [221   0]]"
"['No. of Trades GR', '% Deli. Qty to Traded Qty GR', 'Income GR']",0.010000,0.250000,3.387081,0.496655,0.246667,0.246667,0.753333,0.753333,0.000000,0.000000,0.000000,25.500556,"[[678   1]
 [221   0]]"
"['High Price GR', 'Close Price GR', 'WAP GR', 'No. of Trades GR', '% Deli. Qty to Traded Qty GR', 'Spread Close-Open GR', 'Revenue GR', 'Dividend Value GR', 'Income GR', 'Expenditure GR', 'Net Profit GR']",0.010000,0.727069,0.100000,0.496655,0.246667,0.246667,0.753333,0.753333,0.000000,0.000000,0.000000,10.585059,"[[678   1]
 [221   0]]"
"['High Price GR', 'No. of Trades GR', '% Deli. Qty to Traded Qty GR', 'Spread Close-Open GR', 'Dividend Value GR', 'Income GR', 'Net Profit GR']",0.010000,0.424494,0.500000,0.496655,0.246667,0.246667,0.753333,0.753333,0.000000,0.000000,0.000000,16.510168,"[[678   1]
 [221   0]]"
"['No. of Trades GR', '% Deli. Qty to Traded Qty GR', 'Income GR']",0.010000,0.196536,1.000000,0.496655,0.246667,0.246667,0.753333,0.753333,0.000000,0.000000,0.000000,25.500556,"[[678   1]
 [221   0]]"
"['No. of Trades GR', '% Deli. Qty to Traded Qty GR']",0.010000,0.094625,2.000000,0.496655,0.246667,0.246667,0.753333,0.753333,0.000000,0.000000,0.000000,34.587872,"[[678   1]
 [221   0]]"
[],0.010000,,5.000000,,,,,,,,,,
[],0.010000,,10.000000,,,,,,,,,,
[],0.010000,,100.000000,,,,,,,,,,
"['% Deli. Qty to Traded Qty GR', 'Income GR']",0.020000,0.050000,6.245200,0.323179,0.104444,0.104444,0.895556,0.895556,0.000000,0.000000,0.000000,14.924790,"[[806   0]
 [ 94   0]]"
"['% Deli. Qty to Traded Qty GR', 'Income GR']",0.020000,0.100000,6.245200,0.323179,0.104444,0.104444,0.895556,0.895556,0.000000,0.000000,0.000000,14.924790,"[[806   0]
 [ 94   0]]"
"['No. of Trades GR', '% Deli. Qty to Traded Qty GR', 'Spread High-Low GR', 'Income GR']",0.020000,0.150000,6.245200,0.323179,0.104444,0.104444,0.895556,0.895556,0.000000,0.000000,0.000000,9.897466,"[[806   0]
 [ 94   0]]"
"['No. of Trades GR', '% Deli. Qty to Traded Qty GR', 'Spread High-Low GR', 'Income GR', 'Net Profit GR']",0.020000,0.200000,6.245200,0.323179,0.104444,0.104444,0.895556,0.895556,0.000000,0.000000,0.000000,9.427515,"[[806   0]
 [ 94   0]]"
"['No. of Trades GR', '% Deli. Qty to Traded Qty GR', 'Spread High-Low GR', 'Income GR', 'Net Profit GR']",0.020000,0.250000,6.245200,0.323179,0.104444,0.104444,0.895556,0.895556,0.000000,0.000000,0.000000,9.427515,"[[806   0]
 [ 94   0]]"
"['Open Price GR', 'High Price GR', 'Low Price GR', 'No. of Trades GR', '% Deli. Qty to Traded Qty GR', 'Spread High-Low GR', 'Spread Close-Open GR', 'Revenue GR', 'Dividend Value GR', 'Income GR', 'Expenditure GR', 'Net Profit GR']",0.020000,0.736357,0.100000,0.323179,0.104444,0.104444,0.895556,0.895556,0.000000,0.000000,0.000000,6.199878,"[[806   0]
 [ 94   0]]"
"['Low Price GR', 'No. of Trades GR', '% Deli. Qty to Traded Qty GR', 'Spread High-Low GR', 'Revenue GR', 'Dividend Value GR', 'Income GR', 'Expenditure GR', 'Net Profit GR']",0.020000,0.416718,0.500000,0.323179,0.104444,0.104444,0.895556,0.895556,0.000000,0.000000,0.000000,5.727191,"[[806   0]
 [ 94   0]]"
"['No. of Trades GR', '% Deli. Qty to Traded Qty GR', 'Spread High-Low GR', 'Income GR', 'Net Profit GR']",0.020000,0.155725,1.000000,0.323179,0.104444,0.104444,0.895556,0.895556,0.000000,0.000000,0.000000,9.427515,"[[806   0]
 [ 94   0]]"
"['No. of Trades GR', '% Deli. Qty to Traded Qty GR', 'Spread High-Low GR', 'Income GR', 'Net Profit GR']",0.020000,0.155725,2.000000,0.323179,0.104444,0.104444,0.895556,0.895556,0.000000,0.000000,0.000000,9.427515,"[[806   0]
 [ 94   0]]"
['Income GR'],0.020000,0.012506,5.000000,0.323179,0.104444,0.104444,0.895556,0.895556,0.000000,0.000000,0.000000,0.789628,"[[806   0]
 [ 94   0]]"
[],0.020000,,10.000000,,,,,,,,,,
[],0.020000,,100.000000,,,,,,,,,,
['No. of Trades GR'],0.030000,0.050000,11.174514,0.205480,0.042222,0.042222,0.957778,0.957778,0.000000,0.000000,0.000000,23.303231,"[[862   0]
 [ 38   0]]"
"['No. of Trades GR', 'Net Profit GR']",0.030000,0.100000,11.174514,0.205480,0.042222,0.042222,0.957778,0.957778,0.000000,0.000000,0.000000,14.129659,"[[862   0]
 [ 38   0]]"
"['No. of Trades GR', 'Net Profit GR']",0.030000,0.150000,11.174514,0.205480,0.042222,0.042222,0.957778,0.957778,0.000000,0.000000,0.000000,14.129659,"[[862   0]
 [ 38   0]]"
"['No. of Trades GR', 'Net Profit GR']",0.030000,0.200000,11.174514,0.205480,0.042222,0.042222,0.957778,0.957778,0.000000,0.000000,0.000000,14.129659,"[[862   0]
 [ 38   0]]"
