features,threshold,pvalue,fvalue,root_mean_squared_error,mean_absolute_error,mean_squared_error,confidence,accuracy,precision,recall,f1_score,f-value,confusion matrix
"['No.of Shares GR', 'Total Turnover (Rs.) GR', 'Spread Close-Open GR', 'Beta GR']",0.010000,0.050000,5.659027,0.440432,0.193980,0.193980,0.806020,0.806020,1.000000,0.005714,0.011364,3.195136,"[[722   0]
 [174   1]]"
"['No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Spread Close-Open GR', 'Beta GR']",0.010000,0.100000,5.659027,0.440432,0.193980,0.193980,0.806020,0.806020,1.000000,0.005714,0.011364,3.362276,"[[722   0]
 [174   1]]"
"['No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Deliverable Quantity GR', 'Spread Close-Open GR', 'Beta GR']",0.010000,0.150000,5.659027,0.440432,0.193980,0.193980,0.806020,0.806020,1.000000,0.005714,0.011364,3.043935,"[[722   0]
 [174   1]]"
"['No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Deliverable Quantity GR', 'Spread Close-Open GR', 'Beta GR', 'Dividend Value GR']",0.010000,0.200000,5.659027,0.440432,0.193980,0.193980,0.806020,0.806020,1.000000,0.005714,0.011364,27.539943,"[[722   0]
 [174   1]]"
"['No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Deliverable Quantity GR', '% Deli. Qty to Traded Qty GR', 'Spread Close-Open GR', 'Beta GR', 'Dividend Value GR']",0.010000,0.250000,5.659027,0.440432,0.193980,0.193980,0.806020,0.806020,1.000000,0.005714,0.011364,24.089974,"[[722   0]
 [174   1]]"
"['High Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', 'No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Deliverable Quantity GR', '% Deli. Qty to Traded Qty GR', 'Spread High-Low GR', 'Spread Close-Open GR', 'Alpha GR', 'Beta GR', 'Revenue GR', 'Dividend Value GR', 'Expenditure GR', 'Net Profit GR']",0.010000,0.738503,0.100000,0.440432,0.193980,0.193980,0.806020,0.806020,1.000000,0.005714,0.011364,16.408361,"[[722   0]
 [174   1]]"
"['No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Deliverable Quantity GR', '% Deli. Qty to Traded Qty GR', 'Spread High-Low GR', 'Spread Close-Open GR', 'Beta GR', 'Revenue GR', 'Dividend Value GR', 'Net Profit GR']",0.010000,0.397337,0.500000,0.440432,0.193980,0.193980,0.806020,0.806020,1.000000,0.005714,0.011364,23.087950,"[[722   0]
 [174   1]]"
"['No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Deliverable Quantity GR', '% Deli. Qty to Traded Qty GR', 'Spread Close-Open GR', 'Beta GR', 'Dividend Value GR', 'Net Profit GR']",0.010000,0.268282,1.000000,0.440432,0.193980,0.193980,0.806020,0.806020,1.000000,0.005714,0.011364,22.745639,"[[722   0]
 [174   1]]"
"['No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Deliverable Quantity GR', 'Spread Close-Open GR', 'Beta GR', 'Dividend Value GR']",0.010000,0.154151,2.000000,0.440432,0.193980,0.193980,0.806020,0.806020,1.000000,0.005714,0.011364,27.539943,"[[722   0]
 [174   1]]"
['Spread Close-Open GR'],0.010000,0.017428,5.000000,0.440432,0.193980,0.193980,0.806020,0.806020,1.000000,0.005714,0.011364,3.644090,"[[722   0]
 [174   1]]"
[],0.010000,,10.000000,,,,,,,,,,
[],0.010000,,100.000000,,,,,,,,,,
"['Spread Close-Open GR', 'Beta GR', 'Revenue GR', 'Dividend Value GR']",0.020000,0.050000,13.228232,0.275333,0.075808,0.075808,0.924192,0.924192,0.000000,0.000000,0.000000,25.701143,"[[829   1]
 [ 67   0]]"
"['Spread Close-Open GR', 'Alpha GR', 'Beta GR', 'Revenue GR', 'Dividend Value GR', 'Income GR', 'Expenditure GR']",0.020000,0.100000,13.228232,0.273301,0.074693,0.074693,0.925307,0.925307,0.000000,0.000000,0.000000,15.523629,"[[830   0]
 [ 67   0]]"
"['Spread Close-Open GR', 'Alpha GR', 'Beta GR', 'Revenue GR', 'Dividend Value GR', 'Income GR', 'Expenditure GR']",0.020000,0.150000,13.228232,0.273301,0.074693,0.074693,0.925307,0.925307,0.000000,0.000000,0.000000,15.523629,"[[830   0]
 [ 67   0]]"
"['Low Price GR', 'Spread Close-Open GR', 'Alpha GR', 'Beta GR', 'Revenue GR', 'Dividend Value GR', 'Income GR', 'Expenditure GR']",0.020000,0.200000,13.228232,0.275333,0.075808,0.075808,0.924192,0.924192,0.000000,0.000000,0.000000,14.263205,"[[829   1]
 [ 67   0]]"
