company,root_mean_squared_error,mean_absolute_error,mean_squared_error,rsquared_adj,aic,bic,fvalue
gr500112.csv,0.293622122429126,0.026588430478401485,0.08621395077978465,0.9877112165619881,-10094.319438381768,-9851.52622831659,3913.2073765851665
gr500180.csv,0.041359934926004316,0.01384335849322826,0.0017106442170833117,0.9126487518061099,-9149.024182189163,-9041.770714634946,1150.2836653671777
gr500182.csv,0.01628028518632697,0.01179430273139806,0.00026504768574813734,0.006721189013795592,-10658.032496171561,-10612.846391924346,2.773713131453928
gr500209.csv,0.019065790202356082,0.012865280503229704,0.0003635043560402571,0.40849817620631523,-8555.254515949768,-8464.897574632068,91.42699074698183
gr500325.csv,0.019056341957168047,0.013415911412723984,0.00036314416878852334,0.2553334163696823,-8143.463445327492,-8047.451082554996,43.275441075435126
gr500680.csv,0.014547339914884605,0.010349183203351833,0.00021162509859919482,0.008075810917998472,-10678.801794047822,-10639.415802603788,3.38664034238189
gr507685.csv,0.15663724710528462,0.018275873075500788,0.024535227180721993,0.1413476416262921,-9395.122559312542,-9316.107092026507,25.55125280559104
gr530965.csv,0.038454074650993535,0.01659577239481865,0.0014787158572641835,0.22840600539135203,-8579.261035428819,-8494.60879182266,42.1860241338041
gr532174.csv,0.12476518976122862,0.021588815277260844,0.015566352576155386,0.9016775679184303,-8959.434773106706,-8880.37913362668,1372.6625910197674
gr532210.csv,0.07227915319924122,0.01661813489854682,0.005224275987199383,0.057739421062604324,-9577.238387918309,-9487.42518824566,8.755440099676914
gr532540.csv,0.05067839357967687,0.014955674223825653,0.002568299575816634,0.3392612986056508,-9667.053839332679,-9583.504924504039,67.37295061907236
