features,threshold,pvalue,fvalue,root_mean_squared_error,mean_absolute_error,mean_squared_error,confidence,accuracy,precision,recall,f1_score,f-value,confusion matrix
"['Low Price GR', 'WAP GR']",0.010000,0.050000,5.450175,0.502497,0.252503,0.252503,0.747497,0.747497,0.000000,0.000000,0.000000,1.426670,"[[672   0]
 [227   0]]"
"['Low Price GR', 'Close Price GR', 'WAP GR', 'Spread Close-Open GR']",0.010000,0.100000,5.450175,0.502497,0.252503,0.252503,0.747497,0.747497,0.000000,0.000000,0.000000,2.005667,"[[672   0]
 [227   0]]"
"['Low Price GR', 'Close Price GR', 'WAP GR', 'Spread Close-Open GR', 'Income GR']",0.010000,0.150000,5.450175,0.502497,0.252503,0.252503,0.747497,0.747497,0.000000,0.000000,0.000000,2.804425,"[[672   0]
 [227   0]]"
"['Low Price GR', 'Close Price GR', 'WAP GR', 'Spread Close-Open GR', 'Income GR']",0.010000,0.200000,5.450175,0.502497,0.252503,0.252503,0.747497,0.747497,0.000000,0.000000,0.000000,2.804425,"[[672   0]
 [227   0]]"
"['Open Price GR', 'High Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', 'Spread High-Low GR', 'Spread Close-Open GR', 'Beta GR', 'Income GR']",0.010000,0.250000,5.450175,0.502497,0.252503,0.252503,0.747497,0.747497,0.000000,0.000000,0.000000,9.978821,"[[672   0]
 [227   0]]"
"['Open Price GR', 'High Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', 'No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Deliverable Quantity GR', 'Spread High-Low GR', 'Spread Close-Open GR', 'Alpha GR', 'Beta GR', 'Revenue GR', 'Income GR', 'Expenditure GR', 'Net Profit GR']",0.010000,0.541067,0.100000,0.502497,0.252503,0.252503,0.747497,0.747497,0.000000,0.000000,0.000000,8.712081,"[[672   0]
 [227   0]]"
"['Open Price GR', 'High Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', 'No.of Shares GR', 'Total Turnover (Rs.) GR', 'Deliverable Quantity GR', 'Spread High-Low GR', 'Spread Close-Open GR', 'Alpha GR', 'Beta GR', 'Revenue GR', 'Income GR', 'Expenditure GR', 'Net Profit GR']",0.010000,0.463720,0.500000,0.502497,0.252503,0.252503,0.747497,0.747497,0.000000,0.000000,0.000000,9.243877,"[[672   0]
 [227   0]]"
"['Open Price GR', 'High Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', 'No.of Shares GR', 'Total Turnover (Rs.) GR', 'Deliverable Quantity GR', 'Spread High-Low GR', 'Spread Close-Open GR', 'Beta GR', 'Income GR']",0.010000,0.288828,1.000000,0.502497,0.252503,0.252503,0.747497,0.747497,0.000000,0.000000,0.000000,7.580985,"[[672   0]
 [227   0]]"
"['Low Price GR', 'Close Price GR', 'WAP GR', 'Spread Close-Open GR', 'Income GR']",0.010000,0.122977,2.000000,0.502497,0.252503,0.252503,0.747497,0.747497,0.000000,0.000000,0.000000,2.804425,"[[672   0]
 [227   0]]"
['Low Price GR'],0.010000,0.019632,5.000000,0.502497,0.252503,0.252503,0.747497,0.747497,0.000000,0.000000,0.000000,2.848480,"[[672   0]
 [227   0]]"
[],0.010000,,10.000000,,,,,,,,,,
[],0.010000,,100.000000,,,,,,,,,,
"['Low Price GR', 'WAP GR', '% Deli. Qty to Traded Qty GR', 'Spread Close-Open GR', 'Beta GR', 'Revenue GR', 'Income GR']",0.020000,0.050000,8.008224,0.318157,0.101224,0.101224,0.898776,0.898776,0.000000,0.000000,0.000000,7.905000,"[[808   0]
 [ 91   0]]"
"['Low Price GR', 'WAP GR', '% Deli. Qty to Traded Qty GR', 'Spread High-Low GR', 'Spread Close-Open GR', 'Beta GR', 'Revenue GR', 'Income GR']",0.020000,0.100000,8.008224,0.318157,0.101224,0.101224,0.898776,0.898776,0.000000,0.000000,0.000000,8.213628,"[[808   0]
 [ 91   0]]"
"['Low Price GR', 'Close Price GR', 'WAP GR', 'No. of Trades GR', '% Deli. Qty to Traded Qty GR', 'Spread High-Low GR', 'Spread Close-Open GR', 'Beta GR', 'Revenue GR', 'Income GR', 'Net Profit GR']",0.020000,0.150000,8.008224,0.318157,0.101224,0.101224,0.898776,0.898776,0.000000,0.000000,0.000000,6.714923,"[[808   0]
 [ 91   0]]"
"['Low Price GR', 'Close Price GR', 'WAP GR', 'No. of Trades GR', '% Deli. Qty to Traded Qty GR', 'Spread High-Low GR', 'Spread Close-Open GR', 'Beta GR', 'Revenue GR', 'Income GR', 'Net Profit GR']",0.020000,0.200000,8.008224,0.318157,0.101224,0.101224,0.898776,0.898776,0.000000,0.000000,0.000000,6.714923,"[[808   0]
 [ 91   0]]"
"['Open Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', 'No. of Trades GR', '% Deli. Qty to Traded Qty GR', 'Spread High-Low GR', 'Spread Close-Open GR', 'Beta GR', 'Revenue GR', 'Income GR', 'Net Profit GR']",0.020000,0.250000,8.008224,0.318157,0.101224,0.101224,0.898776,0.898776,0.000000,0.000000,0.000000,7.058357,"[[808   0]
 [ 91   0]]"
"['Open Price GR', 'High Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', 'No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Deliverable Quantity GR', '% Deli. Qty to Traded Qty GR', 'Spread High-Low GR', 'Spread Close-Open GR', 'Alpha GR', 'Beta GR', 'Revenue GR', 'Dividend Value GR', 'Income GR', 'Net Profit GR']",0.020000,0.624646,0.100000,0.318157,0.101224,0.101224,0.898776,0.898776,0.000000,0.000000,0.000000,8.211494,"[[808   0]
 [ 91   0]]"
"['Open Price GR', 'High Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', 'No. of Trades GR', '% Deli. Qty to Traded Qty GR', 'Spread High-Low GR', 'Spread Close-Open GR', 'Alpha GR', 'Beta GR', 'Revenue GR', 'Income GR', 'Net Profit GR']",0.020000,0.350473,0.500000,0.318157,0.101224,0.101224,0.898776,0.898776,0.000000,0.000000,0.000000,8.125389,"[[808   0]
 [ 91   0]]"
"['Open Price GR', 'Low Price GR', 'Close Price GR', 'WAP GR', 'No. of Trades GR', '% Deli. Qty to Traded Qty GR', 'Spread High-Low GR', 'Spread Close-Open GR', 'Alpha GR', 'Beta GR', 'Revenue GR', 'Income GR', 'Net Profit GR']",0.020000,0.299567,1.000000,0.318157,0.101224,0.101224,0.898776,0.898776,0.000000,0.000000,0.000000,6.627592,"[[808   0]
 [ 91   0]]"
"['Low Price GR', 'Close Price GR', 'WAP GR', 'No. of Trades GR', '% Deli. Qty to Traded Qty GR', 'Spread High-Low GR', 'Spread Close-Open GR', 'Beta GR', 'Revenue GR', 'Income GR', 'Net Profit GR']",0.020000,0.131646,2.000000,0.318157,0.101224,0.101224,0.898776,0.898776,0.000000,0.000000,0.000000,6.714923,"[[808   0]
 [ 91   0]]"
"['Low Price GR', '% Deli. Qty to Traded Qty GR', 'Beta GR', 'Revenue GR']",0.020000,0.019961,5.000000,0.318157,0.101224,0.101224,0.898776,0.898776,0.000000,0.000000,0.000000,12.392567,"[[808   0]
 [ 91   0]]"
[],0.020000,,10.000000,,,,,,,,,,
[],0.020000,,100.000000,,,,,,,,,,
"['Low Price GR', 'WAP GR', 'No. of Trades GR', 'Spread Close-Open GR', 'Beta GR', 'Revenue GR']",0.030000,0.050000,19.486337,0.223731,0.050056,0.050056,0.949944,0.949944,0.000000,0.000000,0.000000,7.481656,"[[854   0]
 [ 45   0]]"
